Activation	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD
Time Point	Post9	Post9	Post9	Post9	Post9	Post9	Post9	Post9	Post9	Post9	Post9	Post9	Post9	Post9	Post9	Post9	Post9	Post9	Post9	Post9	Post9	Post9	Post9	Post9	Post9	Post9	Post9
Bacteria|Bacteroidetes|Flavobacteriia	2	7	2	3	11	3	2	5	4	1	3	2	1	4	4	1	3	2	0	1	9	3	3	3	0	2	14
Bacteria|Bacteroidetes|Saprospiria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacteroidetes|Sphingobacteriia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Calditrichaeota|Calditrichae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Chlorobi|Chlorobia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Chloroflexi|Dehalococcoidia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Chrysiogenetes|Chrysiogenetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Cyanobacteria|	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Deferribacteres|Deferribacteres	70	262	9530	561	5141	143	13387	403	507	812	612	4466	439	398	346	1827	2632	1810	0	893	1381	1455	1423	11183	170	7194	300
Bacteria|Deinococcus-Thermus|Deinococci	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|	89	550	1455	451	1165	637	4367	477	947	816	2855	1744	1038	2980	567	1619	631	756	0	318	581	590	1103	2793	51	1509	231
Bacteria|Firmicutes|Bacilli	305	1725	3384	2776	449	4024	176	119	1773	110	877	16	1268	1527	2136	1865	704	1305	0	22	2829	813	1643	1119	1002	1017	2556
Bacteria|Firmicutes|Clostridia	1788	15141	41859	7302	19442	9915	94954	10854	19047	14928	80800	43671	19118	81139	11648	38093	10335	11633	0	6801	11122	9775	19855	72268	1444	42423	2851
Bacteria|Firmicutes|Erysipelotrichia	8	50	24	64	34	37	42	17	55	41	30	27	26	42	18	36	40	35	0	47	31	17	32	19	13	10	39
Bacteria|Firmicutes|Negativicutes	0	2	12	0	8	1	24	8	12	2	6	1	2	5	0	8	3	2	0	4	6	2	0	8	0	4	0
Bacteria|Firmicutes|Tissierellia	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Fusobacteria|Fusobacteriia	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Gemmatimonadetes|Gemmatimonadetes	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Kiritimatiellaeota|Kiritimatiellae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
