Activation	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	Control	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD	DREADD
Time Point	Post5	Post5	Post5	Post5	Post5	Post5	Post5	Post5	Post5	Post5	Post5	Post5	Post5	Post5	Post5	Post5	Post5	Post5	Post5	Post5	Post5	Post5	Post5
Bacteria|Gemmatimonadetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Kiritimatiellaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Planctomycetes	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria	1678	7472	2324	2563	1472	3154	7748	7790	3006	4241	544	11883	1478	4466	1449	5509	6532	2780	3286	2356	917	1315	657
Bacteria|Spirochaetes	0	1	4	8	11	3	4	0	0	1	1	0	0	0	1	0	1	0	1	5	0	0	1
Bacteria|Synergistetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Tenericutes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Verrucomicrobia	3069	3167	4179	33909	0	93285	79228	1213	36107	3468	43292	10584	9623	14297	3317	5503	8987	5110	129586	41018	21660	12649	27277
BacteriaPlasmid|Bacteroidetes	6	3	5	8	5	4	8	1	1	5	15	4	2	5	2	5	1	2	21	5	1	1	3
BacteriaPlasmid|Firmicutes	2	0	0	0	0	3	0	0	2	1	0	1	0	0	0	1	0	0	0	0	0	2	0
BacteriaPlasmid|Fusobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BacteriaPlasmid|Proteobacteria	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	4	0	0	0	0
"Viruses|dsDNA_viruses,_no_RNA_stage"	1	1	0	1	0	0	0	0	0	0	3	0	0	1	0	1	0	0	0	0	0	0	0
Viruses|unclassified_bacterial_viruses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea|Euryarchaeota|Halobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaea|Euryarchaeota|Methanomicrobia	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria||	0	0	2	3	3	2	0	1	1	1	0	0	0	0	0	2	0	0	1	0	0	0	0
Bacteria|Actinobacteria|Acidimicrobiia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Actinobacteria|Actinobacteria	328	4589	1591	274	188	79	953	157	74	586	61	785	601	19	282	334	895	418	763	144	46	88	291
Bacteria|Actinobacteria|Coriobacteriia	556	228	1235	449	704	861	1039	856	473	195	714	130	218	321	769	392	477	284	475	820	109	543	173
Bacteria|Actinobacteria|Thermoleophilia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacteroidetes|Bacteroidia	13529	11858	17494	11867	24601	14032	23445	21249	16130	14719	43880	34141	3638	36047	15844	37898	23313	11637	61772	15814	6700	7252	31738
Bacteria|Bacteroidetes|Cytophagia	0	3	20	1	2	0	7	1	0	5	0	1	0	9	0	1	4	0	0	2	0	1	8
Bacteria|Bacteroidetes|Flavobacteriia	1	5	4	6	1	2	8	5	6	2	1	5	0	7	0	0	2	0	2	6	0	0	0
Bacteria|Bacteroidetes|Saprospiria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacteroidetes|Sphingobacteriia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Calditrichaeota|Calditrichae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Chlorobi|Chlorobia	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
