"","name","control_1","control_2","control_3","control_4","control_5","control_6","control_7","treatment_1","treatment_2","treatment_3","treatment_4","treatment_5","treatment_6","treatment_7","ClusterID","ID","treatment_vs_control_CI.L","treatment_vs_control_CI.R","treatment_vs_control_diff","treatment_vs_control_p.adj","treatment_vs_control_p.val","significant","treatment_vs_control_significant"
"1","1",23.2357758538868,21.4860370890781,21.9173429399504,21.7307350556255,21.3311990644316,23.8479030391923,22.3801212234728,22.7859660399024,22.0488350612745,22.4706606115812,23.7751315994409,21.1693684346777,22.4256167385444,22.3880719573372,"1","1",-0.923839991348398,1.24799318481147,0.162076596731538,0.963073984444763,0.758734292190813,FALSE,FALSE
"2","10137",23.6986796593242,21.9508164347974,23.6663799467608,23.6263961779945,23.7364352741954,21.3449124329229,24.5817272645938,25.1444352874724,24.1729352241542,25.0972858317614,23.921997702977,22.6402310327158,23.557027976247,25.3717682375419,"10137","10137",-0.17250912981333,2.25831887332211,1.04290487175439,0.919555628696122,0.0886138634851252,FALSE,FALSE
"3","10142",22.9897286634458,21.5267107946996,24.2363963705773,25.2625074909337,24.094209883135,23.6281303317987,23.9877130666536,21.2928265622969,22.7563441602606,23.0560197914047,23.4745996469587,23.6794674281037,21.9919850558,22.5775795742087,"10142","10142",-2.16370896123624,0.193259137747548,-0.985224911744346,0.921852625527193,0.0965180183557773,FALSE,FALSE
"4","10143",20.10453349053,19.3727120512523,19.2225590874667,22.2763226576901,22.0334018278233,20.8258679361591,19.0964938336935,19.9402791813003,19.0416805386798,17.4108570855517,17.5132032655665,18.9833527113376,19.6748077682014,22.1504293853125,"10143","10143",-2.67360966555472,0.325815108793338,-1.17389727838069,0.927045993657944,0.118141483343093,FALSE,FALSE
"5","10166",30.2606527926478,29.4064739272538,30.1680608241616,29.8286839110239,29.7141988571994,29.7867823042795,30.7399016225531,29.7753969444958,30.8269697787216,30.436507598488,30.4607103349587,31.7018903943723,32.1805877067677,29.0630649448402,"10166","10166",-0.407472472635455,1.70472203364267,0.648624780503607,0.940638132085111,0.214763260194296,FALSE,FALSE
"6","1018",22.0735313192643,22.7412330453125,25.2452483254898,23.7387711759651,22.2407398080824,22.7593548789365,22.4625789053486,21.9417300288357,21.5815035700662,21.9790696164409,22.6306448514716,20.5976197721917,22.0291908265666,22.433755811057,"1018","1018",-2.26810586733553,-0.0370206988843251,-1.15256328310993,0.897756119266324,0.0435126993866398,FALSE,FALSE
"7","10210",25.1217567205856,23.1337782958611,23.0085062452701,25.3684964037399,26.2589688926954,21.0684981797721,25.4707752833174,27.4942552599401,27.6270598980969,28.3061357492885,27.2462170828855,25.4600707834477,27.1909004203463,26.5397565359488,"10210","10210",1.43671634980802,4.40145956696692,2.91908795838747,0.579598603602035,0.000548629070787033,FALSE,FALSE
"8","10235",21.8282717088177,23.3556059632275,20.6889417763214,22.8217961658516,23.3934784444096,22.6031683404116,22.002097350996,23.7947713153465,23.0547079766783,24.649436114549,23.5508181669657,20.1679607695745,22.1877024386668,25.9627259289414,"10235","10235",-0.539256884718148,2.44633201634295,0.9535375658124,0.938893572297073,0.197667320943922,FALSE,FALSE
"9","10250",23.0992296495639,20.3131520797848,23.5453024682525,19.3424024291674,22.3270177728538,20.2607576237266,21.6941049125038,21.3281412940654,19.352334443195,20.5268325564086,19.7229875900423,21.2400651677454,22.6401253175453,20.5355744007448,"10250","10250",-2.16502022497156,0.669047034655565,-0.747986595157997,0.946213651166214,0.283889196487283,FALSE,FALSE
"10","10295",24.4300922463931,27.0549565057881,24.9811992063699,23.8701527508295,24.094806836218,24.2791904339224,26.5254925224555,22.1770797481819,19.7044440503704,22.3710733611439,24.4357257632027,25.7120281801061,23.2906956997604,23.5918696174376,"10295","10295",-3.59507569568547,-0.391488327678401,-1.99328201168194,0.860652496414514,0.0172905503794271,FALSE,FALSE
"11","10341",22.6626351303894,19.0192649385408,22.2963121539276,22.159130991249,21.6204740105173,21.698535116269,20.0470213716984,21.5553628733071,21.1567657470665,22.142906033617,20.265299129365,16.9117547695428,21.1635114835116,22.705523131606,"10341","10341",-2.13569831372631,1.10648387241898,-0.514607220653662,0.95685130444053,0.51536267101617,FALSE,FALSE
"12","10345",18.6638151892232,20.8173186233408,21.7349874011756,21.0700174043259,21.3887804030664,21.0263836281956,22.0169582115824,21.3979461487518,21.6508392042289,21.6386365375471,23.287296981375,21.2208854596465,22.1248072842933,22.5768948662724,"10345","10345",-0.100308731400188,2.15146462317309,1.02557794588645,0.913674616395623,0.0719261021297931,FALSE,FALSE
"13","10349",23.9785353854858,23.6633418046575,27.1227806002379,24.2486813608115,21.8638781078205,23.6050270766761,23.9648860189908,22.8003554744328,22.2614659890604,22.698502899421,24.7186125154133,28.029438466344,21.1952712690508,23.2427630010595,"10349","10349",-2.34400820198363,1.34380227629838,-0.500102962842622,0.958733385236366,0.577804840264648,FALSE,FALSE
"14","10350",26.3625515672445,23.0831579106417,26.1186849814386,26.1956127899704,27.5226531079336,26.7762895341232,23.6035592268639,24.7113427556849,26.0323313521465,26.2456181295793,24.7701579031011,26.8224786886112,26.3773932331876,26.3152850944181,"10350","10350",-1.14977811420753,1.61037755378262,0.230299719787542,0.962498120101741,0.731371344919452,FALSE,FALSE
"15","10355",20.1558953777995,18.1194832383223,16.6282746485759,19.7792929410756,21.4345050470118,21.9411382563701,19.0677547046644,23.3016676899225,22.0064630561616,22.7856977045132,23.100972984542,22.6797109572558,20.9822618007725,23.5028210019513,"10355","10355",1.55707980896838,4.50956332854569,3.03332156875704,0.528286980850645,0.000361637294300942,FALSE,FALSE
"16","10357",25.8077758250443,25.8649810198876,26.9410531041763,26.2980940406106,24.3808549803382,25.6887941737653,26.7246359775882,24.6100698940729,24.246300328208,23.7996702569114,24.0138090033126,26.1175307692798,23.6295720721945,21.0329732453829,"10357","10357",-3.35811701315141,-0.71510114457675,-2.03660907886408,0.779455963443542,0.00435287673714339,FALSE,FALSE
