"","name","control_1","control_2","control_3","control_4","control_5","control_6","control_7","control_8","control_9","treatment_1","treatment_2","treatment_3","treatment_4","treatment_5","treatment_6","treatment_7","treatment_8","ClusterID","ID","treatment_vs_control_CI.L","treatment_vs_control_CI.R","treatment_vs_control_diff","treatment_vs_control_p.adj","treatment_vs_control_p.val","significant","treatment_vs_control_significant"
"1","10023",21.1128956985619,25.217021022693,24.5669209114825,25.1506342190577,25.5094488071916,25.2725816991049,25.1339622719036,21.8309031582488,25.667369321249,21.2123146974564,24.8954451120936,21.6743151305194,24.9012125394699,27.6323234264218,24.6125738817965,24.5162694977457,21.7144723465879,"10023","10023",-2.32672799141701,1.34718473621917,-0.48977162759892,1,0.582448520475906,FALSE,FALSE
"2","10025",23.2187150244374,22.7607166993193,22.2122565050426,22.5468784497775,21.8183727022609,22.9492551741645,23.2295389482911,21.9520935279475,23.2877237914475,23.6225345891315,20.712489217058,22.907846777383,23.6650199902853,21.9746011915642,23.8603006341579,22.9648030170207,22.3363706230009,"10025","10025",-0.760233919250019,0.943325246330821,0.0915456635404013,1,0.823984721557033,FALSE,FALSE
"3","10026",28.895862418067,28.4318142188392,29.9789180342207,28.4533074893483,30.4386209521679,29.2244164459264,29.3273006906524,29.9037902934862,29.8379928902031,28.7405543056985,28.6458468838848,28.4081647008762,28.6592991574904,28.5608127932529,27.527402006625,29.2406862557482,29.6565648226617,"10026","10026",-1.42453190023699,0.00835942448282267,-0.708086237877083,1,0.0524568332256701,FALSE,FALSE
"4","10032",23.2676579659422,15.2005538246927,25.1415435113876,20.8365489267621,21.9616704776972,23.8752494266645,21.5522769585902,25.4540889627519,20.4454998886409,20.8404967343803,25.8054853900108,20.7975831645652,23.6917575738495,23.1271883010432,25.1037557054524,24.5166848892037,24.94333768423,"10032","10032",-0.819598695254672,4.08503995746521,1.63272063110527,1,0.178985144765788,FALSE,FALSE
"5","10035",25.9568855638741,26.4962376866025,25.5076982662179,26.716165884694,26.2219018802829,26.3717726403167,26.2264833039961,26.4216629748011,26.891300303924,27.2102506056203,27.9858823872985,27.35088355607,27.1641123997682,26.7238841632656,26.429383466424,26.6410305700547,26.6872810704783,"10035","10035",0.155075997394173,1.2686325007487,0.711854249071436,1,0.015067548337552,FALSE,FALSE
"6","10046",25.7646636087888,26.7441777007848,26.3116753091611,26.5577788571634,26.6347359106173,25.9939065958574,26.1269225463604,24.4156004606255,26.6950745718934,26.2659201134066,27.1477453357645,26.027929886805,25.9780243780513,24.9125783695038,23.623117697102,24.0304932042787,24.3464385259133,"10046","10046",-1.84439185683954,0.15089027648981,-0.846750790174866,1,0.0914697561638241,FALSE,FALSE
"7","10060",25.727540121589,25.8941993025517,26.2224435606997,26.2009055252413,26.513464882298,26.5893716544439,27.0084616744198,25.8761672363761,26.5955308703828,25.9074829656761,27.1831744854489,26.0347147033733,26.830058998708,26.8104680706558,26.8195043526808,27.744230866218,25.9918151531113,"10060","10060",-0.242711804295521,0.989055352596356,0.373171774150418,1,0.219354151457091,FALSE,FALSE
"8","10065",23.6941161803889,24.2737185667119,24.1603232412117,23.4415772357024,24.3120929427683,23.7647472960901,23.841163317306,24.69033075153,23.5116578406216,23.6969645556972,22.2499290885847,24.5716723965625,20.974915874189,24.9294857987008,22.0696500389677,22.0943386854649,22.6503955094481,"10065","10065",-2.0407809149995,-0.080931625281446,-1.06085627014047,1,0.0353979289216933,FALSE,FALSE
"9","10078",26.2524175576552,21.4943932057827,20.8728063699201,20.6165398699812,20.2194497966368,21.2441640457864,21.9672396297808,20.943707409424,21.2659143026999,25.2275428683011,23.8639641946742,21.3830888299443,24.6506219751674,24.781461873856,24.4135811893339,24.485865905762,25.8562680277045,"10078","10078",1.15605011420975,4.20363033805006,2.6798402261299,1,0.00164640632898452,FALSE,FALSE
"10","10130",27.4484314288912,27.073239064898,27.631881602181,27.9828648579523,27.9871903941643,28.0802929585337,27.8664757911499,27.6284870430932,27.6915194576653,26.5308046288192,28.6327357252027,27.2407090783327,27.7125906461458,26.9424047119116,27.7569906348191,27.8339295371888,27.5176286785856,"10130","10130",-0.77068040902676,0.3925437973828,-0.18906830582198,1,0.503508727848166,FALSE,FALSE
"11","10165",23.0980523290681,22.5302936888326,22.7807287807422,23.142208667771,24.2541889195857,21.844482808291,23.0481855094261,22.5391685160749,23.6768884156562,23.4794914044623,22.7101489177631,23.6899971185851,22.8626935377105,20.7960784357606,21.7180436560999,23.7229336164193,22.9170185408519,"10165","10165",-1.13144513623688,0.624613635272794,-0.253415750482045,1,0.552016391968356,FALSE,FALSE
"12","10183",25.0972319735907,24.9840618045338,24.2703858029416,23.9954049668908,24.0616736057729,24.822562856859,24.5352409611375,22.5603979118909,25.2947344939519,24.431430716525,22.3468667220155,24.4304984289283,23.4164118887013,22.9977685200569,25.1481864754054,22.6334580222156,24.1221268583452,"10183","10183",-1.62870900138365,0.205574936638825,-0.711567032372411,1,0.120537867842427,FALSE,FALSE
"13","10186",28.526010334739,29.5547600557366,28.9277836519776,28.7390471456573,28.097668287513,29.1373402184464,28.4197585488739,29.3440490022541,28.4162000728138,29.144767194285,27.3998341847614,29.129446297861,27.4557055599621,28.7839451496304,28.111505393641,27.9135092597078,29.2571421248807,"10186","10186",-1.08706896020812,0.294340014054542,-0.39636447307679,1,0.24371516434272,FALSE,FALSE
"14","10210",27.317221032859,26.7681643683401,26.7453601992036,26.614825482019,26.7391586701474,28.5020637116791,26.6172695378928,26.9721232615559,26.1850547516187,26.7965069978202,26.4823865566832,26.7966621004617,26.7182880516195,26.1627241671329,26.35606680361,26.9816279546094,26.8229728940988,"10210","10210",-0.900994829979541,0.300027930307247,-0.300483449836147,1,0.307216183230618,FALSE,FALSE
"15","10211",25.5595922522447,26.6749561891966,26.4317012611777,26.423449878081,26.6599477279803,25.6566275831211,26.7483816693837,23.5803812988045,26.4135748464346,25.7609572961154,25.2785832716875,27.0497409582843,24.6995193968532,25.5828885337705,24.8700773358812,25.6981808238674,23.8480152130365,"10211","10211",-1.64306619394133,0.307031855443282,-0.668017169249023,1,0.167310740558205,FALSE,FALSE
"16","10255",22.1828510764961,22.6706000656184,22.0443814447026,21.2926990828719,23.1791589083184,21.7807684223332,22.751359560585,23.9566227082357,22.852644562233,22.3653239109315,26.6138251047204,22.6445600187252,25.8873932749912,26.9301239678086,25.5163192788908,25.6855980540413,21.9803254404286,"10255","10255",0.740412551823997,3.61854674827835,2.17947965005117,1,0.00514496447751474,FALSE,FALSE
