name,control_1,control_2,control_3,control_4,control_5,control_6,control_7,treatment_1,treatment_2,treatment_3,treatment_4,treatment_5,treatment_6,treatment_7,ClusterID,ID,treatment_vs_control_CI.L,treatment_vs_control_CI.R,treatment_vs_control_diff,treatment_vs_control_p.adj,treatment_vs_control_p.val,significant,treatment_vs_control_significant,cluster_representative
10003,27.7460157471891,26.9472218042417,26.9601456112379,26.2946356466749,27.074013938522,26.744222902757603,26.905955635802304,26.760503181099896,26.540922149293397,26.8788211659551,26.6385142030299,26.093992689436497,26.607894743871498,26.046963148470102,10003,10003,-1.01793023019127,0.130901657257202,-0.44351428646703495,0.895475613168616,0.120471643880034,False,False,sp|Q9WUM3|COR1B_MOUSE
10009,18.894483263079,20.0955322382081,19.2059149258505,22.6512998450789,24.624465727332698,23.1555364290563,23.278610812680803,22.9336058386345,21.703137691879697,24.346984636209804,22.3911712027645,21.8332143912852,24.847314317943695,20.0563453259607,10009,10009,-1.18757914172483,2.96070204555111,0.8865614519131421,0.956185916701312,0.37628487486883,False,False,sp|Q9D572|UBX11_MOUSE
10010,23.781230626952897,23.880543684091396,22.6631213455332,23.123097110369397,23.7351037473916,23.437324367063397,23.192333454721698,23.653102114781,23.4872214305275,24.442797615556604,23.8096678552204,22.7681697834916,23.345234947139602,23.286807875679497,10010,10010,-0.5076904754917,0.787761128712426,0.14003532661036303,0.97120356451968,0.6512257263307181,False,False,sp|P54822|PUR8_MOUSE
10030,27.622625655948,26.1276314119222,26.5623788828159,28.0495875171784,27.638129110931395,27.187809702200102,27.077375840855698,28.422675479156197,28.196999468821996,28.392736066079603,28.7511694442138,28.4416010153433,27.0219130721571,26.5053946550566,10030,10030,-0.10838447978758,1.67037050235241,0.780993011282415,0.8582682827305681,0.0808187904658452,False,False,sp|Q9DCD0|6PGD_MOUSE
10048,21.160719618471198,21.8451531050645,21.8145926354786,23.0905936535117,22.9300505968429,21.6782351933986,22.3977503492238,22.056602988733502,21.172116153665304,22.6751505327065,21.1325173013222,22.977404662856497,23.066396200725897,22.731691715015696,10048,10048,-0.7636187903293109,1.01927147691054,0.12782634329061401,0.9745609629634551,0.7638515666662622,False,False,tr|E9Q6Y9|E9Q6Y9_MOUSE
10059,22.307901465967998,24.909230412954397,22.773484140272103,24.8063921368187,24.8235356137643,25.150317233489197,25.162860610787,22.235283572938105,22.704591801784396,23.5688034295364,24.297762001988602,23.3980347719353,23.7183442115241,23.162603229436304,10059,10059,-2.0659098702236296,0.109253128820649,-0.97832837070149,0.849081957308548,0.0743938218770497,False,False,sp|P17892|LIPR2_MOUSE
10083,20.3928959546787,20.0783645353139,22.8872040643588,20.8007514226655,20.0719886332064,17.6977684993225,16.9812550923015,24.5956782859663,24.960755022249998,19.8616034035502,20.544149427565998,23.957640547800604,19.3661087315007,22.4223060632236,10083,10083,0.13754831051302602,4.66188405520416,2.39971618285859,0.756765190379503,0.0390697646293306,False,False,sp|Q8K0E8|FIBB_MOUSE
10093,23.3106902958142,24.9382437812845,24.854364878787603,24.6752819831558,24.211655441988697,24.938439338080396,24.5225560303633,24.3229669087677,24.260916950136398,22.0224443512155,25.2377824972107,24.8556155171598,25.1549754796805,24.666683496052297,10093,10093,-1.12882857038596,0.863158127742584,-0.13283522132168799,0.9749710165037709,0.779871093349918,False,False,sp|P32921|SYWC_MOUSE
10102,22.428075403235198,23.9965251226748,25.863990629205603,23.633862733850002,22.2301509361385,23.4619112898754,22.0818585276967,22.6863408650172,22.8646329646224,24.466562752445604,24.3718714084687,21.186105774132102,24.347799765450002,24.4689015420952,10102,10102,-1.3022977574953,1.5011093087966898,0.0994057756506947,0.977281949019706,0.8817437587696471,False,False,sp|Q3TR54|GSDC4_MOUSE
10108,25.495706410977398,24.3251755971163,25.883898104902702,25.086926600865002,24.6827535367649,24.7078822068226,26.2511975035986,24.9280932625833,24.776733513084697,24.9618503910995,27.7465367639991,25.026066547322504,25.559567163853,25.1805512560183,10108,10108,-0.7551316575285941,1.25394849664655,0.24940841955897897,0.9694847756546929,0.604062924494052,False,False,sp|O88533|DDC_MOUSE
