name,control_1,control_2,control_3,control_4,control_5,control_6,control_7,treatment_1,treatment_2,treatment_3,treatment_4,treatment_5,treatment_6,treatment_7,ClusterID,ID,treatment_vs_control_CI.L,treatment_vs_control_CI.R,treatment_vs_control_diff,treatment_vs_control_p.adj,treatment_vs_control_p.val,significant,treatment_vs_control_significant,cluster_representative
1,23.1892493719452,20.533567378365397,22.0638443393128,21.6693509304463,20.2944300436772,21.4702298906472,22.4178715676217,22.1479961169078,22.1054788762659,20.068438479679898,22.6399606601188,20.8873545051042,22.5049326730364,22.316435947985703,1,1,-1.02307405918151,1.31794655549094,0.147436248154715,0.958433592426271,0.7952971979165941,False,False,sp|Q8R0W0|EPIPL_MOUSE
100,24.2212447424051,24.5870600806943,25.028948153858398,22.324446747981803,23.4526490897787,24.6758780179955,23.090146833455602,22.2323260616865,21.620410020974102,22.752668723923698,23.151042095560104,19.653808991113998,22.8900389719427,25.023019612308303,100,100,-2.8508301575702406,-0.0226153249041312,-1.4367227412371901,0.881294647682381,0.0467751312992659,False,False,sp|Q6PDN3|MYLK_MOUSE
10012,25.814098986266497,24.857086645406998,23.0530646227288,27.1391195015411,25.6324065550397,25.029027124939798,25.956904612733396,26.4798115269568,27.1499902485732,25.1827642965973,26.8039701564956,26.2707259836159,25.74266163926,22.778742303785,10012,10012,-1.01307248755283,1.84934623230359,0.418136872375378,0.951400647689891,0.548851564351938,False,False,SRS011586.54145-T1-C
10013,24.101361798601697,23.2791582624719,24.821123443685998,22.9957818122822,22.9622139905026,25.4429687039361,22.6251282312459,19.8039371687074,19.859179868284897,21.553954059468698,19.030430058250197,18.845021368460102,19.070438071865002,22.242026485831104,10013,10013,-5.00341816156714,-2.3745101703925897,-3.68896416597986,0.0854324970154496,1.0419314539224901e-05,True,True,WP_013277472.1
10014,24.29343305843,23.6578909395955,24.2292272817543,24.1401698694426,24.246875682488604,24.843870842709798,23.775748811480497,25.7848580609894,23.822364754616604,26.0693152199825,24.476582566624103,22.971120055437897,24.712391710370497,25.105823527286802,10014,10014,-0.52559066448461,1.59851621002943,0.53646277277241,0.93898543457232,0.30436281444743,False,False,WP_091906290.1
10027,23.1189727468784,20.7478299349523,21.980187004566304,22.751077148407898,23.076158947816502,21.5211892176362,23.277685118863698,21.2325257404325,22.019938495669102,20.0606326097642,19.1547686737534,20.6526848241239,21.075744188181897,19.5823276149463,10027,10027,-2.97876897081423,-0.6482247355429561,-1.8134968531786,0.7277804455402459,0.00406995425997154,False,False,WP_022773062.1
10035,18.2918856449462,24.0292263876044,20.4282466806582,22.6537726990167,21.732403876465398,21.630930524729198,22.6281880824961,21.1217074038604,22.7360680471416,22.205467833756398,21.2897436836179,24.2087166083805,21.0384789814242,23.9933889973622,10035,10035,-0.8663306355366899,2.3517356811444,0.7427025228038571,0.9419028932481881,0.346868226660724,False,False,SRS016203.4346-T1-C
10097,27.6748540184245,26.278137917200898,27.2882827054645,27.984617248220896,26.536198740087,25.7427638276196,25.915078228597604,28.487848714369697,28.1813320011644,26.467000386268396,28.566714035553602,27.7630342886688,26.450890162405,27.992471315703302,10097,10097,-0.17855196509846502,2.03265431324651,0.92705117407402,0.907472309708003,0.0955467806266836,False,False,WP_031581002.1
101,18.030677911593898,20.4511426788039,23.730919101771498,20.0555366474265,21.1318249402108,20.3434492466474,20.4430528015086,20.865762716635498,21.648875834551,21.4422935634362,19.1130324643627,22.912012720585498,22.0684568492022,20.4225616913895,101,101,-0.896251309068521,2.12093488398281,0.6123417874571441,0.9453301986259509,0.406915815352716,False,False,sp|Q90339|MYSS_CYPCA
10189,23.4632469605096,22.9099880922962,22.5509008149122,24.536252493055898,25.346829838045398,23.577618986894898,23.830427390963802,26.5930472964086,25.7055091312961,26.613911033853398,24.6403855085959,20.926135260351398,24.647204449629196,24.326216671559898,10189,10189,-0.514351685112044,2.58210733511675,1.03387782500235,0.9259051069482371,0.178766131519124,False,False,SRS022609.13123-T1-C
