"","name","control_1","control_2","control_3","control_4","control_5","control_6","control_7","treatment_1","treatment_2","treatment_3","treatment_4","treatment_5","treatment_6","treatment_7","ClusterID","ID","treatment_vs_control_CI.L","treatment_vs_control_CI.R","treatment_vs_control_diff","treatment_vs_control_p.adj","treatment_vs_control_p.val","significant","treatment_vs_control_significant"
"1","1",23.1892493719452,20.5335673783654,22.0638443393128,21.6693509304463,20.2944300436772,21.4702298906472,22.4178715676217,22.1479961169078,22.1054788762659,20.0684384796799,22.6399606601188,20.8873545051042,22.5049326730364,22.3164359479857,"1","1",-1.02307405918151,1.31794655549094,0.147436248154715,0.958433592426271,0.795297197916594,FALSE,FALSE
"2","100",24.2212447424051,24.5870600806943,25.0289481538584,22.3244467479818,23.4526490897787,24.6758780179955,23.0901468334556,22.2323260616865,21.6204100209741,22.7526687239237,23.1510420955601,19.653808991114,22.8900389719427,25.0230196123083,"100","100",-2.85083015757024,-0.0226153249041312,-1.43672274123719,0.881294647682381,0.0467751312992659,FALSE,FALSE
"3","10012",25.8140989862665,24.857086645407,23.0530646227288,27.1391195015411,25.6324065550397,25.0290271249398,25.9569046127334,26.4798115269568,27.1499902485732,25.1827642965973,26.8039701564956,26.2707259836159,25.74266163926,22.778742303785,"10012","10012",-1.01307248755283,1.84934623230359,0.418136872375378,0.951400647689891,0.548851564351938,FALSE,FALSE
"4","10013",24.1013617986017,23.2791582624719,24.821123443686,22.9957818122822,22.9622139905026,25.4429687039361,22.6251282312459,19.8039371687074,19.8591798682849,21.5539540594687,19.0304300582502,18.8450213684601,19.070438071865,22.2420264858311,"10013","10013",-5.00341816156714,-2.37451017039259,-3.68896416597986,0.0854324970154496,1.04193145392249e-05,TRUE,TRUE
"5","10014",24.29343305843,23.6578909395955,24.2292272817543,24.1401698694426,24.2468756824886,24.8438708427098,23.7757488114805,25.7848580609894,23.8223647546166,26.0693152199825,24.4765825666241,22.9711200554379,24.7123917103705,25.1058235272868,"10014","10014",-0.52559066448461,1.59851621002943,0.53646277277241,0.93898543457232,0.30436281444743,FALSE,FALSE
"6","10027",23.1189727468784,20.7478299349523,21.9801870045663,22.7510771484079,23.0761589478165,21.5211892176362,23.2776851188637,21.2325257404325,22.0199384956691,20.0606326097642,19.1547686737534,20.6526848241239,21.0757441881819,19.5823276149463,"10027","10027",-2.97876897081423,-0.648224735542956,-1.8134968531786,0.727780445540246,0.00406995425997154,FALSE,FALSE
"7","10035",18.2918856449462,24.0292263876044,20.4282466806582,22.6537726990167,21.7324038764654,21.6309305247292,22.6281880824961,21.1217074038604,22.7360680471416,22.2054678337564,21.2897436836179,24.2087166083805,21.0384789814242,23.9933889973622,"10035","10035",-0.86633063553669,2.3517356811444,0.742702522803857,0.941902893248188,0.346868226660724,FALSE,FALSE
"8","10097",27.6748540184245,26.2781379172009,27.2882827054645,27.9846172482209,26.536198740087,25.7427638276196,25.9150782285976,28.4878487143697,28.1813320011644,26.4670003862684,28.5667140355536,27.7630342886688,26.450890162405,27.9924713157033,"10097","10097",-0.178551965098465,2.03265431324651,0.92705117407402,0.907472309708003,0.0955467806266836,FALSE,FALSE
"9","101",18.0306779115939,20.4511426788039,23.7309191017715,20.0555366474265,21.1318249402108,20.3434492466474,20.4430528015086,20.8657627166355,21.648875834551,21.4422935634362,19.1130324643627,22.9120127205855,22.0684568492022,20.4225616913895,"101","101",-0.896251309068521,2.12093488398281,0.612341787457144,0.945330198625951,0.406915815352716,FALSE,FALSE
"10","10189",23.4632469605096,22.9099880922962,22.5509008149122,24.5362524930559,25.3468298380454,23.5776189868949,23.8304273909638,26.5930472964086,25.7055091312961,26.6139110338534,24.6403855085959,20.9261352603514,24.6472044496292,24.3262166715599,"10189","10189",-0.514351685112044,2.58210733511675,1.03387782500235,0.925905106948237,0.178766131519124,FALSE,FALSE
