name,control_1,control_2,control_3,control_4,control_5,control_6,control_7,control_8,control_9,treatment_1,treatment_2,treatment_3,treatment_4,treatment_5,treatment_6,treatment_7,treatment_8,ClusterID,ID,treatment_vs_control_CI.L,treatment_vs_control_CI.R,treatment_vs_control_diff,treatment_vs_control_p.adj,treatment_vs_control_p.val,significant,treatment_vs_control_significant,cluster_representative
0,22.034155487906197,23.5561783541921,23.4198762338123,23.4259900682608,22.279822521164604,26.318427288762102,22.502311754285603,22.6037241303885,23.3771182350804,24.9903459003305,26.8075472595465,24.417793874650396,25.337693351438897,25.369815537414,25.3712888029736,25.1853752187291,25.658743638544898,0,0,0.981074499189558,3.2441088247501804,2.11259166196987,0.66963979489934,0.000776946119514953,False,False,sp|Q6PZE0|MUC19_MOUSE
1030,27.5321790312751,27.876465318645,27.155944822744498,22.178906431532003,26.460942976357003,27.7865943379776,24.0997442046418,27.7465359951943,24.1405435047473,27.556300081037897,26.4507225748109,22.8334661194512,26.2800255067993,23.4266724639524,23.265741079254305,20.3894181270688,26.105909807024002,1030,1030,-3.5363258910192297,0.396088359065659,-1.5701187659767801,0.955701768437265,0.112247240756448,False,False,sp|P58252|EF2_MOUSE
1041,22.611113074928603,25.255008429411998,24.930832877810303,23.198155142375803,22.664363730138003,24.800586934674502,21.6626053612259,22.8678064082389,22.3764195389114,18.5155073552425,19.9249386017195,22.965887833763798,19.1804118274933,20.015466778523397,18.637820612292302,18.3022105065488,20.1880140716098,1041,1041,-5.01198434218657,-2.30364937161853,-3.6578168569025498,0.120624956552005,1.03680938282333e-05,True,True,sp|P07900-2|HS90A_HUMAN
1043,23.472046610352503,22.9329950499367,22.067713352789504,23.805631019447898,22.2894980180368,25.0890166868673,19.7920467467873,23.590781991458698,21.5542646974918,21.9750194699123,21.769983081872695,23.618974320697603,21.4414366630685,18.6555516859079,20.2718630675323,21.295984117513,22.5353190475005,1043,1043,-2.71957152676881,0.145272351788076,-1.2871495874903702,0.9479471497597409,0.0759366129878153,False,False,sp|O95834-3|EMAL2_HUMAN
1054,24.194564127065302,23.9881240931821,24.907040923544102,24.913373375478603,23.527692832337397,25.948499753796803,23.4993475112115,24.3599133308641,25.6794657636316,23.9592323054495,27.570604244623297,27.478310882439605,23.178437515657897,23.9165354499162,25.935537346988102,24.927403543643898,24.802752359170103,1054,1054,-0.6235199103942181,1.95060738656383,0.663543738084808,0.970591177404824,0.29758414846275705,False,False,sp|Q8CI94|PYGB_MOUSE
1059,25.331293421838797,24.908186487436105,25.758507230613798,24.8647431841251,22.8413888986383,24.8969469956426,21.683515964289104,25.219874155433,22.419350733439003,24.394438423642,21.6263992974454,22.957858018994198,25.298024519573303,21.5878603624288,23.227354912389398,23.2660245769815,24.562891509960604,1059,1059,-2.21906119794698,0.521761420755039,-0.848649888595968,0.966103624584517,0.21318970567889703,False,False,sp|Q61316|HSP74_MOUSE
1061,24.571137052044502,24.387149681614105,22.620419865703898,26.1714274045756,23.292969892999,25.362519830911797,25.444407523066896,22.569245813650998,25.675065495495,21.9423179787048,23.8849691303264,21.861365625591898,24.296473273449397,26.0928326147604,24.797559912606395,25.1168789356995,24.6650320841949,1061,1061,-1.7424656028194099,0.996969089416869,-0.372748256701271,0.9781361655571429,0.579234763276443,False,False,SRS015854.21080-T1-C
1075,27.871024646859798,26.2658129244503,28.502464771296395,25.822764432248203,24.065472262044896,29.056629359154503,26.1473499484688,27.9849709955447,26.616186285965,27.3591938483033,26.3429538149462,25.2664594060077,27.0660284151293,25.708900615766698,24.4073836318263,23.252102491647502,27.633794209112303,1075,1075,-2.50479810326404,0.412296516774919,-1.0462507932445602,0.9608958108121859,0.15158273217260398,False,False,sp|Q29261|VILI_PIG
1076,26.4276570141773,26.4275253885428,26.102593406773895,23.474557935816,25.152730117369398,27.314587280560197,24.1280439740799,25.731242887237897,22.445723660693396,24.8080731884678,24.680289549925998,22.4616380626784,21.020362149579803,22.7105544353542,19.6842229757849,19.1287646565712,24.8354851597985,1076,1076,-4.57331783632716,-1.08425943363283,-2.8287886349799902,0.795982211570006,0.00271633380780201,False,False,sp|P17858-2|PFKAL_HUMAN
1077,29.814835715203,29.8463682291202,29.026140406264602,30.147298606643897,29.694568077262996,29.5411798387011,29.410951010917103,27.684507110654,30.188798508418603,29.579086807020698,29.6437296531498,29.974535053323397,29.5838893760458,29.984519725694398,29.991661624370003,31.0593773128439,30.1869233638444,1077,1077,-0.408494606137644,1.44172589005836,0.516615641960357,0.9688481044802422,0.260153542967089,False,False,sp|P55281|CAD17_RAT
1078,26.5884194206118,24.302468938812698,26.810883667153696,25.7995691061761,22.045608701855397,27.251501579998003,24.5128936018712,26.377351527547997,24.7067881881305,23.2861739058562,23.015830510620898,25.901301698783804,25.3186175546318,23.3647348816349,24.4113613770674,24.442785342214,25.650398577436103,1078,1078,-2.33034554852337,0.423594347883065,-0.95337560032015,0.962322387487759,0.165705377468551,False,False,sp|Q7KN62-3|TERA_DROME
