"","name","control_1","control_2","control_3","control_4","control_5","control_6","control_7","control_8","control_9","treatment_1","treatment_2","treatment_3","treatment_4","treatment_5","treatment_6","treatment_7","treatment_8","ClusterID","ID","treatment_vs_control_CI.L","treatment_vs_control_CI.R","treatment_vs_control_diff","treatment_vs_control_p.adj","treatment_vs_control_p.val","significant","treatment_vs_control_significant"
"431","312",24.9625966486449,25.786075005732,24.4237708197198,21.7503643329387,23.8842472974004,25.3893712529223,24.699874075395,24.9100058027313,24.8500889052018,22.0455913721572,24.2612676933031,23.8846719268246,24.5717771737613,22.2501272135631,24.2621674818427,27.4228820128201,23.373429272838,"312","312",-1.89267872359111,0.875903006882792,-0.508387858354158,0.963163938355216,0.455004615114584,FALSE,FALSE
"432","3121",25.808572512087,22.7294296855245,25.2214480995785,24.3497305133292,20.5089514720957,22.4847007302812,21.2079026434515,24.44338547495,22.4647277069711,24.6409688368812,25.0869296369781,22.9363566743248,26.0433724100232,21.7043811458903,21.8384168452575,23.016903819226,24.4569031354141,"3121","3121",-1.1124069883815,2.050387594765,0.468990303191752,0.966202209309203,0.545444325529099,FALSE,FALSE
"433","3123",22.3079211939398,22.2000032623391,22.3378113373497,24.552638729318,22.3246535764313,20.5484823448978,24.6984251627153,23.8120280252679,24.7204996320616,25.8873178494027,24.4439816286147,24.3879425022701,24.2442926197849,24.432865922122,25.3653992749047,24.4131329537062,25.222362078364,"3123","3123",0.546977876815219,2.94068732729475,1.74383260205499,0.76802181913063,0.00619778867889171,FALSE,FALSE
"434","3139",27.0431178919687,25.3268499507514,27.1651725536943,26.7567716979165,27.4024537345686,26.352041320421,27.5095935151201,25.2754302716747,27.5254261945327,26.2284647021894,24.6122504609172,23.6347871255641,26.5732148061705,23.0100494642204,25.387274704203,27.8343869346415,26.5310566760934,"3139","3139",-2.52271281760911,0.0629491181872199,-1.22988184971095,0.9108700463196,0.0612393628842289,FALSE,FALSE
"435","3141",25.1130206568965,23.7593336442661,23.5428188669635,22.530881839714,21.6492355617261,25.7882532430877,19.7051531191968,23.0206025831262,22.4173258903754,24.987980463994,23.8124594656766,21.1473745026088,21.1983802913855,22.5960582363054,21.273801289356,22.8544286112052,22.8178580520503,"3141","3141",-1.99454075722405,1.04959811751337,-0.472471319855337,0.965639829249641,0.527004970720377,FALSE,FALSE
"436","3144",24.9469974492145,24.5636557385059,24.6799270173795,25.2508438155304,25.7229777957511,24.7943163051021,26.2020594255481,25.5975212027479,26.5419169789286,24.7305931188718,23.3849975165372,23.2788152446993,23.8373609522999,23.0757575693863,26.7179796297049,23.674359099774,22.6084317110997,"3144","3144",-2.57540794160332,-0.330899620849634,-1.45315378122648,0.830868009986302,0.0134309560321094,FALSE,FALSE
"437","3145",22.3993978909506,23.6647908918779,21.5517847578424,23.6232033397317,21.5117637510819,21.7098545360335,23.3138638271379,22.0933991875508,23.7504674850466,25.582827792689,24.0779135037079,24.9084093429025,21.7278415350826,24.6848196619262,25.5007517250724,23.9580679326063,21.4738969564995,"3145","3145",0.0703187786076511,2.65975207462433,1.36503542661599,0.892754739525103,0.0396700492060546,FALSE,FALSE
"438","3148",27.870289009952,26.067599854673,27.2638962508059,28.8033469581808,26.9397869179767,27.1880214879255,27.1032220957842,26.2898132531246,28.9007417603805,26.5333190818753,24.7801742849359,23.0192026567985,23.939891767155,29.5412651494264,25.6775938162507,24.8062301102526,26.687425917767,"3148","3148",-3.230581345318,-0.284635756078436,-1.75760855069822,0.860919165548714,0.0214492393010257,FALSE,FALSE
"439","3152",24.0558798286664,24.4831550281247,26.0258958183317,24.8691875370893,26.350308886808,27.8368802633947,26.1112328579958,26.1221401914892,23.9335256096941,24.7979261121643,24.8971520630306,26.1263363153143,26.797903187228,23.3045255411975,25.4889453887702,27.1189316297315,25.0427673097812,"3152","3152",-1.35854417927019,1.18812028349818,-0.0852119478860054,0.973639470899975,0.891064132347749,FALSE,FALSE
"440","3158",21.2845790073692,23.7076975147526,24.0922446045857,23.587887595329,24.9884801347946,22.6642015990757,24.6952993499067,24.475087837583,24.4672664731638,0,0,0,0,0,0,0,0,"3158","3158",-24.798689925722,-22.7485865446247,-23.7736382351734,1.71273364213711e-14,2.00097832514447e-24,TRUE,TRUE
"441","3160",25.6838099610676,25.2934962759954,23.2729832434628,26.2650515732687,25.3121265006112,26.1030436149092,23.7064717776697,26.2701729353626,25.1500726386692,25.1059262473333,24.6862236720025,26.1388272920967,25.620493419372,24.5872406750324,23.4027322230952,26.1018376726064,25.7780343299013,"3160","3160",-1.16909594295068,1.06726293225138,-0.050916505349651,0.974181352033336,0.925743301536287,FALSE,FALSE
"442","3162",28.467987141747,28.4043137609011,28.476580245257,24.0166585182173,27.5670286753519,28.6733407343452,28.6337223315332,27.8290146671579,28.4214637586926,27.4577412509824,27.2259062005899,27.9726188901837,26.6478333256519,24.3335092338679,28.1234731109477,23.958395181093,27.5721574551081,"3162","3162",-2.63952437583501,0.297964186118193,-1.17078009485841,0.931416208170427,0.112702218995844,FALSE,FALSE
"443","317",25.6481316384781,26.9776437819818,25.6303181516482,27.3048405382577,28.6392850727554,26.8163623201884,27.1541576024275,28.4740577258977,27.259659434723,28.0683177291022,29.5237313976212,29.8518602272656,29.6340621606238,29.2749279996739,28.0085613184491,28.620320635724,27.289221136838,"317","317",0.578210712462436,2.78854965744917,1.6833801849558,0.736322859786942,0.00448578711274571,FALSE,FALSE
"444","3170",20.699010654991,21.3764412665057,21.2911611418313,21.8311800367294,21.3452704165947,21.8870621633462,20.7421531593444,23.9219741937161,22.5544251441798,21.2262328373283,21.5228477671645,20.8036203293202,21.9859725374985,19.7351213121685,21.6826594639759,22.2284963727644,22.0886653282672,"3170","3170",-1.39515520923631,0.73607515697182,-0.329540026132243,0.965687741083755,0.528543408678311,FALSE,FALSE
"445","3177",23.1648500118797,24.0084923110165,22.6837935001162,24.9577259994717,21.8501734814448,24.232770836124,21.6600176611452,22.8128016858752,22.7771876792486,23.4135746043387,23.4481155490303,22.583118586089,19.9666701992999,21.5330663747479,23.1903339522296,21.6066424167324,22.8261190092092,"3177","3177",-2.00878843892123,0.395629019324466,-0.806579709798381,0.943832948784952,0.178392231212433,FALSE,FALSE
