name,control_1,control_2,control_3,control_4,control_5,control_6,control_7,treatment_1,treatment_2,treatment_3,treatment_4,treatment_5,treatment_6,treatment_7,ClusterID,ID,treatment_vs_control_CI.L,treatment_vs_control_CI.R,treatment_vs_control_diff,treatment_vs_control_p.adj,treatment_vs_control_p.val,significant,treatment_vs_control_significant,cluster_representative
1,22.965420571184396,22.8352040455643,21.9459692136355,21.649546960379,20.739950324741603,22.191533685037697,22.460428898320604,22.1142316313142,22.1193654486362,21.6802406093262,22.903317557618,23.9425953992359,22.4877043882268,22.4932840159227,1,1,-0.607947915654092,1.45157230177322,0.421812193059562,0.961116973029272,0.40294275625463105,False,False,sp|Q8R0W0|EPIPL_MOUSE
1000,32.2685335289969,30.0144557768865,33.4453798807288,33.8403710226908,33.3078420396027,32.2298383783634,31.998684793859102,33.9209331810152,33.8472529401288,34.341590955339896,34.3753492153769,35.1445865999099,34.5744465823321,32.243228739893496,1000,1000,0.3680121984895,2.8726400280442297,1.6203261132668603,0.884139913387867,0.0138132348795021,False,False,SRS024132.57193-T1-C
1001,23.850934110865804,24.022183393505898,24.840651116733,26.1885738679597,26.9015141349581,24.889860224680902,25.483769658274397,27.5994263932491,26.9642166575736,28.157133326133298,26.9431660913236,24.7814377102388,26.755872728183302,26.409062618298503,1001,1001,0.39910741492656,2.8674151616512997,1.6332612882889301,0.879012715435057,0.0120670967515633,False,False,SRS022609.33556-T1-C
1006,28.7659419646692,30.1452069721734,29.623702915195604,28.586246299369897,29.05627906814,29.4254136275215,29.3068875457232,27.868510831884,28.1264533747823,29.081192185799303,28.852773685129105,29.4555277861513,29.3762602691322,28.5937793750887,1006,1006,-1.4484772031985,0.43271123610539103,-0.5078829835465549,0.955588306054573,0.273332606341257,False,False,sp|B1AVD1|XPP2_MOUSE
1008,23.5167362788198,23.1328991190241,21.979402516272103,21.4669566817413,22.0195856384577,21.484823385846802,22.194467716157497,21.8456546663369,20.9905783618027,20.2152959942613,22.471233382900895,23.612494411350003,22.6833041359792,21.886146817565603,1008,1008,-1.4571076701510302,0.859918079830259,-0.29859479516038695,0.9662721619212541,0.596735081028665,False,False,SRS014287.5952-T1-C
1010,21.3885665395686,20.7945753086975,16.8038662405613,19.349896707070698,19.1735478305272,18.3244179050056,20.0670666653248,21.2172856312701,22.0161118382205,22.7636212737085,22.060847958916998,19.816743062392398,22.0277747513642,22.1564482157168,1010,1010,0.939747950518988,3.6765079165763903,2.30812793354769,0.789728818945026,0.0021625328354618603,False,False,XP_006962224.1
1013,24.0342335866432,22.156501605369503,23.4207274030765,23.115308188260897,20.5861370079752,22.271927451012,21.2514529382209,21.6623584925239,20.320985597337998,21.6992259097532,21.1889932238442,17.3830292210842,20.7084785565328,21.1384280563368,1013,1013,-3.24497917192985,-0.393532006111579,-1.81925558902071,0.8871144327132661,0.0149823691163872,False,False,sp|Q9JMI1|AACS_RAT
1015,22.7800667253188,21.4009565475785,20.7893043849586,22.7974054507204,23.375423162702997,22.1390791498204,21.6735118091676,21.674540135527803,21.7569097212796,20.226362798755602,20.065301736559,22.622591000409898,19.1635047270943,20.5937868321002,1015,1015,-2.4829839983366697,-0.0463732241036328,-1.2646786112201498,0.919110227757665,0.0426255990847057,False,False,sp|Q4R3D4-2|EF1D_MACFA
1019,21.2224099143229,22.0517326949364,22.763374889774898,19.918593952695197,19.6875243388751,22.0676309736968,19.766886341808398,20.9078874753178,20.543126246245198,20.9833715009101,21.220322821641602,20.984442102232197,20.0739807001123,20.546564804141397,1019,1019,-1.4606193251357702,0.826774337847452,-0.316922493644157,0.9656808569731191,0.569670285043095,False,False,sp|Q9NQW7-3|XPP1_HUMAN
1021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.314633303794302,21.9809480632055,21.476310126175605,21.3475608167333,23.2619205889715,23.169307107459897,24.3413460280587,1021,1021,21.515042022189697,23.596965416210004,22.5560037191998,7.90597378118128e-15,1.3677826294117899e-21,True,True,SRS014979.31472-T1-C
1031,25.0559513420575,25.792883483784298,25.3980954606656,25.9822590150057,25.324886806542896,25.438393424289302,25.9757250397498,24.7992297362606,23.7819728670884,24.235575967175897,23.538602796873498,26.042095518211003,24.8418136637286,24.4508327396977,1031,1031,-2.01170529949305,-0.0677436385238732,-1.03972446900846,0.915578863772856,0.0372653720349747,False,False,SRS064276.7558-T1-C
1035,22.602058157182302,21.8675264795168,21.818854410805802,22.935197608942598,23.420278426641804,22.381903839611898,22.400594922466198,23.838879312723698,23.587906818243198,23.4678082616052,22.348125147794104,23.571495860724802,21.645465819594698,21.561944217344898,1035,1035,-0.689261219974028,1.43075024650641,0.37074451326618896,0.963296473110275,0.47407663903757297,False,False,sp|P37880|SYRC_CRIGR
1037,26.047267348267496,20.405961000083398,25.4917223530162,24.4533323089585,26.136170327726397,28.3154685755895,26.1338265551057,23.6964047124418,23.9268589670823,25.2613665934905,22.9632183675144,22.9296824558812,25.046250878649396,23.3118284006779,1037,1037,-3.19663674965245,0.3828830087925179,-1.4068768704299701,0.9413275369231391,0.11669022511171401,False,False,sp|O08677|KNG1_MOUSE
1039,22.2096270855359,22.7936249384306,20.842186117987897,23.970688885552303,23.8347401089865,23.5784082815447,22.019580209211103,25.5284550646452,24.397828215352,25.1814714497942,24.9165206439904,22.0506992765176,23.7573907215396,24.1541844365129,1039,1039,0.256835001717012,2.81107762145524,1.5339563115861299,0.898645914376994,0.0209907727615002,False,False,sp|Q13310-3|PABP4_HUMAN
1041,24.798455287582502,24.0445788898552,20.1535025530062,27.667734738583,25.813247454028698,22.961375503625497,23.6793334051085,21.1193426495215,22.3658351605587,22.166847129404502,22.2631674569426,21.4598033034366,22.6873558188352,22.6099873558045,1041,1041,-3.748384188128,-0.37901265681083895,-2.06369842246942,0.895133198990731,0.01886593263006,False,False,WP_005423675.1
1048,22.9089054667032,23.471375795924803,20.3036436431888,21.131670478897,23.351715691487698,19.6840020451477,22.8005197913291,23.192666812086202,21.1910857287459,23.154208700742,23.9711113701369,22.804235422802,23.7551458351931,27.3117105481489,1048,1048,-0.007647223861916521,3.35859908248379,1.6754759293109398,0.9235715480541671,0.0509532197281916,False,False,sp|P45700|MA1A1_MOUSE
1051,22.548650960893998,22.310543999959897,23.341375620533398,22.259692412041698,22.643079995288602,23.0687223610825,22.846849478972803,21.274502143174104,21.4613620356856,22.3583029622422,22.2693284639608,24.760289352054702,24.320139743225198,23.335493536334894,1051,1051,-1.06960440245161,1.2868910904243798,0.10864334398638699,0.970669830855862,0.8494030223313941,False,False,WP_096056720.1
1053,21.8743743054557,20.452331743922397,22.363555700057997,20.2338677309797,19.8463626811868,23.6677469586159,24.705270208643398,23.4326739133083,21.0279100450753,23.135298303690902,21.297059551808697,21.4328186549046,20.5539910771627,19.3669880774473,1053,1053,-2.0450467837829898,1.21739829650758,-0.41382424363770903,0.9663936129499928,0.6024747339840899,False,False,SRS064557.44488-T1-C
1060,21.8113362760747,22.389807241853102,24.7999082974949,23.316125441290804,23.2516759888666,23.5378597685182,22.568947659806298,20.260724320848396,22.04557770821,21.763778483569602,21.1968380214152,23.6139501687542,23.2375371939438,22.0562120112382,1060,1060,-2.28858787645269,0.14543280047405802,-1.07157753798932,0.9340979621911469,0.0811598568163292,False,False,SRS021484.178560-T1-C
