"","name","control_1","control_2","control_3","control_4","control_5","control_6","control_7","treatment_1","treatment_2","treatment_3","treatment_4","treatment_5","treatment_6","treatment_7","ClusterID","ID","treatment_vs_control_CI.L","treatment_vs_control_CI.R","treatment_vs_control_diff","treatment_vs_control_p.adj","treatment_vs_control_p.val","significant","treatment_vs_control_significant"
"1","0",26.2060644351602,24.2480185346531,28.3145353265595,25.0665622859232,26.0911876646401,24.8192241641299,24.9127545983015,25.6870709559881,26.1593870100745,26.4515965845029,25.0135392378263,28.0176408577871,24.7220966626906,24.4622197945827,"0","0",-1.27139582357199,1.51573985045336,0.122172013440682,0.982819326595729,0.854120800171178,FALSE,FALSE
"2","100",28.8266347245424,30.1998663270547,28.6525145712401,29.7666182878399,29.2029455838942,29.4253609227886,29.6268347201912,28.0259859571419,28.3297381382246,30.2031391930541,30.1478826709808,29.1754111132031,29.9810091132041,29.4203472892339,"100","100",-0.909091213387015,0.78987359552739,-0.0596088089298128,0.983266576648182,0.882976535580946,FALSE,FALSE
"3","1000",24.6236518476518,24.7938267287383,22.8271470990904,24.9844317148166,22.5414825878926,24.8486695936064,25.0025773502039,25.7004574190161,25.1736692075092,22.2254139875447,23.6120814095022,24.3530288079643,22.2916279793603,23.2141554535218,"1000","1000",-1.75088216748977,0.879067122466483,-0.435907522511645,0.973576512001876,0.490265757383453,FALSE,FALSE
"4","10007",23.8683738276943,24.7061393270327,23.7733642077358,22.8048851038135,24.1087351674947,23.7553083523878,23.8318863002044,23.2774151134226,23.6557556201221,23.2595068026774,23.8700327813425,23.9997106961761,24.3611644494644,23.8618888367882,"10007","10007",-0.723540113598492,0.562620688921374,-0.0804597123385591,0.981785466068347,0.793135939815342,FALSE,FALSE
"5","10012",20.8125431922816,20.3660788413953,21.2481986050436,22.2320267846038,22.3786491499015,22.7128953365641,20.4598628241388,23.3298521669584,21.8868962535074,23.2996732377917,22.5326831369067,22.171072013603,22.2391364025842,22.6323520518319,"10012","10012",0.21730252835863,2.03452905142841,1.12591578989352,0.676373995804757,0.0185628165058083,FALSE,FALSE
"6","10014",23.7256077781179,27.7346262651746,23.5798408347478,28.3252268304685,27.0072558583514,27.9925005595599,28.7223977170779,24.1442269260935,23.8530431759827,24.3846329881674,26.4779743280124,25.120451353671,26.8055537417386,27.8953586817339,"10014","10014",-3.17689764044618,0.77512202670373,-1.20088780687123,0.95018933149568,0.214496557025781,FALSE,FALSE
"7","10036",21.560556278636,18.6159815900159,19.5028861775321,19.1492732803643,16.8758813109039,18.8864051080761,19.2315587102594,21.7804796945097,21.5023802309395,21.1614499230045,21.4322161488829,22.1726734926114,22.9486349370817,20.3948781816589,"10036","10036",1.2802289568053,3.73981965830923,2.51002430755727,0.128660610380132,0.000583628623990876,TRUE,TRUE
"8","1004",27.796811809686,27.0151955147019,27.728946728529,27.3001554353769,26.6756563170602,29.5750354404012,26.4702075597843,29.7490144095212,27.2141303328795,29.7511495974737,29.4758618402525,27.3136342308013,26.8604199236933,26.5723769071432,"1004","1004",-0.732434663506198,1.98231421671335,0.624939776603576,0.965161554728702,0.341609217032187,FALSE,FALSE
"9","10051",26.7849701922481,26.3170149480138,30.9178668621618,26.9093000086097,26.2505547165003,26.5759435455095,25.7619919732925,30.0535022948446,30.2195034010686,26.5009070534562,27.0813634595315,27.3142642123131,27.2519852628882,25.2245645722982,"10051","10051",-1.29041515936917,2.4699717336734,0.589778287152114,0.974498590801857,0.513517706047426,FALSE,FALSE
"10","1009",26.8791237030523,25.907737556417,27.1230151195391,26.0255505191702,25.5917760747949,26.8620465295751,26.0007448365378,26.3265148994292,26.9452880458722,25.7308158895946,25.099503644293,25.2970699101678,25.7534533460194,27.3052326916253,"1009","1009",-1.12081023572914,0.568777117990626,-0.276016558869255,0.97382820156233,0.49642745905205,FALSE,FALSE
"11","10093",22.5786963108882,22.7569986680438,22.5113313751836,22.2408655585331,23.2469459733413,23.0363423330644,22.8359370543096,23.3428057879227,23.6497845211217,23.6479107085241,23.4051526323263,24.8222269325447,22.3276973624316,24.3034474377778,"10093","10093",0.157556586462687,1.64013144476156,0.898844015612124,0.700786352385327,0.0207765074070713,FALSE,FALSE
"12","10094",19.7473636645711,22.4618163904985,13.6474584264549,23.4457678553577,24.0085241971776,23.3485086750133,23.076594790101,20.3507698037215,19.3966570384652,20.581477365715,24.0260249120879,20.2854925289763,22.9108644750942,23.7377285482055,"10094","10094",-2.81584108921781,3.25954985295826,0.221854381870223,0.983194875235181,0.878242153720602,FALSE,FALSE
"13","10097",22.1403108620164,20.002082925368,16.9366724418196,19.5796915905026,21.0534970564822,21.3449806787206,22.266950634081,20.867400918082,20.4892090213501,19.9912408727239,20.0722647830348,23.2124197941335,19.4335548793978,20.3260640532548,"10097","10097",-1.51212494870888,1.81725870099075,0.152566876140934,0.982714514689549,0.847585392018803,FALSE,FALSE
"14","10098",22.3461341399769,12.9561946290908,25.0634248304443,24.3680300726181,25.3548571302101,14.8631699406825,16.6719694552252,24.0185117770607,23.3097259952134,20.1735453906842,17.4933707593637,24.2045316681523,19.5145060292404,13.4709130262749,"10098","10098",-4.71198053676297,4.87235895040347,0.0801892068202505,0.98450599315745,0.971988791187941,FALSE,FALSE
"15","10113",24.6831604541327,22.9914668322031,25.7906959022153,24.8553850202332,23.9146541998512,23.5104383453004,20.5218821885853,23.5259220791183,24.4789253581724,23.5319518021323,22.6009902072152,25.3605444508625,23.8200792151174,24.4958681985066,"10113","10113",-1.23135311059228,1.67323835876472,0.22094262408622,0.980968861840193,0.749964521678249,FALSE,FALSE
"16","10119",20.4792286425005,22.218557915183,20.7385170063198,18.3615497468848,26.0436267476104,26.4235276677851,19.4261500737124,26.3413936064886,26.5425710360485,22.0275895032362,26.2054812015526,21.3788012658785,20.240002841499,22.0669005150434,"10119","10119",-1.46183577399204,4.63657353677801,1.58736888139298,0.959896199555253,0.284292489089994,FALSE,FALSE
"17","1014",22.8528670224744,20.8058760963465,23.4024161953299,22.0651728634466,21.7199465000054,21.5987926549679,22.0626545699341,20.98748539081,20.52609418844,19.6822968299109,18.0669195609083,18.9538326821453,20.1249694214724,17.5108723165511,"1014","1014",-3.85669913031333,-1.47337387319152,-2.66503650175242,0.0679902017852621,0.000256794590020835,TRUE,TRUE
"18","10146",26.730547034358,26.9689331748765,26.3373192403243,27.3753635262917,26.3372700979622,26.8514280071548,26.8411094605468,26.81504688067,26.838125887931,26.9247233926082,27.2176919461867,26.8916559481247,27.1166496526461,27.8589963376378,"10146","10146",-0.234839239043896,0.869387668841074,0.317274214898589,0.954204935254836,0.239209667519418,FALSE,FALSE
"19","10210",27.1670868578462,25.4159758753458,22.723544713222,24.2942969557663,24.162259777942,24.2170843497111,24.8976896435689,24.1280173772259,23.369589891858,24.0968447786642,24.7872986478372,29.3877066851284,24.3252628338617,25.4504858271098,"10210","10210",-1.4298758994851,2.19195243328017,0.381038266897534,0.978977454050907,0.659893276274862,FALSE,FALSE
