name,control_1,control_2,control_3,control_4,control_5,control_6,control_7,control_8,control_9,treatment_1,treatment_2,treatment_3,treatment_4,treatment_5,treatment_6,treatment_7,treatment_8,ClusterID,ID,treatment_vs_control_CI.L,treatment_vs_control_CI.R,treatment_vs_control_diff,treatment_vs_control_p.adj,treatment_vs_control_p.val,significant,treatment_vs_control_significant,cluster_representative
10003,27.2849425109692,27.6616605842475,26.6595811220546,26.817236027471104,26.4187047016932,27.355022776484603,27.3310561410208,27.486491097726397,27.815684493987302,27.041274088861602,27.475344442664102,27.0857734583602,26.979832768836,28.2146391791742,27.2275657276225,26.302366610472102,26.819128944405698,10003,10003,-0.661107608990053,0.540837923943623,-0.0601348425232153,1,0.835944760208833,False,False,sp|Q9WUM3|COR1B_MOUSE
10010,24.9539262612565,24.6431429321428,25.241018656553997,24.8899476057173,25.633767358054598,24.9054016042807,25.586919281565102,24.6553582602034,25.733256780479802,24.5072575007668,25.6407396648696,24.0186961571885,24.036854746758898,23.9821414855648,25.5495414238187,24.153679276950697,25.3654672926837,10010,10010,-1.14300153353534,0.180431756184818,-0.48128488867526203,1,0.143976510781499,False,False,sp|P54822|PUR8_MOUSE
10017,23.5858532104922,22.6470525692313,22.0242972999696,26.1592728958583,23.5033764171323,25.3725660667355,25.195724459965,23.578465868979396,25.241201603389396,23.585818949369102,21.9260190425484,24.336927841690397,23.057817419268197,21.056568261518,23.7574132056755,22.997373671619503,23.4881669535242,10017,10017,-2.3383519709268104,0.0992537757294312,-1.11954909759869,1,0.0695622386684464,False,False,tr|F6Y616|F6Y616_MOUSE
10030,28.541277778117,28.5982412417701,28.7874171349123,28.4498620822891,28.1282702930753,28.938526815139102,29.3719990868121,28.5611708492519,29.5823676734521,28.884509220743798,27.6516998705158,28.023320023308397,28.815358154441398,28.019838351519,28.644750380613605,29.5116131403497,29.0421218837131,10030,10030,-0.8243461981973392,0.42617496453878,-0.199085616829279,1,0.512231038127512,False,False,sp|Q9DCD0|6PGD_MOUSE
10059,23.690555190858397,23.149980570697604,23.0855397247529,23.2332061094874,23.494030816041604,23.312924628566602,24.225896191617302,23.5990810716611,23.898970073976603,24.188290846073798,25.3277628646397,25.130206120980702,25.416799653295,26.8190059840863,26.772945510197395,25.8060355805761,24.238700364295696,10059,10059,1.16692195145327,2.7157515845475,1.94133676800038,1,5.10906369305274e-05,False,False,sp|P17892|LIPR2_MOUSE
10083,23.316176414278804,23.2089500845075,24.1970095912111,24.4284879683752,24.2297943780905,24.0733913289645,25.018509017971102,24.761177406275102,24.992077965234603,23.611172974524003,25.7994114253305,22.387964451307397,23.033488201181502,26.707230756543897,26.6004294352142,22.7609121841007,23.3072173497862,10083,10083,-1.24335345015841,1.30073811023144,0.0286923300365167,1,0.9627464363699441,False,False,sp|Q8K0E8|FIBB_MOUSE
10093,19.1631459773122,23.9008781372034,24.043826819476198,25.2715267168503,23.947258808709197,22.1175974483288,24.78771991315,27.137578082165497,24.087347507098,25.257692730093797,25.2005417020093,24.378239349026398,27.9873453956951,29.0918787036657,28.825048161151,28.0846696801375,24.4243746196169,10093,10093,0.8273364168341071,4.82802685511626,2.82768163597519,1,0.008179562251231079,False,False,sp|P32921|SYWC_MOUSE
1010,28.3239432092841,28.087570564126,27.2059547555114,27.5530310336823,27.7140098723631,23.0690391402315,27.6166287361621,22.628290225468103,27.9341921240644,27.6386292190338,23.0087177216525,27.6531211921418,18.7924725858427,23.621980636089,23.6462944656733,22.9171549758625,25.608033200518197,1010,1010,-4.9601182562120805,-0.18109400256068603,-2.57060612938638,1,0.0364308056357667,False,False,sp|Q8K440|ABC8B_MOUSE
10102,24.754601243676895,24.879654430417,23.2294117665488,24.4993128970719,23.3982810348789,24.9349552401082,23.9113343805419,22.7677716588723,23.6036146872565,24.2019475533286,23.1484182396346,23.964990777929803,22.826760269516697,25.8800328962745,24.1020618005447,22.4480189813673,22.3806206520335,10102,10102,-1.36753601441891,0.610429398326862,-0.37855330804602294,1,0.432007206437983,False,False,sp|Q3TR54|GSDC4_MOUSE
10108,28.414364262586798,27.934916642407497,27.2104576456839,27.8223308960562,25.161361923056504,26.611339078741498,27.5773076102914,27.749185393526897,27.5627054327674,28.863045574421,26.362635720325102,28.201287716714,26.4922902023609,26.6311464220806,26.966023565605802,30.1910069273274,26.0821271898724,10108,10108,-1.05303067056065,1.32398397021122,0.13547664982528598,1,0.81353954928205,False,False,sp|O88533|DDC_MOUSE
