time,original data,fitted-baseline,baseline,original-baseline
0,0.79571,0,0.77755,0.01816
0.206,1.0991,0.46725,0.77875,0.32035
0.412,1.455,0.34525,0.79668,0.65832
0.618,1.7211,1.1084,0.78417,0.93693
0.824,1.7027,0.79687,0.80536,0.89734
1.03,1.4029,0.55573,0.7922,0.6107
1.236,1.2011,0.39902,0.79219,0.40891
1.442,1.0905,0.28838,0.78743,0.30307
1.648,0.99529,0.20624,0.76517,0.23012
1.854,0.94665,0.15161,0.75533,0.19132
2.06,0.90835,0.11336,0.75008,0.15827
2.266,1.2288,0.69252,0.72981,0.49899
2.472,1.4521,0.49753,0.73843,0.71367
2.678,1.687,1.2351,0.70578,0.98122
2.884,1.4969,0.86097,0.70805,0.78885
3.09,1.3712,0.62064,0.72527,0.64593
3.296,1.1753,0.44474,0.72917,0.44613
3.502,1.1256,0.32341,0.73461,0.39099
3.708,1.2813,0.23686,0.73618,0.54512
3.914,1.4503,0.89545,0.72052,0.72978
4.12,1.3452,0.60114,0.68786,0.65734
4.326,1.3277,0.42735,0.68661,0.64109
4.532,1.5621,1.0991,0.65395,0.90815
4.738,1.426,0.77772,0.66499,0.76101
4.944,1.2567,0.56083,0.68047,0.57623
5.15,1.0842,0.40199,0.68336,0.40084
5.356,0.98145,0.29154,0.68566,0.29579
5.562,0.87829,0.21492,0.69073,0.18756
5.768,1.0248,0.16069,0.69732,0.32748
5.974,1.2298,0.74021,0.67776,0.55204
6.18,1.1826,0.54811,0.71041,0.47219
6.386,1.0621,0.40527,0.73416,0.32794
6.592,1.1172,0.3067,0.76681,0.35039
6.798,1.2595,0.23455,0.79947,0.46003
7.004,1.1031,0.17826,0.81858,0.28452
7.21,0.98631,0.13362,0.8174,0.16891
7.416,0.88515,0.10246,0.82623,0.05892
7.622,0.86806,0.079002,0.8317,0.03636
7.828,0.83188,0.06238,0.84989,-0.01801
8.034,0.79235,0.049744,0.87028,-0.07793
8.24,0.77587,0.039962,0.89163,-0.11576
8.446,1.034,0.032677,0.92429,0.10971
8.652,1.1099,0.026824,0.95694,0.15296
8.858,1.0885,0.022091,0.98959,0.09891
9.064,1.2022,0.018022,1.01,0.1922
9.27,1.511,0.66385,1.0176,0.4934
9.476,1.6135,0.48583,1.0344,0.5791
9.682,1.4193,0.35635,1.0407,0.3786
9.888,1.2838,0.2649,1.0484,0.2354
10.094,1.1763,0.19715,1.0453,0.131
10.3,1.3614,0.15067,1.0585,0.3029
10.506,1.3055,0.11418,1.0522,0.2533
10.712,1.1752,0.086767,1.0393,0.1359
10.918,1.0115,0.066044,1.0197,-0.0082
11.124,0.89375,0.050763,1.0029,-0.10915
11.33,0.84997,0.039732,0.998,-0.14803
11.536,1.009,0.031716,1.0073,0.0017
11.742,1.139,0.025628,1.0242,0.1148
11.948,1.0878,0.020412,1.0224,0.0654
12.154,1.2026,0.016225,1.015,0.1876
12.36,1.3438,0.64151,0.99126,0.35254
12.566,1.3418,0.46504,0.99774,0.34406
12.772,1.5496,0.3464,1.0192,0.5304
12.978,1.3951,0.25576,1.0195,0.3756
13.184,1.306,0.18732,0.99998,0.30602
13.39,1.1977,0.13795,0.97558,0.22212
13.596,1.3804,0.10167,0.94292,0.43748
13.802,1.3943,0.78575,0.91027,0.48403
14.008,1.4679,0.55939,0.90949,0.55841
14.214,1.3506,0.40153,0.90474,0.44586
14.42,1.2216,0.28998,0.89431,0.32729
14.626,1.1623,0.21215,0.88483,0.27747
14.832,1.1062,0.15282,0.85217,0.25403
15.038,0.98469,0.11258,0.83033,0.15436
15.244,0.90486,0.082591,0.79767,0.10719
15.45,0.77077,0.061877,0.77554,-0.00477
15.656,0.74681,0.046652,0.75269,-0.00588
15.862,0.74308,0.035723,0.73663,0.00645
16.068,0.93055,0.027494,0.72006,0.21049
16.274,1.0575,0.48533,0.6874,0.3701
16.48,1.0116,0.34604,0.68276,0.32884
16.686,0.89276,0.24822,0.67374,0.21902
16.892,0.83949,0.17723,0.65377,0.18572
17.098,0.75518,0.12975,0.64286,0.11232
17.304,0.69342,0.09627,0.63362,0.0598
17.51,0.6595,0.072257,0.62528,0.03422
17.716,0.61372,0.054579,0.61513,-0.00141
17.922,0.59277,0.042448,0.61783,-0.02506
18.128,0.56419,0.033473,0.62445,-0.06026
18.334,0.55297,0.026647,0.63292,-0.07995
18.54,0.75778,0.021677,0.65181,0.10597
18.746,1.1535,0.46015,0.66353,0.48997
18.952,1.0965,0.34143,0.68538,0.41112
19.158,0.98082,0.25308,0.69845,0.28237
19.364,0.82727,0.18487,0.69293,0.13434
19.57,0.85633,0.1387,0.69785,0.15848
19.776,1.2887,0.74507,0.71875,0.56995
19.982,1.3242,0.54395,0.74138,0.58282
20.188,1.2091,0.39492,0.7509,0.4582
20.394,1.3974,0.29093,0.76207,0.63533
20.6,1.6993,0.98845,0.73981,0.95949
20.806,1.47,0.68704,0.73314,0.73686
21.012,1.2972,0.48839,0.73363,0.56357
21.218,1.0389,0.34328,0.71676,0.32214
21.424,0.96274,0.244,0.69937,0.26337
21.63,0.82664,0.17469,0.67903,0.14761
21.836,0.75529,0.12405,0.64638,0.10891
22.042,0.67982,0.090923,0.62818,0.05164
22.248,0.6454,0.067181,0.60921,0.03619
22.454,0.60075,0.050089,0.59066,0.01009
22.66,0.6212,0.038118,0.57969,0.04151
22.866,0.59338,0.02924,0.56924,0.02414
23.072,0.6091,0.022632,0.56038,0.04872
23.278,0.57156,0.017462,0.54684,0.02472
23.484,0.5365,0.013546,0.53396,0.00254
23.69,0.48761,0.010641,0.52581,-0.0382
23.896,0.48137,0.0083943,0.51817,-0.0368
24.102,0.46964,0.0067203,0.51674,-0.0471
24.308,0.47937,0.0054168,0.51758,-0.03821
24.514,0.50782,0.0043945,0.52073,-0.01291
24.72,0.48573,0.0035828,0.52562,-0.03989
24.926,0.51131,0.0029197,0.5296,-0.01829
25.132,0.82191,0.33122,0.53696,0.28495
25.338,0.73484,0.24492,0.55031,0.18453
25.544,0.83787,0.1848,0.5684,0.26947
25.75,1.1148,0.73455,0.58851,0.52629
25.956,1.2328,0.54511,0.62117,0.61163
26.162,1.0988,0.40857,0.65382,0.44498
26.368,1.4631,1.1318,0.67205,0.79105
26.574,1.5895,0.82577,0.7047,0.8848
26.78,1.4788,0.60886,0.73735,0.74145
26.986,1.3747,0.45377,0.77001,0.60469
27.192,1.2239,0.33209,0.7797,0.4442
27.398,1.1197,0.24428,0.78377,0.33593
27.604,0.98269,0.18077,0.78321,0.19948
27.81,0.93654,0.13341,0.77169,0.16485
28.016,0.88252,0.099773,0.76228,0.12024
28.222,0.85633,0.074604,0.74551,0.11082
28.428,0.81579,0.057297,0.74221,0.07358
28.634,0.80694,0.04337,0.72248,0.08446
28.84,1.0454,0.5235,0.68983,0.35557
29.046,1.0932,0.36737,0.67619,0.41701
29.252,0.97371,0.26053,0.66143,0.31228
29.458,0.82714,0.18693,0.64662,0.18052
29.664,0.72772,0.13684,0.63736,0.09036
29.87,0.6994,0.10273,0.63706,0.06234
30.076,0.64477,0.077708,0.63492,0.00985
30.282,0.721,0.059513,0.63454,0.08646
30.488,0.73098,0.046159,0.63668,0.0943
30.694,0.6585,0.035751,0.63299,0.02551
30.9,0.62407,0.027706,0.62541,-0.00134
31.106,0.58566,0.021334,0.61035,-0.02469
31.312,0.72486,0.01663,0.59992,0.12494
31.518,0.90722,0.40766,0.60032,0.3069
31.724,0.81167,0.29555,0.6054,0.20627
31.93,0.81792,0.22006,0.61924,0.19868
32.136,0.8113,0.16261,0.62099,0.19031
32.342,1.2687,0.71704,0.62603,0.64267
32.548,1.2285,0.52395,0.64864,0.57986
32.754,1.1071,0.38093,0.66024,0.44686
32.96,1.0091,0.27647,0.66247,0.34663
33.166,0.89039,0.20207,0.66119,0.2292
33.372,0.79734,0.14953,0.66019,0.13715
33.578,0.77712,0.11114,0.65461,0.12251
33.784,0.76615,0.084462,0.65668,0.10947
33.99,0.71039,0.063884,0.64926,0.06113
34.196,0.68121,0.049384,0.65025,0.03096
34.402,0.66473,0.038425,0.65034,0.01439
34.608,0.66611,0.030108,0.65044,0.01567
34.814,0.63779,0.023728,0.65033,-0.01254
35.02,0.59377,0.01885,0.65203,-0.05826
35.226,0.58952,0.015394,0.66901,-0.07949
35.432,0.72011,0.012706,0.69113,0.02898
35.638,0.93817,0.010422,0.70724,0.23093
35.844,1.1895,0.45475,0.70652,0.48298
36.05,1.031,0.32352,0.69775,0.33325
36.256,0.9051,0.23362,0.69083,0.21427
36.462,0.79495,0.17163,0.68747,0.10748
36.668,1.3005,0.76316,0.67842,0.62208
36.874,1.3542,0.56448,0.71107,0.64313
37.08,1.253,0.40803,0.71914,0.53386
37.286,1.1067,0.29419,0.71637,0.39033
37.492,0.96896,0.21216,0.70501,0.26395
37.698,0.84773,0.15369,0.68872,0.15901
37.904,0.76353,0.11168,0.66733,0.0962
38.11,0.73184,0.083378,0.65727,0.07457
38.316,0.73048,0.06232,0.64187,0.08861
38.522,0.66399,0.047221,0.62986,0.03413
38.728,0.64391,0.036064,0.61809,0.02582
38.934,0.6076,0.02775,0.60687,0.00073
39.14,0.56382,0.021411,0.59387,-0.03005
39.346,0.55659,0.016738,0.58578,-0.02919
39.552,0.53576,0.013439,0.5908,-0.05504
39.758,0.49596,0.010837,0.59615,-0.10019
39.964,0.5163,0.0089069,0.61123,-0.09493
40.17,0.61172,0.0073992,0.63172,-0.02
40.376,1.0159,0.41587,0.65487,0.36103
40.582,1.0663,0.31467,0.68753,0.37877
40.788,0.94877,0.23422,0.70127,0.2475
40.994,0.82603,0.17645,0.71529,0.11074
41.2,1.0878,0.13378,0.72581,0.36199
41.406,1.336,0.73058,0.72291,0.61309
41.612,1.3371,0.51978,0.726,0.6111
41.818,1.1616,0.37717,0.73426,0.42734
42.024,1.055,0.27443,0.73533,0.31967
42.23,0.93467,0.19739,0.71916,0.21551
42.436,0.87218,0.1443,0.70647,0.16571
42.642,0.83089,0.10656,0.69332,0.13757
42.848,0.775,0.0786,0.67266,0.10234
43.054,0.69641,0.057398,0.64,0.05641
43.26,0.67572,0.043483,0.62636,0.04936
43.466,0.92307,0.47067,0.60307,0.32
43.672,0.96074,0.33403,0.59845,0.36229
43.878,0.86942,0.23825,0.58938,0.28004
44.084,0.777,0.17227,0.58122,0.19578
44.29,0.67832,0.12559,0.57108,0.10724
44.496,0.64428,0.092341,0.55955,0.08473
44.702,0.59587,0.068811,0.54984,0.04603
44.908,0.55883,0.051943,0.54203,0.0168
45.114,0.56182,0.039903,0.53903,0.02279
45.32,0.5703,0.031138,0.54027,0.03003
45.526,0.51318,0.024399,0.54002,-0.02684
45.732,0.54337,0.019274,0.54091,0.00246
45.938,0.71588,0.015077,0.53374,0.18214
46.144,0.82503,0.36339,0.53404,0.29099
46.35,0.80944,0.26248,0.53661,0.27283
46.556,0.69754,0.19118,0.53696,0.16058
46.762,0.66286,0.13867,0.5286,0.13426
46.968,0.65002,0.10249,0.52412,0.1259
47.174,0.73035,0.07871,0.53406,0.19629
47.38,0.88141,0.49039,0.52073,0.36068
47.586,0.84199,0.35778,0.53491,0.30708
47.792,0.82015,0.26361,0.54791,0.27224
47.998,0.78361,0.19532,0.55739,0.22622
48.204,0.74657,0.14554,0.56334,0.18323
48.41,0.65813,0.1074,0.55737,0.10076
48.616,0.69467,0.081448,0.56053,0.13414
48.822,0.94352,0.51522,0.54943,0.39409
49.028,0.95749,0.37836,0.56799,0.3895
49.234,0.86444,0.2776,0.57925,0.28519
49.44,0.74618,0.20541,0.58839,0.15779
49.646,0.70827,0.15337,0.59582,0.11245
49.852,0.68483,0.11809,0.61498,0.06985
50.058,0.66074,0.093788,0.64763,0.01311
50.264,1.0257,0.073846,0.66931,0.35639
50.47,1.2715,0.57738,0.6649,0.6066
50.676,1.1212,0.41457,0.67018,0.45102
50.882,0.99479,0.29859,0.66907,0.32572
51.088,0.91396,0.21662,0.66452,0.24944
51.294,0.80332,0.15831,0.65693,0.14639
51.5,0.68856,0.11543,0.6405,0.04806
51.706,0.70578,0.08674,0.6367,0.06908
51.912,0.69331,0.065965,0.63419,0.05912
52.118,0.69405,0.051224,0.63919,0.05486
52.324,1.0075,0.51133,0.63571,0.37179
52.53,1.0091,0.37399,0.65086,0.35824
52.736,0.91932,0.27561,0.66301,0.25631
52.942,1.0994,0.20791,0.68287,0.41653
53.148,1.4367,0.84694,0.69697,0.73973
53.354,1.4713,0.62396,0.72962,0.74168
53.56,1.3352,0.4499,0.73808,0.59712
53.766,1.0976,0.31861,0.72414,0.37346
53.972,0.93966,0.22741,0.70719,0.23247
54.178,0.83501,0.16482,0.69296,0.14205
54.384,0.76103,0.11967,0.67244,0.08859
54.59,0.69331,0.089252,0.66315,0.03016
54.796,0.89163,0.066917,0.65093,0.2407
55.002,1.079,0.54059,0.6339,0.4451
55.208,0.97757,0.37547,0.61764,0.35993
55.414,0.87417,0.2635,0.60043,0.27374
55.62,0.76615,0.18685,0.5825,0.18365
55.826,0.66399,0.13433,0.56612,0.09787
56.032,0.62157,0.097185,0.54737,0.0742
56.238,0.60873,0.071793,0.53462,0.07411
56.444,0.53051,0.053384,0.52041,0.0101
56.65,0.50769,0.040561,0.51298,-0.00529
56.856,0.49297,0.031009,0.50469,-0.01172
57.062,0.5178,0.024135,0.50192,0.01588
57.268,0.5178,0.018934,0.5,0.0178
57.474,0.48449,0.014991,0.5,-0.01551
57.68,0.48312,0.011924,0.5,-0.01688
57.886,0.72898,0.33438,0.5,0.22898
58.092,0.74045,0.24061,0.50019,0.24026
58.298,0.6575,0.17529,0.5003,0.1572
58.504,0.63304,0.13002,0.50334,0.1297
58.71,0.57854,0.096532,0.50104,0.0775
58.916,0.60448,0.073376,0.50504,0.09944
59.122,0.86693,0.47104,0.50233,0.3646
59.328,0.86333,0.34706,0.52102,0.34231
59.534,0.72698,0.25599,0.53419,0.19279
