time,original data,fitted-baseline,baseline,original-baseline
0,0.79816,0,0.76122,0.03694
0.206,0.74713,0,0.75923,-0.0121
0.412,0.7039,5.96E-08,0.75779,-0.05389
0.618,0.70889,0,0.76029,-0.0514
0.824,0.70611,0,0.76697,-0.06086
1.03,0.69932,0,0.7796,-0.08028
1.236,0.8675,0,0.79749,0.07001
1.442,0.85216,5.96E-08,0.81015,0.04201
1.648,0.86352,0,0.81733,0.04619
1.854,0.86033,5.96E-08,0.82277,0.03756
2.06,0.84239,0,0.82214,0.02025
2.266,0.83124,0,0.82021,0.01103
2.472,0.8372,0,0.81727,0.01993
2.678,0.87665,5.96E-08,0.81714,0.05951
2.884,1.1455,0.48723,0.81205,0.33345
3.09,1.1114,0.35561,0.82059,0.29081
3.296,1.103,0.26506,0.83641,0.26659
3.502,1.0518,0.20089,0.85657,0.19523
3.708,0.99859,0.15248,0.86847,0.13012
3.914,1.1498,0.11833,0.89071,0.25909
4.12,1.165,0.090415,0.89065,0.27435
4.326,1.4119,0.76673,0.9019,0.51
4.532,1.3987,0.55938,0.92296,0.47574
4.738,1.2531,0.41815,0.95561,0.29749
4.944,1.2445,0.31611,0.98827,0.25623
5.15,1.3435,0.24159,1.0209,0.3226
5.356,1.3762,0.18481,1.0436,0.3326
5.562,1.3395,0.14252,1.064,0.2755
5.768,1.282,0.10889,1.064,0.218
5.974,1.1859,0.083914,1.0637,0.1222
6.18,1.1443,0.064787,1.0569,0.0874
6.386,1.0799,0.05029,1.0482,0.0317
6.592,1.1012,0.039142,1.0359,0.0653
6.798,1.0831,0.030594,1.0226,0.0605
7.004,1.0144,0.023988,1.008,0.0064
7.21,1.0323,0.019049,1.0023,0.03
7.416,1.0112,0.01512,0.99308,0.01812
7.622,1.0068,0.012039,0.98422,0.02258
7.828,1.0209,0.0095762,0.97226,0.04864
8.034,0.97847,0.0076095,0.95764,0.02083
8.24,0.9731,0.0060471,0.9418,0.0313
8.446,0.9705,0.0047985,0.9237,0.0468
8.652,0.93505,0.0037923,0.90132,0.03373
8.858,0.89141,0.0029629,0.86867,0.02274
9.064,0.85874,0.0023466,0.84809,0.01065
9.27,0.83363,0.0018648,0.83026,0.00337
9.476,0.79875,0.0014799,0.81134,-0.01259
