0.618,,
1.03,0.412,1.831685844
1.648,0.618,
2.678,1.03,
3.914,1.236,
4.532,0.618,
6.798,2.266,
8.034,1.236,
9.888,1.854,
10.506,0.618,
11.33,0.824,
11.948,0.618,
12.772,0.824,
19.364,6.592,
20.806,1.442,
21.012,0.206,
21.424,0.412,
21.836,0.412,
22.66,0.824,
23.278,0.618,
24.308,1.03,
26.986,2.678,
29.664,2.678,
31.106,1.442,
32.342,1.236,
33.784,1.442,
35.02,1.236,
36.462,1.442,
47.586,11.124,
48.41,0.824,
49.852,1.442,
50.676,0.824,
52.942,2.266,
55.208,2.266,
58.298,3.09,
58.916,0.618,
59.534,0.618,
59.74,0.206,
60.358,0.618,
61.182,0.824,
63.654,2.472,
67.568,3.914,
68.392,0.824,
69.216,0.824,
70.452,1.236,
72.512,2.06,
74.984,2.472,
75.602,0.618,
76.22,0.618,
77.044,0.824,
77.662,0.618,
78.28,0.618,
79.104,0.824,
80.134,1.03,
86.726,6.592,
87.962,1.236,
