5.356,7.622,9.682,13.596,15.038,18.54,24.102,25.956,29.87,35.432,37.08,42.848,44.496,48.41,49.646,50.47,55.208,57.268,59.74,61.182,66.95,70.658,72.512,74.984,80.134,87.344,88.992,96.82,97.85,101.56,103,112.27,122.78,124.84,131.84,134.52,137.2,140.08,143.99,146.05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.622,2.266,2.356480268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.682,2.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.596,3.914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.038,1.442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.54,3.502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.102,5.562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.956,1.854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.87,3.914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.432,5.562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.08,1.648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.848,5.768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.496,1.648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48.41,3.914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49.646,1.236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50.47,0.824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55.208,4.738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57.268,2.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59.74,2.472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61.182,1.442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66.95,5.768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70.658,3.708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72.512,1.854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74.984,2.472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80.134,5.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87.344,7.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88.992,1.648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96.82,7.828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97.85,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101.56,3.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112.27,9.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122.78,10.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124.84,2.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131.84,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134.52,2.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137.2,2.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140.08,2.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143.99,3.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.05,2.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
