time,original data,fitted-baseline,baseline,original-baseline
0,1.3106,0.186,1.1694,0.1412
0.206,1.3886,0.14149,1.1715,0.2171
0.412,1.3066,0.1077,1.1631,0.1435
0.618,1.1814,0.083032,1.1596,0.0218
0.824,1.1161,0.064767,1.1606,-0.0445
1.03,1.1205,0.051127,1.1677,-0.0472
1.236,1.3713,0.040718,1.1783,0.193
1.442,1.3821,0.032208,1.175,0.2071
1.648,1.2809,0.025581,1.1714,0.1095
1.854,1.1734,0.020228,1.1584,0.015
2.06,1.1378,0.016036,1.145,-0.0072
2.266,1.1171,0.012709,1.1285,-0.0114
2.472,1.092,0.01014,1.1173,-0.0253
2.678,1.0678,0.0080932,1.1047,-0.0369
2.884,1.0338,0.0064911,1.0959,-0.0621
3.09,1.0324,0.0052238,1.0896,-0.0572
3.296,1.0364,0.0042365,1.0907,-0.0543
3.502,1.0113,0.0034516,1.0958,-0.0845
3.708,1.0178,0.0028332,1.1086,-0.0908
3.914,1.0362,0.002337,1.1263,-0.0901
4.12,1.2944,0.0019386,1.1503,0.1441
4.326,1.2832,0.0015897,1.161,0.1222
4.532,1.1489,0.0012974,1.1655,-0.0166
4.738,1.1601,0.0010564,1.1676,-0.0075
4.944,1.3749,0.00086176,1.1712,0.2037
5.15,1.3661,0.00069463,1.1609,0.2052
5.356,1.2988,0.00055385,1.1381,0.1607
5.562,1.5627,0.66497,1.1055,0.4572
5.768,1.5473,0.47302,1.0889,0.4584
5.974,1.4221,0.34182,1.0761,0.346
6.18,1.3348,0.25096,1.0677,0.2671
6.386,1.2046,0.18385,1.0449,0.1597
6.592,1.178,0.13795,1.0363,0.1417
6.798,1.1207,0.10375,1.0199,0.1008
7.004,1.0621,0.079376,1.0121,0.05
7.21,1.041,0.061254,1.0049,0.0361
7.416,1.0281,0.047471,0.99487,0.03323
7.622,1.0792,0.037061,0.98609,0.09311
7.828,0.98958,0.028851,0.9694,0.02018
8.034,0.9666,0.022578,0.95361,0.01299
8.24,0.9706,0.017884,0.94586,0.02474
8.446,0.9533,0.014219,0.93858,0.01472
8.652,0.93897,0.011297,0.92811,0.01086
8.858,0.8534,0.0090014,0.91838,-0.06498
9.064,0.8553,0.0072029,0.9109,-0.0556
9.27,0.87637,0.0058153,0.91009,-0.03372
9.476,0.85193,0.0047119,0.91139,-0.05946
9.682,0.92992,0.003841,0.91727,0.01265
9.888,0.90525,0.0031212,0.91948,-0.01423
10.094,0.91347,0.002544,0.92381,-0.01034
10.3,0.93076,0.0020797,0.93031,0.00045
10.506,1.0054,0.0017036,0.93837,0.06703
10.712,0.91137,0.0013849,0.93907,-0.0277
10.918,0.97503,0.0011293,0.94216,0.03287
11.124,0.97185,0.00091946,0.94369,0.02816
11.33,0.98914,0.00074738,0.94338,0.04576
