time,original data,fitted-baseline,baseline,original-baseline
0,0.69341,0,0.66327,0.03014
0.206,0.6519,-5.96E-08,0.66244,-0.01054
0.412,0.65904,0,0.66222,-0.00318
0.618,0.63785,0,0.6623,-0.02445
0.824,0.94371,0.39872,0.66453,0.27918
1.03,1.0884,0.29504,0.68083,0.40757
1.236,0.97885,0.21758,0.68658,0.29227
1.442,0.90913,0.16157,0.68889,0.22024
1.648,0.80022,0.11842,0.67451,0.12571
1.854,0.72876,0.088584,0.66682,0.06194
2.06,0.6945,0.066891,0.65892,0.03558
2.266,0.78606,0.051784,0.66157,0.12449
2.472,0.99246,0.52527,0.6564,0.33606
2.678,1.0773,0.38184,0.66781,0.40949
2.884,0.97226,0.28179,0.68109,0.29117
3.09,1.1625,0.21064,0.69499,0.46751
3.296,1.4215,0.83217,0.68607,0.73543
3.502,1.2677,0.59589,0.69803,0.56967
3.708,1.1019,0.42427,0.69722,0.40468
3.914,0.99565,0.30545,0.69537,0.30028
4.12,0.92384,0.22304,0.6947,0.22914
4.326,0.87916,0.16526,0.69586,0.1833
4.532,0.83811,0.12212,0.68723,0.15088
4.738,0.82448,0.09255,0.68862,0.13586
4.944,0.85819,0.068832,0.67047,0.18772
5.15,0.82383,0.053321,0.67384,0.14999
5.356,0.99334,0.52291,0.65191,0.34143
5.562,1.0158,0.37288,0.65065,0.36515
5.768,0.92779,0.26912,0.64905,0.27874
5.974,0.84259,0.19701,0.64866,0.19393
6.18,0.78991,0.1469,0.65246,0.13745
6.386,0.7416,0.10957,0.6491,0.0925
6.592,0.74214,0.084099,0.65751,0.08463
6.798,0.74017,0.064461,0.65865,0.08152
7.004,0.67221,0.050007,0.66189,0.01032
7.21,0.68473,0.039275,0.66811,0.01662
7.416,0.92088,0.031215,0.6777,0.24318
7.622,1.0826,0.47794,0.6587,0.4239
7.828,1.0207,0.33614,0.64603,0.37467
8.034,0.88333,0.24449,0.64706,0.23627
8.24,0.79934,0.17718,0.63789,0.16145
8.446,0.75796,0.13161,0.637,0.12096
8.652,0.72578,0.099364,0.63943,0.08635
8.858,0.66837,0.074984,0.63493,0.03344
9.064,0.64883,0.057511,0.63471,0.01412
9.27,0.626,0.045029,0.6422,-0.0162
9.476,0.82427,0.035621,0.65151,0.17276
9.682,1.037,0.4836,0.648,0.389
9.888,1.0825,0.34776,0.65047,0.43203
10.094,0.9963,0.25054,0.646,0.3503
10.3,1.3117,0.85375,0.63461,0.67709
10.506,1.3386,0.62948,0.66726,0.67134
10.712,1.2564,0.46894,0.69992,0.55648
10.918,1.376,0.35302,0.73257,0.64343
11.124,1.6337,1.0813,0.72846,0.90524
11.33,1.5544,0.77335,0.74555,0.80885
11.536,1.302,0.54301,0.73965,0.56235
11.742,1.1566,0.38275,0.72733,0.42927
11.948,1.0284,0.27356,0.71615,0.31225
12.154,0.93383,0.19886,0.70848,0.22535
12.36,0.87927,0.14624,0.70073,0.17854
12.566,0.83381,0.10929,0.69651,0.1373
12.772,0.77991,0.081452,0.68329,0.09662
12.978,0.70252,0.060987,0.66702,0.0355
13.184,0.72227,0.046498,0.65737,0.0649
13.39,0.66102,0.035396,0.64192,0.0191
13.596,0.64432,0.027133,0.62695,0.01737
13.802,0.61293,0.020944,0.61303,-1E-04
14.008,0.62665,0.016307,0.60157,0.02508
14.214,0.6059,0.012865,0.59561,0.01029
14.42,0.58515,0.010143,0.5872,-0.00205
14.626,0.57693,0.0080509,0.58101,-0.00408
14.832,0.55551,0.0063879,0.57322,-0.01771
15.038,0.56639,0.0051088,0.56885,-0.00246
15.244,0.52148,0.0040822,0.56301,-0.04153
15.45,0.51259,0.0032745,0.55857,-0.04598
15.656,0.48098,0.0026411,0.55659,-0.07561
15.862,0.50951,0.0021698,0.56434,-0.05483
16.068,0.50468,0.0017875,0.57332,-0.06864
16.274,0.64532,0.001493,0.59012,0.0552
16.48,0.91518,0.36268,0.59669,0.31849
16.686,0.87357,0.26773,0.61017,0.2634
16.892,0.86368,0.20032,0.6246,0.23908
17.098,0.99652,0.15146,0.63839,0.35813
17.304,1.1488,0.68544,0.62097,0.52783
17.51,1.1193,0.49775,0.63856,0.48074
17.716,1.0141,0.36328,0.65162,0.36248
17.922,0.93417,0.26796,0.66362,0.27055
18.128,0.86741,0.20032,0.67657,0.19084
18.334,1.0673,0.15252,0.69425,0.37305
18.54,1.3178,0.72354,0.67398,0.64382
18.746,1.2361,0.51826,0.68295,0.55315
18.952,1.1264,0.3733,0.68712,0.43928
19.158,1.0105,0.27053,0.68684,0.32366
19.364,0.88937,0.19785,0.68439,0.20498
19.57,0.84798,0.14693,0.68438,0.1636
19.776,0.80747,0.11082,0.68724,0.12023
19.982,0.72183,0.083441,0.68178,0.04005
