2.884,4.326,18.746,26.574,28.84,60.976,67.568,76.632,90.846,96.82,112.27,112.89,127.93,134.11,135.96,142.96
,,,,,,,,,,,,,,,
2.884,,,,,,,,,,,,,,,
4.326,1.442,8.107779834,6.715165081,,,,,,,,,,,,
18.746,14.42,,,,,,,,,,,,,,
26.574,7.828,,,,,,,,,,,,,,
28.84,2.266,,,,,,,,,,,,,,
60.976,32.136,,,,,,,,,,,,,,
67.568,6.592,,,,,,,,,,,,,,
76.632,9.064,,,,,,,,,,,,,,
90.846,14.214,,,,,,,,,,,,,,
96.82,5.974,,,,,,,,,,,,,,
112.27,15.45,,,,,,,,,,,,,,
112.89,0.62,,,,,,,,,,,,,,
127.93,15.04,,,,,,,,,,,,,,
134.11,6.18,,,,,,,,,,,,,,
135.96,1.85,,,,,,,,,,,,,,
142.96,7,,,,,,,,,,,,,,
