time,original data,fitted-baseline,baseline,original-baseline
0,0.93316,0.2959,0.67959,0.25357
0.206,0.90367,0.2171,0.68196,0.22171
0.412,0.84544,0.16177,0.68675,0.15869
0.618,0.81545,0.12106,0.68663,0.12882
0.824,0.8266,0.09206,0.69018,0.13642
1.03,0.78905,0.069637,0.68328,0.10577
1.236,0.74172,0.053476,0.6806,0.06112
1.442,0.72909,0.041165,0.6741,0.05499
1.648,0.72326,0.031719,0.66358,0.05968
1.854,0.6587,0.024544,0.65194,0.00676
2.06,0.66266,0.01916,0.64269,0.01997
2.266,0.63603,0.014961,0.63086,0.00517
2.472,0.64892,0.011869,0.62671,0.02221
2.678,0.60542,0.0094063,0.61991,-0.01449
2.884,0.64532,0.0075184,0.61673,0.02859
3.09,0.60766,0.0059906,0.61025,-0.00259
3.296,0.58511,0.0047698,0.60225,-0.01714
3.502,0.57593,0.0038257,0.59781,-0.02188
3.708,0.59786,0.0030736,0.5936,0.00426
3.914,0.57048,0.0024664,0.58809,-0.01761
4.12,0.58449,0.001995,0.58679,-0.0023
4.326,0.57197,0.001613,0.58486,-0.01289
4.532,0.57283,0.0013053,0.58305,-0.01022
4.738,0.57333,0.001057,0.58133,-0.008
4.944,0.57643,0.00085622,0.57969,-0.00326
5.15,0.60344,0.00069374,0.57792,0.02552
5.356,0.57606,0.0005601,0.57397,0.00209
5.562,0.58238,0.00045162,0.56922,0.01316
5.768,0.57173,0.00036567,0.56681,0.00492
5.974,0.56367,0.00029552,0.56316,0.00051
6.18,0.56318,0.00023842,0.5585,0.00468
6.386,0.54769,0.00019187,0.55254,-0.00485
6.592,0.52042,0.00015533,0.54995,-0.02953
6.798,0.54174,0.00012618,0.54864,-0.0069
7.004,0.54,0.0001024,0.54744,-0.00744
7.21,0.57074,8.32E-05,0.5465,0.02424
7.416,0.54162,6.74E-05,0.54363,-0.00201
7.622,0.55426,5.45E-05,0.54032,0.01394
7.828,0.54892,4.42E-05,0.53969,0.00923
8.034,0.78633,0.32269,0.53759,0.24874
8.24,0.82425,0.2348,0.5416,0.28265
8.446,0.70083,0.17065,0.5383,0.16253
8.652,0.67022,0.12701,0.54134,0.12888
8.858,0.63231,0.094595,0.53859,0.09372
9.064,0.8924,0.53734,0.54018,0.35222
9.27,0.99871,0.39521,0.56049,0.43822
9.476,0.91879,0.29455,0.58189,0.3369
9.682,0.86761,0.22016,0.59832,0.26929
9.888,0.8214,0.16103,0.59472,0.22668
10.094,1.1519,0.68445,0.58994,0.56196
10.3,1.3103,0.50054,0.61202,0.69828
10.506,1.5724,1.1559,0.59642,0.97598
10.712,1.5109,0.83329,0.6209,0.89
10.918,1.2758,0.61511,0.65355,0.62225
11.124,1.1587,0.45872,0.6862,0.4725
11.33,1.2055,0.34567,0.71886,0.48664
11.536,1.7342,1.0977,0.74028,0.99392
11.742,1.5737,0.80097,0.77294,0.80076
11.948,1.3927,0.5771,0.78683,0.60587
12.154,1.3145,0.41817,0.79536,0.51914
12.36,1.1619,0.30543,0.80028,0.36162
12.566,1.0784,0.22636,0.80714,0.27126
12.772,0.98669,0.16982,0.81438,0.17231
12.978,0.96067,0.13018,0.8303,0.13037
13.184,1.1662,0.099189,0.8327,0.3335
13.39,1.359,0.70902,0.80005,0.55895
13.596,1.2676,0.50772,0.80483,0.46277
13.802,1.2269,0.36624,0.80534,0.42156
14.008,1.0571,0.26586,0.80094,0.25616
14.214,1.0059,0.19684,0.80267,0.20323
14.42,0.91136,0.14535,0.79307,0.11829
14.626,0.92288,0.10963,0.79183,0.13105
14.832,1.1376,0.083008,0.78568,0.35192
15.038,1.2646,0.66482,0.7742,0.4904
15.244,1.2214,0.46858,0.76568,0.45572
15.45,1.0934,0.33501,0.7585,0.3349
15.656,0.96091,0.24199,0.7498,0.21111
15.862,0.908,0.17879,0.74903,0.15897
16.068,0.86959,0.13252,0.74215,0.12744
16.274,0.88732,0.099792,0.73904,0.14828
16.48,0.80789,0.075036,0.72761,0.08028
