5.562,14.832,19.158,21.218,25.956,33.166,41.2,43.878,46.35,71.894,79.722,83.636,86.314,101.76,103.21,116.39,125.87,131.22,146.88
,,,,,,,,,,,,,,,,,,
5.562,,,,,,,,,,,,,,,,,,
14.832,9.27,6.25934803,7.761437908,,,,,,,,,,,,,,,
19.158,4.326,,,,,,,,,,,,,,,,,
21.218,2.06,,,,,,,,,,,,,,,,,
25.956,4.738,,,,,,,,,,,,,,,,,
33.166,7.21,,,,,,,,,,,,,,,,,
41.2,8.034,,,,,,,,,,,,,,,,,
43.878,2.678,,,,,,,,,,,,,,,,,
46.35,2.472,,,,,,,,,,,,,,,,,
71.894,25.544,,,,,,,,,,,,,,,,,
79.722,7.828,,,,,,,,,,,,,,,,,
83.636,3.914,,,,,,,,,,,,,,,,,
86.314,2.678,,,,,,,,,,,,,,,,,
101.76,15.446,,,,,,,,,,,,,,,,,
103.21,1.45,,,,,,,,,,,,,,,,,
116.39,13.18,,,,,,,,,,,,,,,,,
125.87,9.48,,,,,,,,,,,,,,,,,
131.22,5.35,,,,,,,,,,,,,,,,,
146.88,15.66,,,,,,,,,,,,,,,,,
