time,original data,fitted-baseline,baseline,original-baseline
0,0.98788,0.22396,0.79388,0.194
0.206,0.95517,0.16745,0.79845,0.15672
0.412,0.9516,0.12752,0.80891,0.14269
0.618,0.92904,0.097099,0.81085,0.11819
0.824,0.93505,0.074269,0.80873,0.12632
1.03,0.86574,0.057396,0.80799,0.05775
1.236,0.85487,0.044565,0.80486,0.05001
1.442,0.84334,0.034735,0.79938,0.04396
1.648,0.82671,0.027292,0.79568,0.03103
1.854,0.8461,0.021506,0.79032,0.05578
2.06,0.83822,0.017065,0.78705,0.05117
2.266,0.77257,0.013515,0.77948,-0.00691
2.472,0.79578,0.010779,0.775,0.02078
2.678,0.74969,0.0085873,0.76778,-0.01809
2.884,0.73232,0.0068886,0.76425,-0.03193
3.09,0.7238,0.0055431,0.76176,-0.03796
3.296,0.72916,0.0044787,0.76127,-0.03211
3.502,0.76852,0.0036336,0.763,0.00552
3.708,0.77664,0.0029508,0.76474,0.0119
3.914,0.78191,0.0023963,0.76588,0.01603
4.12,0.77688,0.0019444,0.76584,0.01104
4.326,0.77971,0.0015762,0.76464,0.01507
4.532,0.76267,0.0012752,0.76167,0.001
4.738,0.76316,0.0010306,0.75762,0.00554
4.944,0.78475,0.0008316,0.75204,0.03271
5.15,0.7996,0.00067186,0.74742,0.05218
5.356,1.0122,0.44418,0.73686,0.27534
5.562,1.07,0.32243,0.74071,0.32929
5.768,1.0173,0.23807,0.74803,0.26927
5.974,0.93732,0.17842,0.75762,0.1797
6.18,0.88668,0.13343,0.75698,0.1297
6.386,0.88278,0.10187,0.76392,0.11886
6.592,0.87434,0.07809,0.7664,0.10794
6.798,0.84545,0.061083,0.77757,0.06788
7.004,0.85998,0.047593,0.77953,0.08045
7.21,0.8552,0.037073,0.77575,0.07945
7.416,1.0601,0.029075,0.77243,0.28767
7.622,1.1435,0.52854,0.75006,0.39344
7.828,1.1141,0.38912,0.76919,0.34491
8.034,1.0418,0.28988,0.78824,0.25356
8.24,1.0288,0.21434,0.79203,0.23677
8.446,0.98399,0.16158,0.80191,0.18208
8.652,0.93472,0.12398,0.81728,0.11744
8.858,0.91719,0.095435,0.82712,0.09007
9.064,0.9107,0.073711,0.83201,0.07869
9.27,0.90299,0.057991,0.84529,0.0577
9.476,1.0593,0.045744,0.85455,0.20475
9.682,1.4172,0.63124,0.84892,0.56828
9.888,1.3634,0.45437,0.85287,0.51053
10.094,1.2352,0.32838,0.84956,0.38564
10.3,1.1407,0.24171,0.85142,0.28928
10.506,1.0292,0.17938,0.85021,0.17899
10.712,1.0399,0.13613,0.85846,0.18144
10.918,1.0082,0.10277,0.85342,0.15478
11.124,0.87735,0.077401,0.83829,0.03906
11.33,0.83693,0.05968,0.83575,0.00118
11.536,0.91062,0.046452,0.83466,0.07596
11.742,0.88579,0.0362,0.82898,0.05681
11.948,0.87028,0.028171,0.81733,0.05295
12.154,0.84245,0.021975,0.80372,0.03873
12.36,0.81599,0.017395,0.79852,0.01747
12.566,0.79846,0.013827,0.79376,0.0047
12.772,0.78021,0.010997,0.78713,-0.00692
12.978,0.78718,0.0087561,0.77935,0.00783
13.184,0.77867,0.0070055,0.77375,0.00492
13.39,0.85738,0.0055988,0.76601,0.09137
13.596,1.0767,0.46965,0.75483,0.32187
13.802,1.0243,0.33804,0.75327,0.27103
14.008,0.96776,0.24917,0.7603,0.20746
14.214,0.95623,0.18818,0.77684,0.17939
14.42,0.91451,0.14232,0.78577,0.12874
14.626,0.89918,0.1096,0.80067,0.09851
14.832,1.0962,0.085326,0.81655,0.27965
15.038,1.3762,0.70558,0.82396,0.55224
15.244,1.3178,0.50796,0.83228,0.48552
15.45,1.2208,0.37117,0.84255,0.37825
15.656,1.1531,0.27401,0.85111,0.30199
15.862,1.079,0.20423,0.85768,0.22132
16.068,1.0192,0.15266,0.85688,0.16232
16.274,0.96921,0.11613,0.86197,0.10724
16.48,0.95007,0.08901,0.86496,0.08511
16.686,0.92418,0.069414,0.8752,0.04898
16.892,0.91946,0.054334,0.88169,0.03777
17.098,0.92271,0.042872,0.88902,0.03369
17.304,0.93132,0.03391,0.89297,0.03835
17.51,0.92896,0.026975,0.89723,0.03173
17.716,0.91273,0.02157,0.90204,0.01069
17.922,0.89909,0.017452,0.91403,-0.01494
18.128,0.89463,0.014253,0.93179,-0.03716
18.334,0.9723,0.011698,0.95194,0.02036
18.54,1.4605,0.61547,0.96666,0.49384
18.746,1.5138,0.45851,0.99932,0.51448
18.952,1.438,0.3401,1.0159,0.4221
19.158,1.361,0.25394,1.027,0.334
19.364,1.262,0.18911,1.0238,0.2382
19.57,1.1882,0.14267,1.0226,0.1656
19.776,1.1336,0.10787,1.0135,0.1201
19.982,1.0441,0.082892,1.0116,0.0325
20.188,1.0263,0.064164,1.0088,0.0175
20.394,1.026,0.050041,1.0062,0.0198
20.6,1.0313,0.039289,1.004,0.0273
20.806,1.0435,0.031016,1.0018,0.0417
21.012,1.0466,0.024575,0.99852,0.04808
21.218,1.047,0.019643,0.99998,0.04702
21.424,1.054,0.015713,0.99887,0.05513
21.63,1.049,0.012555,0.99385,0.05515
21.836,1.0402,0.010047,0.98798,0.05222
22.042,1.0064,0.0080094,0.97654,0.02986
22.248,0.97546,0.0063886,0.96418,0.01128
22.454,0.95566,0.0051011,0.95171,0.00395
22.66,0.91938,0.0040603,0.93541,-0.01603
22.866,0.8642,0.0032395,0.92072,-0.05652
