ClusterID,Control Mean,Treated Mean,Fold Change,p-value
12270,36631597.36362699,6456422.950379537,0.17625283675973094,6.877788152128097e-05
1180,107725484.7221477,23967042.59269627,0.22248256904588143,0.00018944374163256764
18386,33941752.390616365,7789333.403354408,0.22949119755843456,0.00027362119025429375
1414,67936450.41795892,35454083.58688183,0.5218712983790156,0.0007197489640888841
8929,4641809.334298143,939104.8046069166,0.20231438582966105,0.0008087113618556563
14458,18054402158.174892,26220275879.061672,1.4522926679790022,0.0009106326281225908
15153,51143890.148555756,89375627.23006976,1.7475328327677793,0.000952291988478509
8510,207560567.24764878,288064518.8809162,1.38785763934252,0.0010611251056269924
8553,22722878.622266278,12540575.465509897,0.5518920236286134,0.0010841884046928066
18323,179797347.50021684,60548301.20068257,0.33675858983742546,0.001227899619280228
14147,785804204.7908531,305987066.6719668,0.389393521702276,0.00132730266549198
16122,99387687.10744604,35551400.09634885,0.35770427032792246,0.0013764231729774296
61,291827216.8584121,89724928.97634059,0.30745908466746297,0.001407350332190926
20035,8633075.516416425,3524640.81644312,0.40827174623235457,0.0015169148875723056
18600,137940829.64965785,68387177.8822852,0.4957718324297089,0.0015448249309509983
57,59342505.291548274,22211992.552026033,0.37430156416381577,0.0015636529799500723
2906,58216613.95657512,19035302.28857394,0.3269737106794417,0.0015945839957374555
7540,598668155.6446632,380128463.4446658,0.6349568786322574,0.0016093847501401932
11340,823268813.1678493,202595238.66430306,0.24608637594899108,0.0018462195106463348
5946,109093607.36319542,151115615.03670454,1.385192209600413,0.0019015884690119344
1439,25280880.473852262,9265499.874186005,0.36650226180884843,0.0020677167707278767
19290,617540587.3765324,257180428.60046977,0.4164591507953135,0.0022551751004779136
149,95031847.43455854,28399572.901335895,0.29884268977189565,0.0023423424571458024
14968,63777911.5060721,32134889.90472246,0.5038561023068778,0.002626191659863495
14713,299092681.89255166,161684809.43106696,0.5405843045305664,0.002716353079983908
3390,590387427.376987,90563191.64040461,0.15339620635684073,0.0027603205270098842
1307,113903114.0760365,56754852.61783779,0.4982730549399277,0.0032908833855375807
8973,73141330.4529959,20134372.848982535,0.2752803746429229,0.0035479890257166177
500,436501103.68917453,14281148.93985111,0.0327173260712314,0.003565929819144247
7025,565949223.1369381,253429358.54597163,0.44779522293760865,0.003633162454248628
5597,252057928.798844,85670704.06163524,0.3398849798928767,0.003704889752430396
64,28647237.71988546,5946024.474481952,0.2075601331137949,0.0037785598148565433
5494,1802853333.8177164,1180728072.5892632,0.6549218677089818,0.0037917248848095496
2648,1199054916.5034838,1950538980.2808003,1.6267303135445117,0.003812254441293056
9277,18988013.43248567,53871061.53667925,2.8371088807275577,0.003824792604413078
17036,28857656.940758184,58049896.39346194,2.0115942369344966,0.003869175840277089
7145,64062589.90552946,15659239.806277154,0.24443657100609276,0.0038857000182729714
6533,44852145.258609325,294780836.73420846,6.572279542807946,0.003953671983270368
18497,798947084.5988395,339694337.44680977,0.4251775167530328,0.004103542701383132
2190,393567362.45551735,628602261.2439305,1.5971910305824146,0.004114104046662222
538,14846091.124131199,5106922.789126302,0.343991071213714,0.004153198954778934
157,123559211.03002389,50784515.9520741,0.4110135984903131,0.004292411080583578
13394,33847741.48474809,81351222.46868512,2.403446106008056,0.004433589880151266
1451,478771550.04842883,84596118.48181929,0.17669412159778958,0.00448306168114896
14346,328237505.2655636,854480200.4291328,2.603237554275852,0.0045247252186706235
19168,91961722.78143288,25328707.994942132,0.2754266365272575,0.004558041739581004
9451,680527919.4889812,525322238.7092095,0.771933411789603,0.004565815189998242
16033,620292253.4902276,344415415.03527266,0.5552470034847836,0.004631906902311206
16230,232830010.72303554,131574726.92289719,0.5651106853205997,0.004657682315390681
3898,10986342.862371663,57182054.937538445,5.2048307297406105,0.004674831283130559
14438,431325734.12991375,1260898122.9851668,2.9233083565688407,0.004707116498656888
16765,95455781.83093616,29820791.40757698,0.31240424451599214,0.004715101370913952
5913,156993645.50962865,40822553.32486591,0.26002678765977316,0.005055382345590556
4105,52243832.25268979,102815165.89535655,1.96798667827556,0.0051377447383309394
4297,21881017.6352873,6174618.49268413,0.2821906455907418,0.005376101768042758
3849,27860684.24476333,191209636.9381783,6.863063206142107,0.0054500060635705155
3005,7611899.846182729,22718391.196547832,2.9845888221901418,0.005629252947408176
4756,3137471.5099103237,1130497.773469168,0.3603212873481934,0.005653669478541146
19315,17130750.162322823,46387766.76739536,2.7078654657762793,0.005724900231599308
8447,63398574.38728155,20337536.15247217,0.32078854057879413,0.005963374695783525
14355,106951023.33867243,57761821.54759631,0.5400773152463162,0.006133946569827228
14428,1313258793.3380246,215946162.11124986,0.16443534450841987,0.006319380147257709
14231,58920686.17328329,17234976.020962644,0.29251146142927287,0.0063684711968922305
114,42819958.69264793,21282679.89230577,0.4970271000275381,0.006787263178138054
7348,6883785.451976967,22488323.94188303,3.2668542764395085,0.007139716654948364
166,35956021.61731389,84635609.04400927,2.35386467237117,0.007304924860137258
18968,54544238.035060585,29296407.012771428,0.5371127742941416,0.007330740031605568
2641,189349798.91660357,52255045.53660402,0.27597095869966576,0.00762159624207864
8123,78508581.48107427,47885357.588032246,0.609937877932182,0.007798360251970207
7124,7381132.101937503,23103836.017228924,3.130120921581163,0.007835129242002808
7463,102504776.44887644,42529474.82002075,0.41490237131761404,0.008681159445738586
10671,622548785.3774742,946416582.8663912,1.5202287838254218,0.009008368434127147
252,520077939.76877224,107324879.88005894,0.20636306921184894,0.009238177686185785
18821,211735789.45502353,78353695.93002261,0.37005409492506386,0.0095245088031365
