ClusterID,p_value,control_mean,treatment_mean,foldchange,padj
3798,3.1899118411280205e-5,120043143.7060209,62463660.439504564,0.5203434241315327,0.0427129195527042
14868,2.2324465420917307e-4,36631597.36362699,6456422.950379537,0.17625283675973094,0.05978491839721655
178,1.9072916023556356e-4,95031847.43455853,28399572.9013359,0.2988426897718957,0.05978491839721655
20330,1.1552884081043066e-4,99387687.10744606,35551400.09634885,0.3577042703279224,0.05978491839721655
24691,1.60369461289532e-4,79205328.59852567,23959765.729655895,0.30250194214965836,0.05978491839721655
10865,7.529039036996814e-4,73141330.4529959,20134372.848982535,0.2752803746429229,0.06913964480805218
1732,6.789565863657059e-4,67936450.41795893,35454083.58688183,0.5218712983790155,0.06913964480805218
17506,4.073322376752004e-4,30761602.309903607,15293622.004065149,0.497165974970732,0.06913964480805218
17850,5.105645202781867e-4,106951023.33867243,57761821.54759631,0.5400773152463162,0.06913964480805218
20724,9.07474773912037e-4,1156354530.9402187,570988416.2800826,0.4937831789492954,0.06913964480805218
23818,9.294351057094393e-4,179797347.5002168,60548301.20068257,0.3367585898374255,0.06913964480805218
23941,5.17191324104276e-4,33941752.390616365,7789333.403354408,0.22949119755843456,0.06913964480805218
24114,7.107172564331538e-4,798947084.5988396,339694337.44680977,0.42517751675303267,0.06913964480805218
24274,7.966997498457106e-4,44778299.60118882,23315192.716472678,0.5206806181593747,0.06913964480805218
26854,4.256792075314206e-4,23635140.965180658,8987380.212537767,0.3802549866648985,0.06913964480805218
4171,7.057600084153056e-4,590387427.3769871,90563191.64040463,0.15339620635684073,0.06913964480805218
75,7.975814868254915e-4,291827216.85841215,89724928.97634059,0.30745908466746286,0.06913964480805218
8263,8.981261363476187e-4,87239033.44596653,44809425.251501635,0.5136396344791619,0.06913964480805218
18966,0.0012942301589573576,51143890.14855576,89375627.23006976,1.747532832767779,0.08072393969229918
20192,0.0014468816673750414,620292253.4902276,344415415.0352727,0.5552470034847837,0.08072393969229918
25547,0.0014399383551834365,617540587.3765324,257180428.60046977,0.4164591507953135,0.08072393969229918
3207,0.0013525475723878448,1199054916.5034838,1950538980.2808003,1.6267303135445117,0.08072393969229918
7179,0.0012145439393883497,156993645.50962865,40822553.32486591,0.26002678765977316,0.08072393969229918
80,0.001431150854617559,28647237.719885465,5946024.474481952,0.20756013311379487,0.08072393969229918
