ClusterID,NORM_INTENSITY1,NORM_INTENSITY2,NORM_INTENSITY3,NORM_INTENSITY4,NORM_INTENSITY5,NORM_INTENSITY6,NORM_INTENSITY7,NORM_INTENSITY8,NORM_INTENSITY9,NORM_INTENSITY10,NORM_INTENSITY11,NORM_INTENSITY12,NORM_INTENSITY13,NORM_INTENSITY14,NORM_INTENSITY15,NORM_INTENSITY16,NORM_INTENSITY17,p_value,control_mean,treatment_mean,foldchange,padj
13611,33060434.106070504,32791724.01566801,37507694.5734482,51994603.67819581,49974062.36894047,24944379.78558131,49388782.14482795,11039509.549865406,38983186.05004525,16521070.697465127,28375.43226170937,12237242.5479998,42036.33749049244,661843.2340368277,22946.866381271957,508881.0693765518,21628987.41802452,2.2324465420917307e-4,36631597.36362699,6456422.950379537,0.17625283675973094,0.07766245016786681
1593,48613532.41542654,46440114.92537466,94210521.54285714,79119422.68672632,60792381.48310692,95213932.44380686,62566960.66195112,49964179.438568465,74507008.16381241,46239054.0176947,16681932.823235653,27245377.03076277,39983449.17017259,36706777.75217992,32304749.816112407,31926242.599309556,52545085.48558706,6.789565863657059e-4,67936450.41795893,35454083.58688183,0.5218712983790155,0.07766245016786681
16081,126833725.65161768,164478757.7878155,120449945.72505301,65908055.76153137,116904958.62523453,92810695.49113171,84657279.73273082,117974902.68525903,72540888.58767822,122052280.71736753,25328572.90638014,80684712.47198507,34733531.954116404,32163713.623774342,40392919.53182355,62350007.91885271,64388833.256470755,5.105645202781867e-4,106951023.33867243,57761821.54759631,0.5400773152463162,0.07766245016786681
163,20116903.490181874,64527875.88578726,115909596.91555686,109963957.01767895,156292921.88199225,76528098.38659109,137654838.35571438,46596059.26701233,127696375.71051177,66683603.19317386,18280953.00791374,70468993.14959064,5039764.642452766,11739723.067366952,25105507.25883781,13790625.718808929,16087413.1725425,1.9072916023556356e-4,95031847.43455853,28399572.9013359,0.2988426897718957,0.07766245016786681
16813,54501626.2984709,68605781.33928704,90625658.79395212,58669375.15519668,41169623.88806616,103007457.24533793,48457413.76282275,51286602.253387265,57677664.81812811,56120213.7246346,22765965.782966696,36237037.43592497,28932295.884047262,15177470.120328555,16297722.172665544,28077624.17922218,53470789.93798985,9.536448217082647e-4,63777911.506072104,32134889.90472246,0.5038561023068777,0.07766245016786681
18201,40586990.045714945,79377832.08685985,158790192.4916997,95715594.92603429,80913264.19252962,161877684.4181137,105685546.8314478,93291023.37920302,78251055.59541158,78643024.77939726,602587.8030030499,70062260.00062755,28164622.104531325,11335174.521290334,27090380.835674096,28263686.69204438,40249464.03422281,1.1552884081043066e-4,99387687.10744606,35551400.09634885,0.3577042703279224,0.07766245016786681
18515,984430189.594492,1421209990.0415878,1019893709.130988,1524297715.4878716,520378576.12997276,1235727838.837759,845754645.9410738,1680236785.8329823,1175261327.4652402,852156376.0565798,618702368.4211385,468195520.2430667,540934909.4346852,306121342.2498617,553389173.9254506,643484341.1685855,584923298.7412927,9.07474773912037e-4,1156354530.9402187,570988416.2800826,0.4937831789492954,0.07766245016786681
20863,169934346.86036834,167958101.32037604,207155138.47189996,334279770.75015134,157559627.574761,233226144.84316602,171342313.3495989,94167244.20426816,82553440.12736158,133407872.33278744,30247292.15888624,37830917.90113966,83632821.63537948,28959566.492932037,19205848.14672609,62323744.1548598,88778346.78274985,9.294351057094393e-4,179797347.5002168,60548301.20068257,0.3367585898374255,0.07766245016786681
20951,42922508.68541896,42454043.52073533,25319712.314464245,38592602.45555792,57497042.53434865,18168956.633469593,21136520.474504117,18872761.072193664,40511623.824854806,18502137.285236664,1350359.4911708501,10222246.443154277,2648286.016674169,859671.0401511193,8777820.916344663,1596672.9237512157,18357473.110352304,5.17191324104276e-4,33941752.390616365,7789333.403354408,0.22949119755843456,0.07766245016786681
21083,393762094.5316228,541981568.6807305,1106829812.5056396,746139063.478726,1198462416.8239574,767899069.1151928,642659345.2174568,665114154.5902132,1127676236.4460175,713645427.9762458,227869442.54870203,570497446.0428406,165972779.79592413,110487799.63519105,49511413.15351201,175835517.20058492,703734873.2214779,7.107172564331538e-4,798947084.5988396,339694337.44680977,0.42517751675303267,0.07766245016786681
