ClusterID,p_value,control_mean,treatment_mean,foldchange,padj,cluster_representative
3798,3.1899118411280205e-05,120043143.70602089,62463660.43950456,0.5203434241315327,0.0427129195527042,Q7TPR4
14868,0.0002232446542091731,36631597.36362699,6456422.950379537,0.17625283675973094,0.05978491839721655,Q9EST5-2
178,0.0001907291602355636,95031847.43455853,28399572.901335903,0.2988426897718957,0.05978491839721655,Q8CHI8
20330,0.00011552884081043066,99387687.10744606,35551400.09634885,0.3577042703279224,0.05978491839721655,Q8R2M0
24691,0.000160369461289532,79205328.59852567,23959765.72965589,0.3025019421496584,0.05978491839721655,A0A075B5L2
10865,0.0007529039036996814,73141330.45299591,20134372.84898253,0.2752803746429229,0.06913964480805218,Q9D2G2
1732,0.0006789565863657059,67936450.41795893,35454083.58688183,0.5218712983790155,0.06913964480805218,G3UY93
17506,0.00040733223767520037,30761602.30990361,15293622.004065147,0.49716597497073206,0.06913964480805218,P70677
17850,0.0005105645202781868,106951023.33867244,57761821.54759631,0.5400773152463162,0.06913964480805218,Q9D172
20724,0.0009074747739120369,1156354530.9402187,570988416.2800826,0.4937831789492954,0.06913964480805218,P35700
23818,0.0009294351057094393,179797347.5002168,60548301.20068257,0.3367585898374255,0.06913964480805218,Q4VWZ5
23941,0.0005171913241042759,33941752.390616365,7789333.403354407,0.22949119755843456,0.06913964480805218,Q642K5
24114,0.0007107172564331537,798947084.5988396,339694337.44680977,0.4251775167530327,0.06913964480805218,P01729
24274,0.0007966997498457107,44778299.60118882,23315192.71647268,0.5206806181593747,0.06913964480805218,P70349
26854,0.0004256792075314206,23635140.965180654,8987380.212537767,0.3802549866648985,0.06913964480805218,B1AZQ4
4171,0.0007057600084153057,590387427.3769871,90563191.64040464,0.15339620635684073,0.06913964480805218,Q9DBN5
75,0.0007975814868254915,291827216.85841215,89724928.97634059,0.3074590846674629,0.06913964480805218,B1AR51
8263,0.0008981261363476187,87239033.44596653,44809425.25150164,0.5136396344791619,0.06913964480805218,P11983
18966,0.0012942301589573574,51143890.14855576,89375627.23006976,1.747532832767779,0.08072393969229917,Q60692
20192,0.0014468816673750414,620292253.4902276,344415415.0352727,0.5552470034847837,0.08072393969229917,P19157
25547,0.0014399383551834365,617540587.3765324,257180428.60046977,0.4164591507953135,0.08072393969229917,P10639
3207,0.0013525475723878448,1199054916.5034838,1950538980.2808003,1.6267303135445117,0.08072393969229917,P97449
7179,0.0012145439393883494,156993645.50962865,40822553.32486591,0.2600267876597732,0.08072393969229917,G5E924
80,0.001431150854617559,28647237.719885465,5946024.474481952,0.20756013311379487,0.08072393969229917,E9Q2E4
1768,0.0016535005263454668,25280880.47385226,9265499.874186004,0.3665022618088485,0.0885614881910632,Q8CGF1
11451,0.001913462671033997,680527919.4889812,525322238.70920944,0.7719334117896028,0.09113190093416,P50247
21319,0.0019737304907323674,95455781.83093616,29820791.407576986,0.3124042445159921,0.09113190093416,P70296
6678,0.0018116572322117138,1328625082.7199328,864496137.5402473,0.6506697403081307,0.09113190093416,P63017
71,0.0018712326213651933,59342505.29154827,22211992.552026033,0.37430156416381577,0.09113190093416,Q91ZX7
