ClusterID,NORM_INTENSITY1,NORM_INTENSITY2,NORM_INTENSITY3,NORM_INTENSITY4,NORM_INTENSITY5,NORM_INTENSITY6,NORM_INTENSITY7,NORM_INTENSITY8,NORM_INTENSITY9,NORM_INTENSITY10,NORM_INTENSITY11,NORM_INTENSITY12,NORM_INTENSITY13,NORM_INTENSITY14,NORM_INTENSITY15,NORM_INTENSITY16,NORM_INTENSITY17,p_value,control_mean,treatment_mean,foldchange,padj
4211,68723684.62101837,116714742.38328633,130397308.78894696,146485107.40529895,138662693.93967468,134547643.59687704,117449301.0319466,121124321.09539461,106283490.4917447,83143343.37429994,37713478.63084352,72624022.56316504,34461183.99975149,57865951.415233925,60088588.314797714,93306909.68447146,60505805.53347343,3.1899118411280205e-5,120043143.7060209,62463660.439504564,0.5203434241315327,0.04280861690793804
17039,33060434.106070504,32791724.01566801,37507694.5734482,51994603.67819581,49974062.36894047,24944379.78558131,49388782.14482795,11039509.549865406,38983186.05004525,16521070.697465127,28375.43226170937,12237242.5479998,42036.33749049244,661843.2340368277,22946.866381271957,508881.0693765518,21628987.41802452,2.2324465420917307e-4,36631597.36362699,6456422.950379537,0.17625283675973094,0.05991886518974205
194,20116903.490181874,64527875.88578726,115909596.91555686,109963957.01767895,156292921.88199225,76528098.38659109,137654838.35571438,46596059.26701233,127696375.71051177,66683603.19317386,18280953.00791374,70468993.14959064,5039764.642452766,11739723.067366952,25105507.25883781,13790625.718808929,16087413.1725425,1.9072916023556356e-4,95031847.43455853,28399572.9013359,0.2988426897718957,0.05991886518974205
24274,40586990.045714945,79377832.08685985,158790192.4916997,95715594.92603429,80913264.19252962,161877684.4181137,105685546.8314478,93291023.37920302,78251055.59541158,78643024.77939726,602587.8030030499,70062260.00062755,28164622.104531325,11335174.521290334,27090380.835674096,28263686.69204438,40249464.03422281,1.1552884081043066e-4,99387687.10744606,35551400.09634885,0.3577042703279224,0.05991886518974205
30574,73502903.44911253,111741395.94587179,81572262.48645708,69677073.39038551,65233415.269868396,67892944.52366936,79127460.54760419,58674839.482060224,105425662.29170203,46012247.52781007,4838843.905816089,14741866.051502189,13616460.00042492,14953497.428762969,9775781.171072852,20845763.198051248,66893666.55380682,1.60369461289532e-4,79205328.59852567,23959765.729655895,0.30250194214965836,0.05991886518974205
11731,1763075365.0929098,2121792144.5988286,1740651879.2101924,1460527022.501633,1035308479.7455134,1811323640.318284,1351580312.976465,1410244044.0223162,1044817837.7546787,1480688156.7310038,869607969.6340203,1158484464.0366774,403508536.15414697,237757133.2283974,368852377.126561,333985067.9840795,1134834301.923035,7.576729402384925e-4,1526591191.8023136,748464750.8522402,0.49028499238790507,0.06296202090116526
12317,7891854.425466672,73135378.15853037,72875157.08644702,97023072.09295382,111359518.89601544,80193010.43105476,92571373.18313387,31500789.22001221,91721820.58334889,51766521.62703616,397269.0658652232,81802717.09989458,9488122.654307056,4165407.610006691,37776.325685854055,10173113.696017679,3244054.713047021,7.529039036996814e-4,73141330.4529959,20134372.848982535,0.2752803746429229,0.06296202090116526
1915,48613532.41542654,46440114.92537466,94210521.54285714,79119422.68672632,60792381.48310692,95213932.44380686,62566960.66195112,49964179.438568465,74507008.16381241,46239054.0176947,16681932.823235653,27245377.03076277,39983449.17017259,36706777.75217992,32304749.816112407,31926242.599309556,52545085.48558706,6.789565863657059e-4,67936450.41795893,35454083.58688183,0.5218712983790155,0.06296202090116526
20432,17377843.40311701,20855837.929338038,28571650.962682717,27381696.422168404,37437381.557325885,36036039.97517173,41777937.29914208,21455153.917317856,45960879.32286875,36286814.64046379,4983513.77212939,24912539.903065484,10551288.192988541,9374736.15032195,8731727.005480904,3610714.674418163,23897641.69365297,4.073322376752004e-4,30761602.309903607,15293622.004065149,0.497165974970732,0.06296202090116526
20896,126833725.65161768,164478757.7878155,120449945.72505301,65908055.76153137,116904958.62523453,92810695.49113171,84657279.73273082,117974902.68525903,72540888.58767822,122052280.71736753,25328572.90638014,80684712.47198507,34733531.954116404,32163713.623774342,40392919.53182355,62350007.91885271,64388833.256470755,5.105645202781867e-4,106951023.33867243,57761821.54759631,0.5400773152463162,0.06296202090116526
