	myenteric plexus	myenteric plexus	myenteric plexus	myenteric plexus	submucosal plexus	submucosal plexus	submucosal plexus	submucosal plexus
location	mouse1	mouse2	mouse3	mouse4	mouse1	mouse2	mouse3	mouse4
1	0.657587549	0.502192982	0.515337423	0.539291217	0.714007782	0.48245614	0.668711656	0.432973806
2	0.367924528	0.653653654	0.6	0.474522293	0.533018868	0.45045045	0.576576577	0.442675159
3	0.888535032	0.593220339	0.694708277	0.494518879	0.468152866	0.423728814	0.492537313	0.34591961
4	0.910818713	0.887387387	0.764264264	0.671480144	0.485380117	0.551801802	0.521021021	0.337184116
5	0.953642384	0.998866213	1.198312236	0.946031746	0.446357616	0.323129252	0.419127989	0.482539683
6	1.031506849	0.976923077	0.832630098	0.948717949	0.319178082	0.350549451	0.320675105	0.435897436
7	1.028846154	1.317180617	0.970828471	0.928255093	0.334134615	0.377386197	0.270711785	0.280779451
