	Myenteric Plexus	Myenteric Plexus	Myenteric Plexus	Myenteric Plexus	Submucosal Plexus	Submucosal Plexus	Submucosal Plexus	Submucosal Plexus
length	mouse1	mouse2	mouse3	mouse4	mouse1	mouse2	mouse3	mouse4
1	0.079766537	0.057017544	0.058282209	0.053929122	0.126459144	0.109649123	0.125766871	0.104776579
2	0.058962264	0.068068068	0.077477477	0.057324841	0.110849057	0.091091091	0.106306306	0.124203822
3	0.098726115	0.072639225	0.081411126	0.049939099	0.127388535	0.089588378	0.090909091	0.099878197
4	0.109649123	0.074324324	0.07957958	0.066425993	0.097953216	0.092342342	0.106606607	0.088086643
5	0.083443709	0.100907029	0.091420534	0.098412698	0.090066225	0.094104308	0.090014065	0.13015873
6	0.121917808	0.093406593	0.098452883	0.116550117	0.075342466	0.08021978	0.064697609	0.116550117
7	0.061298077	0.083700441	0.077012835	0.080602303	0.068509615	0.07195301	0.053675613	0.08768822
