"Cluster","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Cluster286132",2.09227363603031,4.46233082722895,0.973283996899488,4.58481886216585,4.54380177628217e-06,0.074268440033332
"Cluster0",0.205170650321804,0.264516069924264,2.83268268723878,0.0933800566918092,0.925601633736023,0.988683792640003
"Cluster1",0.590948948497642,0.506313171032349,1.53504277980506,0.329836521622314,0.74152348993352,0.988683792640003
"Cluster4",0.0496590601728428,-0.376677568206357,3.05565529406515,-0.123272271233591,0.90189149768618,0.988683792640003
"Cluster5",0.0626664654781629,0.304586945976828,3.05565529406515,0.09967974678571,0.920598580171369,0.988683792640003
"Cluster7",0.10186511042338,-0.737346177891298,3.05565529406515,-0.241305417964981,0.809318412019884,0.988683792640003
"Cluster8",0.296941362521396,-0.136224565749785,2.28657216149774,-0.0595758874544137,0.952493423272353,0.988683792640003
"Cluster13",0.0469159194596338,-0.376677568206357,3.05565529406515,-0.123272271233591,0.90189149768618,0.988683792640003
"Cluster19",0.0801430443219063,0.304586945976828,3.05565529406515,0.09967974678571,0.920598580171369,0.988683792640003
"Cluster21",0.0626664654781629,0.304586945976828,3.05565529406515,0.09967974678571,0.920598580171369,0.988683792640003
"Cluster23",0.231567585914088,0.585114830242413,2.56969024760431,0.227698583822664,0.819880573468483,0.988683792640003
"Cluster26",0.261554650700936,1.52660670983104,2.32338423511213,0.657061663223934,0.511141268023002,0.988683792640003
"Cluster28",0.274325675213145,0.883947352713056,2.3121302320328,0.382308634897221,0.702232450563105,0.988683792640003
"Cluster29",0.400715221609532,2.04449835041087,2.88625987977364,0.708355600525901,0.478724457167442,0.988683792640003
"Cluster35",0.0586298825785428,0.304586945976828,3.05565529406515,0.09967974678571,0.920598580171369,0.988683792640003
"Cluster40",0.499506286131875,-1.67490672266234,2.42176724214365,-0.691605160692397,0.489185319903546,0.988683792640003
"Cluster42",0.0460229222191782,0.304586945976828,3.05565529406515,0.09967974678571,0.920598580171369,0.988683792640003
"Cluster46",0.125702441915798,-0.737346177891298,3.05565529406515,-0.241305417964981,0.809318412019884,0.988683792640003
"Cluster47",0.0623611405217343,-0.376677568206357,3.05565529406515,-0.123272271233591,0.90189149768618,0.988683792640003
"Cluster51",0.394130857164766,0.884530095985529,1.97626929641954,0.447575691019466,0.654459450226704,0.988683792640003
"Cluster52",0.15279766563507,-1.09801478757624,3.05565529406515,-0.359338564696371,0.71934182777268,0.988683792640003
"Cluster68",0.483420130185731,2.36796232866056,2.21889822703371,1.06717933243208,0.285890863431152,0.988683792640003
"Cluster73",0.493506201057503,-1.11651325246537,1.6286209672638,-0.685557459290967,0.49299221530593,0.988683792640003
"Cluster83",0.242092271563436,-0.0961519769580993,2.54846255130726,-0.0377294054836227,0.969903430497126,0.988683792640003
"Cluster95",0.332719694539508,0.224445841654522,2.37312714570843,0.0945780937445386,0.924649950483196,0.988683792640003
"Cluster113",0.175499448548535,-0.416750273393053,3.05565529406515,-0.13638654667707,0.891515708495111,0.988683792640003
"Cluster120",0.187573502001367,-1.09801478757624,3.05565529406515,-0.359338564696371,0.71934182777268,0.988683792640003
"Cluster123",0.161798224141953,0.945780792388447,2.90476614758742,0.325596190651689,0.744729894699617,0.988683792640003
"Cluster132",0.0628512209578988,-0.376677568206357,3.05565529406515,-0.123272271233591,0.90189149768618,0.988683792640003
"Cluster133",0.0460229222191782,0.304586945976828,3.05565529406515,0.09967974678571,0.920598580171369,0.988683792640003
"Cluster140",0.0801430443219063,0.304586945976828,3.05565529406515,0.09967974678571,0.920598580171369,0.988683792640003
"Cluster152",0.100591615384533,-0.737346177891298,3.05565529406515,-0.241305417964981,0.809318412019884,0.988683792640003
"Cluster153",0.164060952354625,0.264514240790132,3.05565529406515,0.0865654713422307,0.931016912713194,0.988683792640003
"Cluster164",0.0720151079162683,-0.376677568206357,3.05565529406515,-0.123272271233591,0.90189149768618,0.988683792640003
"Cluster165",0.124104529305294,0.625182850475072,3.05565529406515,0.204598618073621,0.837885735180529,0.988683792640003
"Cluster169",0.227761087583053,0.585112722886879,2.79874521164918,0.209062518607079,0.834399433954777,0.988683792640003
"Cluster174",1.22568906062483,-1.59661631991943,0.983884332241888,-1.62276831493125,0.104638941435707,0.988683792640003
"Cluster175",0.104901311395805,0.625182850475072,3.05565529406515,0.204598618073621,0.837885735180529,0.988683792640003
"Cluster177",0.165216778234028,-0.416749791951892,2.90048702123462,-0.143682694975308,0.885751036802093,0.988683792640003
"Cluster178",0.0460229222191782,0.304586945976828,3.05565529406515,0.09967974678571,0.920598580171369,0.988683792640003
"Cluster193",0.0626664654781629,0.304586945976828,3.05565529406515,0.09967974678571,0.920598580171369,0.988683792640003
"Cluster194",0.0509325552116899,-0.376677568206357,3.05565529406515,-0.123272271233591,0.90189149768618,0.988683792640003
"Cluster196",0.10864689137986,-0.0560816637081121,3.05565529406515,-0.01835339994568,0.98535692762959,0.988683792640003
"Cluster197",0.921209708703989,1.13581066830197,1.16395242072383,0.975822248469264,0.329152557421072,0.988683792640003
"Cluster205",0.0469159194596338,-0.376677568206357,3.05565529406515,-0.123272271233591,0.90189149768618,0.988683792640003
"Cluster206",0.0571454193442321,0.304586945976828,3.05565529406515,0.0996797467857099,0.920598580171369,0.988683792640003
