"Cluster","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Cluster447209",4.20101041658614,4.59603290202278,0.99515009171736,4.61843187301653,3.86650879528053e-06,0.0500906214428592
"Cluster0",0.419042963591584,0.689223810355536,1.76804334168139,0.38982291559668,0.696667497461875,0.974077435645765
"Cluster1",0.391102398024504,2.05551686458363,2.12186207385561,0.968732553312746,0.332678645995603,0.974077435645765
"Cluster4",0.0672891978797175,0.293633757625802,3.08457506014951,0.0951942332087615,0.924160550419804,0.974077435645765
"Cluster7",0.136442373348466,-0.118558942561027,3.08457506014951,-0.0384360698796809,0.969340002614024,0.974077435645765
"Cluster8",0.0740767697674048,0.293633757625802,3.08457506014951,0.0951942332087615,0.924160550419804,0.974077435645765
"Cluster10",0.140614547159559,-0.118558942561027,3.08457506014951,-0.0384360698796809,0.969340002614024,0.974077435645765
"Cluster13",0.0672891978797175,0.293633757625802,3.08457506014951,0.0951942332087615,0.924160550419804,0.974077435645765
"Cluster21",0.202803027555986,0.293637117989295,2.90310823742472,0.101145769973004,0.919434745135234,0.974077435645765
"Cluster22",0.290721098584065,0.705834668835498,2.64419673038191,0.266937274645806,0.789517456584113,0.974077435645765
"Cluster23",0.0740767697674048,0.293633757625802,3.08457506014951,0.0951942332087615,0.924160550419804,0.974077435645765
"Cluster24",0.0740767697674048,0.293633757625802,3.08457506014951,0.0951942332087615,0.924160550419804,0.974077435645765
"Cluster26",0.0675135134311679,0.293633757625802,3.08457506014951,0.0951942332087614,0.924160550419804,0.974077435645765
"Cluster27",0.675486410562784,-2.95179004860948,2.98077602907208,-0.990275693249043,0.322039383871511,0.974077435645765
"Cluster28",0.0672891978797175,0.293633757625802,3.08457506014951,0.0951942332087615,0.924160550419804,0.974077435645765
"Cluster33",0.281872659936157,-0.942945209279722,2.66725681904952,-0.353526215602944,0.723693978758253,0.974077435645765
"Cluster36",0.323710027018021,1.03424997997407,3.02510914019366,0.341888484693765,0.732434815918305,0.974077435645765
"Cluster37",0.492735035989835,0.340792297448432,2.13896595449995,0.159325723128727,0.873412255482493,0.974077435645765
"Cluster48",0.337157580717307,-0.530749455355497,2.25818412655016,-0.235033737557232,0.814182547772181,0.974077435645765
"Cluster61",0.481767434827458,-0.486196872513816,1.62365928144395,-0.299445134869327,0.764600428428423,0.974077435645765
"Cluster71",0.218421749879791,1.11802307994278,3.08457506014951,0.362456110855213,0.717011215395759,0.974077435645765
"Cluster81",0.0714285714285714,-0.530753603719515,3.08457506014951,-0.172067008702907,0.863384849129409,0.974077435645765
