Cluster,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Cluster0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Cluster1,3,0,0,2,2,0,4,2,2,0,0,0,3,0
Cluster2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Cluster3,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Cluster4,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Cluster5,3,2,2,0,0,0,2,2,3,2,3,2,2,2
Cluster6,3,3,3,3,2,3,3,3,3,3,2,4,3,2
Cluster7,0,0,0,0,0,0,2,0,0,2,0,0,0,0
Cluster8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster9,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Cluster10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster12,4,2,4,5,0,0,0,2,5,0,5,4,17,10
Cluster13,0,0,0,0,0,0,0,0,0,0,0,7,0,2
Cluster14,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Cluster15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster17,0,3,3,2,0,0,0,0,3,0,1,0,0,2
Cluster18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster19,14,12,16,12,7,8,8,13,15,8,17,20,16,23
Cluster20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster21,19,10,4,21,19,12,7,0,7,18,20,5,8,9
Cluster22,26,20,19,20,21,25,11,18,29,24,19,23,23,20
Cluster23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster24,2,2,0,0,0,0,0,0,0,0,0,0,0,0
Cluster25,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster26,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Cluster27,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster28,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster29,12,2,0,10,12,4,3,0,0,8,6,0,0,0
Cluster30,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Cluster31,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Cluster32,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Cluster33,0,0,0,0,0,0,0,0,0,0,0,2,3,4
Cluster34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster35,35,38,34,32,33,46,28,35,49,42,45,44,37,39
Cluster36,5,9,9,4,2,11,3,18,6,7,22,24,22,53
Cluster37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster38,5,4,0,2,2,0,4,0,0,0,0,0,0,0
Cluster39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster40,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Cluster41,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Cluster42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster43,0,0,0,0,0,5,0,0,0,0,4,0,0,0
Cluster44,7,8,22,63,24,5,31,5,10,6,49,30,18,30
Cluster45,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Cluster46,0,0,5,0,0,0,0,1,8,0,9,27,15,24
Cluster47,0,0,0,0,0,0,0,0,0,1,0,0,3,0
Cluster48,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Cluster49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster51,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Cluster52,0,0,2,0,0,0,0,4,3,0,3,11,8,21
Cluster53,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Cluster54,19,8,0,13,18,9,10,0,2,4,0,0,0,0
Cluster55,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Cluster56,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Cluster57,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Cluster58,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Cluster59,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Cluster60,9,5,0,7,15,9,7,0,2,11,3,3,0,2
Cluster61,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster62,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster63,14,15,11,11,12,14,14,10,13,13,13,12,12,10
Cluster64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster65,0,0,0,0,0,0,0,0,5,0,7,24,8,20
Cluster66,0,0,2,0,0,0,0,0,4,0,11,23,13,27
Cluster67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster68,0,0,0,0,0,0,0,0,0,2,0,0,0,4
Cluster69,0,0,0,0,0,5,0,3,0,2,4,0,0,0
Cluster70,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Cluster71,4,5,4,3,10,6,7,7,2,5,5,6,3,4
Cluster72,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Cluster73,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster74,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster75,0,0,0,0,0,0,0,0,0,0,0,3,2,0
Cluster76,0,0,0,0,0,0,2,0,0,0,0,2,0,0
Cluster77,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Cluster78,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Cluster79,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Cluster80,5,5,5,4,4,6,5,5,5,4,6,3,5,4
Cluster81,0,3,0,0,0,3,0,0,0,0,0,0,0,0
Cluster82,6,7,6,4,10,9,6,9,7,16,5,7,6,5
Cluster83,0,0,2,0,5,0,3,0,0,0,0,0,0,0
Cluster84,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster85,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Cluster86,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Cluster87,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Cluster88,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster89,0,1,1,0,0,1,0,0,0,0,0,0,0,0
Cluster90,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Cluster91,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Cluster92,0,0,0,2,0,0,0,0,2,0,3,2,2,2
Cluster93,2,3,10,5,0,0,0,0,11,0,19,20,26,21
Cluster94,16,10,18,19,9,7,5,13,23,28,27,22,16,31
Cluster95,5,6,6,4,4,5,3,7,5,2,12,15,11,15
Cluster96,0,0,0,0,0,2,0,2,2,0,2,0,0,0
Cluster97,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster98,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Cluster99,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Cluster100,0,0,0,0,0,0,0,0,0,0,0,2,0,0
