Cluster,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Cluster0,0,3,2,0,0,0,0,0,0,0,7,5,4,5,5,0,0
Cluster1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Cluster2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Cluster3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster6,3,2,2,0,2,0,2,2,3,3,0,2,2,0,3,2,0
Cluster7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster8,2,3,2,3,2,2,2,3,3,2,2,3,1,2,2,2,1
Cluster9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster11,1,0,5,0,15,3,0,8,0,16,10,11,0,3,8,0,0
Cluster12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster14,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Cluster15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster16,0,10,0,9,4,0,8,12,10,2,0,0,0,0,0,0,8
Cluster17,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0
Cluster18,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Cluster19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster21,0,0,0,0,3,0,0,0,0,3,1,0,0,1,0,0,0
Cluster22,0,0,0,0,0,0,0,0,0,9,0,3,0,0,0,0,0
Cluster23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster25,4,0,6,0,0,0,0,2,0,6,0,4,0,4,0,3,0
Cluster26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Cluster29,0,0,0,0,4,6,0,3,0,3,6,3,0,2,3,0,0
Cluster30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster31,3,0,3,0,0,2,0,3,0,4,3,0,0,0,0,3,0
Cluster32,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster33,23,22,14,10,15,16,17,20,16,17,18,15,11,15,28,21,18
Cluster34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster38,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Cluster39,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster40,2,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0
Cluster41,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster42,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster43,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
Cluster44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster45,0,0,0,3,4,0,2,0,2,0,0,0,0,0,0,0,2
Cluster46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster48,39,41,32,39,33,45,36,34,40,40,39,40,31,35,41,40,39
Cluster49,10,24,2,33,60,0,29,0,0,0,2,3,13,17,2,0,10
Cluster50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster51,4,7,6,18,11,4,19,18,20,9,4,5,0,2,3,12,21
Cluster52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster53,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
Cluster54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster55,7,31,6,32,8,22,16,18,16,20,0,5,10,0,0,2,8
Cluster56,0,4,0,17,3,0,11,11,20,0,0,0,0,0,0,0,17
Cluster57,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0
Cluster58,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cluster59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster61,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Cluster63,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster64,0,6,0,7,5,0,10,9,15,0,0,0,0,0,0,0,8
Cluster65,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Cluster66,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster67,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Cluster68,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster69,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Cluster70,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Cluster71,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Cluster72,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Cluster73,4,0,2,2,0,2,0,0,2,2,0,0,0,0,3,2,0
Cluster74,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Cluster75,11,11,11,9,12,12,9,8,13,10,8,11,11,6,13,14,10
Cluster76,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Cluster77,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster79,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Cluster80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster81,0,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster82,0,15,0,1,0,0,4,3,2,0,0,0,0,0,0,0,0
Cluster83,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
Cluster84,4,0,3,0,3,4,3,3,3,3,2,2,0,4,2,3,0
Cluster85,2,3,3,5,9,0,3,0,3,0,0,0,0,3,0,0,1
Cluster86,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Cluster87,10,6,7,8,5,5,7,5,8,6,8,7,5,9,8,6,7
Cluster88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster90,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster91,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Cluster92,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Cluster93,7,5,6,6,5,4,6,6,6,6,6,4,5,4,6,5,5
Cluster94,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Cluster95,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Cluster96,4,5,5,6,7,4,2,2,7,6,8,4,7,7,8,6,7
Cluster97,2,3,4,2,3,2,1,3,0,3,1,1,2,1,2,2,2
Cluster98,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0
Cluster99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster100,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Cluster101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Cluster103,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0
Cluster104,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0
Cluster105,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Cluster106,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Cluster107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster108,0,16,0,26,6,0,21,15,31,14,0,0,0,0,0,0,14
Cluster109,14,31,14,17,5,7,16,10,14,17,14,15,18,14,13,17,21
Cluster110,4,2,4,11,4,0,8,11,10,2,0,0,0,0,2,5,7
