Cluster,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Cluster79,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Cluster80,7,5,6,6,5,4,6,6,6,6,6,4,5,4,6,5,5
Cluster81,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Cluster82,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Cluster83,6,8,9,8,10,6,3,5,7,9,9,5,9,8,10,8,9
Cluster84,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0
Cluster85,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster86,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Cluster87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Cluster89,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0
Cluster90,0,2,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0
Cluster91,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Cluster92,0,16,0,26,6,0,21,15,31,14,0,0,0,0,0,0,14
Cluster93,14,31,14,17,5,7,16,10,14,17,14,15,18,14,13,17,21
Cluster94,4,2,4,11,4,0,8,11,10,2,0,0,0,0,2,5,7
Cluster95,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0
Cluster96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster97,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0
Cluster98,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Cluster99,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Cluster100,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Cluster101,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Cluster102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Cluster103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster104,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0
Cluster105,13,27,10,22,9,20,18,16,10,16,15,15,13,29,29,14,21
Cluster106,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Cluster107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster109,2,9,3,6,4,2,4,1,6,1,4,2,3,0,16,5,7
Cluster110,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster112,6,3,5,10,14,6,12,8,8,9,5,2,1,2,9,8,9
Cluster113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster114,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Cluster115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster119,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Cluster120,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Cluster122,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Cluster123,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Cluster124,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
Cluster125,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Cluster127,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster128,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0
Cluster129,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0
Cluster130,0,2,1,7,3,2,3,0,0,3,0,0,2,0,0,0,0
Cluster131,0,0,0,0,0,0,0,0,0,0,3,2,3,6,2,0,0
Cluster132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster134,6,0,2,5,4,8,0,3,2,8,7,2,6,0,8,7,8
Cluster135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster137,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Cluster138,9,20,13,5,15,9,9,11,7,12,9,0,6,15,13,4,5
Cluster139,4,1,4,1,2,2,1,2,2,2,2,0,2,3,3,2,3
Cluster140,18,14,16,14,16,14,14,15,17,17,16,16,14,17,14,19,18
Cluster141,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Cluster142,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster143,17,0,13,11,0,10,9,0,7,4,2,0,2,3,0,0,0
Cluster144,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Cluster145,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Cluster146,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Cluster147,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0
