ClusterID,INTENSITY_1,INTENSITY_2,INTENSITY_3,INTENSITY_4,INTENSITY_5,INTENSITY_6,INTENSITY_7,INTENSITY_8,INTENSITY_9,INTENSITY_10,INTENSITY_11,INTENSITY_12,INTENSITY_13,INTENSITY_14,INTENSITY_15,INTENSITY_16,INTENSITY_17
0,0.0,0.0,0.0,0.0,0.0,0.0,14255724.0,2167042.0,0.0,0.0,0.0,24446515.0,88508982.0,43807128.0,78695092.0,115316842.0,0.0
100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39252285.0,0.0
10011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6897809.0,0.0
10016,0.0,0.0,0.0,0.0,0.0,0.0,2650402.0,0.0,0.0,0.0,0.0,0.0,2884738.0,0.0,0.0,0.0,0.0
10025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1762147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1012207.0
10029,0.0,0.0,982535.0,23863522.0,2439973.0,0.0,0.0,0.0,33744455.0,0.0,2020301.0,0.0,0.0,30000057.0,0.0,0.0,0.0
10034,4758706.0,0.0,772396.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10035,0.0,0.0,0.0,0.0,2733441.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663820.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10045,0.0,0.0,0.0,9316836.0,0.0,0.0,0.0,0.0,0.0,943446.0,0.0,0.0,0.0,0.0,6376713.0,26277072.0,2814922.0
10049,0.0,0.0,0.0,8321808.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10058,2486537.0,0.0,0.0,8469607.0,0.0,0.0,0.0,0.0,0.0,3090238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10070,2765656.0,2181703.0,4148328.0,9803756.0,2388764.0,819501.5,6937749.0,0.0,2427521.5,776772.0,1176988.0,4367064.0,0.0,0.0,0.0,0.0,4196419.0
1011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,404376.0,52557.0,0.0,4316686.0,9725079.0,0.0,0.0
10123,715776.0,0.0,705599.0,0.0,0.0,0.0,6313590.0,0.0,9597790.0,0.0,0.0,0.0,0.0,0.0,2487670.0,10225158.0,0.0
10127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4677180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10135,15963903.0,1796970.0,7794064.0,191484550.0,16920712.0,22614330.0,81134645.0,38493363.0,85545297.0,12006736.0,11548262.0,58933468.0,191484815.5,57766669.0,22135569.0,146831591.0,26613810.0
1014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41091531.0,0.0,0.0
10153,0.0,0.0,0.0,0.0,1263211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6267511.0,0.0,0.0,0.0,0.0,0.0
10168,1511416.0,2451049.0,0.0,0.0,3709354.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3022912.0,0.0,0.0,0.0,0.0,0.0,0.0
1018,0.0,0.0,3560755.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1418255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,4416138.0,0.0,0.0,25699114.0,0.0,1733507.0,17082079.0,0.0,52889805.0,0.0,2029401.0,7278421.0,0.0,0.0,0.0,0.0,2386351.0
10203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1871328.0,4168950.0,0.0,0.0,0.0,0.0,0.0,0.0
10208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4817315.0,0.0,0.0,0.0,0.0,0.0
10223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,685302.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10229,0.0,0.0,548606.0,0.0,0.0,0.0,0.0,0.0,8330838.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3695817.0,0.0,0.0,0.0,0.0,0.0
10253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5654972.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10256,1052971.0,0.0,0.0,2734269.0,2377024.0,1310998.0,3257939.0,0.0,0.0,537699.0,0.0,3298612.0,0.0,0.0,0.0,0.0,0.0
10271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150423758.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10282,35875156.0,34389485.0,13680674.0,239248149.0,26343422.0,27115600.0,160829395.0,0.0,271527083.0,42312446.0,44429323.0,48222659.0,543411364.0,8204716.0,244111252.0,73174994.0,39967179.0
10288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,475184.0
10291,0.0,0.0,1500076.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10296,11638412.0,0.0,5760998.0,0.0,0.0,2436221.0,0.0,800282.0,0.0,538603.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10303,0.0,881585.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1017744.0,0.0,0.0,8258938.0,0.0,0.0,4846938.0
1032,0.0,0.0,0.0,17580997.0,0.0,799217.0,0.0,0.0,30208019.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46587353.0
10334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26876296.0,0.0,0.0,0.0,0.0,16038392.0,23494741.0,0.0,4966013.0
10360,0.0,0.0,0.0,0.0,0.0,1086543.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10366,0.0,0.0,0.0,4981748.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
