ClusterID,INTENSITY_1,INTENSITY_2,INTENSITY_3,INTENSITY_4,INTENSITY_5,INTENSITY_6,INTENSITY_7,INTENSITY_8,INTENSITY_9,INTENSITY_10,INTENSITY_11,INTENSITY_12,INTENSITY_13,INTENSITY_14
7554,507548363.23841786,168973038.2520213,335642765.3702573,101476960.32629617,64225393.12164273,64708226.76362749,126563872.13916805,74345713.31805862,68811131.78944296,108405574.298233,214531763.5999985,653341279.7303296,54098001.42596728,24131170.601358827
757,102551756.40853836,2825229.1331033106,29704915.12409378,6842412.084142415,8394169.792915821,2335010.0,4966773.814042725,20310254.106343694,8154873.476270462,10763037.668543354,9905333.058070922,22999285.552178446,3466696.7279550987,6977757.902366823
7592,233407161.56591994,32806913.051129475,163406491.91696972,53224022.827985525,46505068.64748573,49523786.85632638,41913229.1774558,82450533.04246601,45841753.605708614,90599276.41180979,60578373.4311403,277079951.8672191,42784693.343499005,30319103.438437544
7645,19758418.21679469,1884923.1649918444,1875572.2990098442,2503575.0019397046,3809783.400026826,2216690.875521114,3735756.3431786904,2090898.0,1892194.568036954,28612141.27728076,10661726.878464144,25203305.305404387,2918467.7264871444,916919.4836575635
7668,228827728.99097115,119613950.60284035,175103687.34598345,55581725.83380697,64566943.5095152,73190114.36314991,48405048.70216552,27413161.840112697,33439117.03557375,27472783.54274785,24019796.141378976,244844671.88196275,25020037.493185524,29943604.35910299
768,1029642078.1658497,143540997.81204423,609755069.885015,397858118.82876116,252820453.37759563,357449933.0916667,331667969.31046474,230899475.5955344,121564889.21073388,256812174.35061973,191051171.9588134,1114500446.3246937,210900565.29751194,122834323.63758574
7681,577553871.7430694,389254252.94570607,869149778.0574503,237155940.39667037,279647376.8663181,270785318.3438948,513488333.0203574,240062639.64854074,144540951.00151363,214445590.3247384,215884907.11554822,717741369.5790169,339002425.9664201,4411433905.565832
7683,86427140.24410559,61572923.826457605,91090216.43540588,59013272.58199053,18460482.689964462,91237414.57621707,62496103.87241737,45754959.84563072,9990113.500479233,33737351.39904929,62303800.301443525,184740540.30279437,49584116.69669322,36178930.93099317
7706,238882876.13847068,38586305.06888281,64021632.5164492,31729823.791321624,35430924.19206789,43661555.96905523,47584806.49483302,50457018.50104977,33369588.795802258,45833511.18138664,52470688.10309517,123630690.05938877,31741280.939424753,57087588.228798345
7709,945397329.6475728,249264052.11293626,786175121.1599652,168116126.4524013,163704658.30929962,152264171.17706096,135492976.83510196,235085646.61892638,111415045.56529215,265031375.0292417,325992316.57540226,446934975.38430727,222523291.23157847,137979872.04236102
7722,585161806.0285727,96560001.19188201,499864802.74841094,91860987.42256548,84054314.27310571,90655345.7075265,122619675.091588,82167028.71535026,41616649.665578455,140979674.31971812,155823668.8564684,479502895.11803997,100939321.73668331,197087705.12950322
7734,503234099.5892588,667550898.9734076,585341088.9184477,289306518.62046796,185942088.93909568,233022764.68707842,405065524.43205297,299961599.22601426,164856116.63768345,440261618.0073395,321879389.6277947,543296859.5285609,296611432.42468774,349992057.93667895
7749,5857551.423055408,59507230.44206769,5013796.78233665,7182028.894220067,2734062.978476187,7156083.718269045,20742245.663929332,5994694.0,3841666.8164042933,6040566.947699582,21583695.64854814,2434530.707896527,792664.7390618827,526291.2840795424
7757,3323353.047800122,284753.98586894193,1749909.8158124967,17787.0,1025502.8974878401,798380.4671837077,1340484.4281468526,958475.4553471281,2123742.669477694,815240.3056816738,556146.913263855,9415570.0,3586419.4943159022,571305.3205346088
7765,3178471.1808998133,701813.1684041211,4142376.267008961,208301.87404573985,544224.5300356846,273652.4468243895,75225.8548666711,108812.82299958864,312306.802422543,228812.0,675773.0274442043,2108779.4814418918,118670.57326782672,278367.3681881305
7769,107131777.73450226,23995363.841202684,129595823.1525545,11189131.579911452,5694265.283817565,20815493.074576005,22186927.28986388,19830691.303893678,12376420.354587998,16701987.289318467,13630520.749804132,109854841.23098381,10429548.811953645,11091041.355497994
7784,285798119.0921526,107813273.74561109,321929805.20471376,146882742.4878201,81981577.7290074,78574385.66273257,143002457.33339977,84551771.30011128,69935977.55760936,174420200.93506637,155548026.84807828,333715018.58237,88232717.8621229,117687242.34672248
7809,820916.5159145303,1678408.8737448049,20059210.14054358,4546944.477858681,5779704.59300661,6255432.015330507,1361214.5731364759,808754.3220332911,681674.7378468462,1136811.4667495727,1195982.856104435,20670728.0,2188334.150205022,745636.6038043774
7811,93094293.20146078,32918367.314290024,89743430.7462284,4566587.186969651,9489156.51065033,54287061.95657627,6222868.137548111,12915238.896552777,22721786.183642805,19578935.177898616,80795409.0041745,41454520.085770264,16887799.91737426,40543022.95499927
7812,15297008.90978074,116396299.46261282,11177664.925387293,15039574.97527578,12071404.333711496,0.0,35339819.93289978,356531.0,20229302.479375515,39673264.21786697,60041343.40492062,6838435.415117198,2321997.918812596,4687369.7756736325
783,13808190.500644902,10125488.432048203,20678398.46114084,10582964.265583405,7449282.0,8234663.267461035,16234490.978277512,6824235.865753466,1616681.5334569153,8589189.793398209,8997054.92749992,11517469.7622078,7363428.337356708,2220272.1865459555
7839,3700219.324260692,6908290.064088381,61476426.89002313,4456148.658815891,4209743.588071808,6886213.106523479,4530102.41750697,10017343.367059939,6720102.778228402,3764145.2328131516,4433858.202276258,8086504.2365425415,2678079.111582957,1969563.0
7843,44561548.89047717,2575967.0,10860526.26965095,2356445.5779592227,5962257.863496056,11628287.25893371,3028317.1539015193,10584966.053839162,3872064.372125111,9561328.784728952,2606787.981717978,23912290.51523196,6000252.715337931,10349407.673651204
785,1702410464.6868658,180350454.59062108,2155754270.9044065,252254671.05294666,307801017.54748523,259263445.6948102,263162645.73261818,322764709.403884,188693797.4338832,514239646.7732774,321425760.93524474,1672584667.400945,381186199.6205331,310496482.71123827
788,1339169423.271694,73436810.1054915,624593459.4460479,98703671.78012276,104250120.14377008,137981692.90525883,129213908.25086367,100993593.34317261,63927710.51570945,83722567.62279879,52978268.68439469,1212996138.1634302,74782380.56118263,53901853.556943946
7913,58607000.6585614,26608568.142081235,202103370.0505082,32810519.31904459,31122848.069764063,22893307.594691787,52060355.840918116,20441849.4337748,7342780.441642675,18972101.940633662,21305862.62237379,46202219.45008227,17269017.678513285,20985720.04593748
