ClusterID,INTENSITY_1,INTENSITY_2,INTENSITY_3,INTENSITY_4,INTENSITY_5,INTENSITY_6,INTENSITY_7,INTENSITY_8,INTENSITY_9,INTENSITY_10,INTENSITY_11,INTENSITY_12,INTENSITY_13,INTENSITY_14
0,3.0367488565444576e-12,1.8537093791614596e-11,3.2039302895086654e-12,1.5147122517327156e-11,1.8270882453581963e-11,2.020668486993118e-11,1.551301838684269e-11,1.415516741095341e-11,1.9121527288829107e-11,1.0106752998989989e-11,5.408323288907027e-05,2.3561160443379984e-12,1.5454474050751095e-11,2.5512816557425116e-11
1,9.643755666771187e-05,1.8537093791614596e-11,3.9138462696950114e-05,3.8578478987585844e-05,1.8270882453581963e-11,2.020668486993118e-11,7.12483149512382e-05,1.415516741095341e-11,5.7831701656626134e-05,1.0106752998989989e-11,1.3844676745372056e-11,2.3561160443379984e-12,5.084134055398437e-05,6.56337105936676e-05
1002,3.0367488565444576e-12,1.8537093791614596e-11,3.2039302895086654e-12,1.5147122517327156e-11,1.8270882453581963e-11,2.020668486993118e-11,1.551301838684269e-11,1.415516741095341e-11,2.866324589206399e-05,1.0106752998989989e-11,1.3844676745372056e-11,2.3561160443379984e-12,2.8949490791081512e-05,2.5512816557425116e-11
101,3.0367488565444576e-12,1.8537093791614596e-11,6.358910932054218e-05,1.5147122517327156e-11,1.8270882453581963e-11,2.020668486993118e-11,1.551301838684269e-11,1.415516741095341e-11,1.9121527288829107e-11,1.0106752998989989e-11,1.3844676745372056e-11,2.3561160443379984e-12,1.5454474050751095e-11,2.5512816557425116e-11
1013,3.0367488565444576e-12,1.8537093791614596e-11,3.2039302895086654e-12,1.5147122517327156e-11,1.8270882453581963e-11,2.020668486993118e-11,1.551301838684269e-11,1.7514004620396312e-05,1.9121527288829107e-11,1.0106752998989989e-11,1.3844676745372056e-11,2.3561160443379984e-12,1.5454474050751095e-11,2.5512816557425116e-11
1019,3.0367488565444576e-12,1.8537093791614596e-11,3.2039302895086654e-12,1.5147122517327156e-11,1.8270882453581963e-11,2.020668486993118e-11,1.551301838684269e-11,1.415516741095341e-11,1.9121527288829107e-11,2.294186439706932e-05,1.3844676745372056e-11,2.3561160443379984e-12,1.5454474050751095e-11,2.5512816557425116e-11
102,3.0367488565444576e-12,1.8537093791614596e-11,3.2039302895086654e-12,1.5147122517327156e-11,1.8270882453581963e-11,2.020668486993118e-11,1.551301838684269e-11,1.415516741095341e-11,1.9121527288829107e-11,1.0106752998989989e-11,1.3844676745372056e-11,2.3561160443379984e-12,4.3928183403706186e-05,2.5512816557425116e-11
1021,4.889750840541233e-05,1.8537093791614596e-11,3.3514600655845264e-05,1.5147122517327156e-11,1.8270882453581963e-11,2.020668486993118e-11,1.551301838684269e-11,1.415516741095341e-11,1.9121527288829107e-11,1.0106752998989989e-11,1.3844676745372056e-11,2.3561160443379984e-12,1.5454474050751095e-11,2.5512816557425116e-11
104,3.0367488565444576e-12,1.8537093791614596e-11,3.2039302895086654e-12,1.5147122517327156e-11,1.8270882453581963e-11,2.020668486993118e-11,1.814379360997541e-05,1.415516741095341e-11,1.9121527288829107e-11,1.0106752998989989e-11,1.3844676745372056e-11,2.3561160443379984e-12,1.5454474050751095e-11,2.5512816557425116e-11
105,3.0367488565444576e-12,7.824516557987417e-05,3.2039302895086654e-12,1.5147122517327156e-11,3.911229535955837e-05,2.839825264266771e-05,1.551301838684269e-11,1.415516741095341e-11,1.9121527288829107e-11,1.0106752998989989e-11,1.3844676745372056e-11,2.3561160443379984e-12,1.5454474050751095e-11,2.5512816557425116e-11
106,3.0367488565444576e-12,1.8537093791614596e-11,3.2039302895086654e-12,1.5147122517327156e-11,1.8270882453581963e-11,2.020668486993118e-11,1.551301838684269e-11,1.415516741095341e-11,1.9121527288829107e-11,1.1992253678352062e-05,1.3844676745372056e-11,2.3561160443379984e-12,1.5454474050751095e-11,2.5512816557425116e-11
1065,0.00024824574952994854,0.00029059491565196086,0.00016014210212732656,0.00041305804735428944,0.0014018052460085678,0.0007417826934175989,0.0004798420296569302,0.0022901110288853386,0.0015215785158492893,0.0021263930247816232,0.0019436973498295517,0.00013721383690892532,0.00048122958840906047,0.0014677978259005889
1066,3.0367488565444576e-12,1.8537093791614596e-11,3.2039302895086654e-12,1.5147122517327156e-11,1.8270882453581963e-11,2.020668486993118e-11,1.551301838684269e-11,5.48800087072887e-05,1.9121527288829107e-11,3.727439231947901e-05,2.001599678332863e-05,2.3561160443379984e-12,1.5454474050751095e-11,2.5512816557425116e-11
1069,2.2247829472816008e-07,1.8537093791614596e-11,3.2039302895086654e-12,1.5147122517327156e-11,1.5734774343730066e-05,2.020668486993118e-11,1.551301838684269e-11,1.415516741095341e-11,1.9121527288829107e-11,1.0106752998989989e-11,1.3844676745372056e-11,2.3561160443379984e-12,1.5454474050751095e-11,2.5512816557425116e-11
107,3.0367488565444576e-12,1.8537093791614596e-11,3.2039302895086654e-12,1.5147122517327156e-11,1.8270882453581963e-11,2.020668486993118e-11,1.551301838684269e-11,1.415516741095341e-11,1.9121527288829107e-11,1.0106752998989989e-11,1.3844676745372056e-11,2.3561160443379984e-12,1.5454474050751095e-11,0.00018067549070681154
1071,2.399154584998812e-05,1.8537093791614596e-11,3.2039302895086654e-12,1.5147122517327156e-11,1.8270882453581963e-11,2.020668486993118e-11,1.551301838684269e-11,1.415516741095341e-11,1.9121527288829107e-11,1.0106752998989989e-11,1.3844676745372056e-11,2.3561160443379984e-12,1.5454474050751095e-11,2.5512816557425116e-11
