ClusterID,INTENSITY_1,INTENSITY_2,INTENSITY_3,INTENSITY_4,INTENSITY_5,INTENSITY_6,INTENSITY_7,INTENSITY_8,INTENSITY_9,INTENSITY_10,INTENSITY_11,INTENSITY_12,INTENSITY_13,INTENSITY_14
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3906427.0,0.0,0.0,0.0
1,31756842.0,0.0,12215765.0,2546917.0,0.0,0.0,4592807.0,0.0,3024428.0,0.0,0.0,0.0,3289748.0,2572577.0
100,64937990.0,18744270.0,95390663.0,4010682.0,9642608.0,19099087.0,7319024.0,4326324.0,2160842.0,7456258.0,7672104.0,2298254.0,4296266.0,16793116.0
10002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33363470.0,0.0,0.0
10005,0.0,859576.0,0.0,865559.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10006,0.0,0.0,0.0,2545594.0,0.0,0.0,0.0,6040380.0,0.0,2088244.0,6244085.0,0.0,0.0,0.0
10008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,620247.0,0.0,0.0,0.0,0.0,0.0,0.0
10011,0.0,0.0,1445643.0,0.0,0.0,0.0,0.0,0.0,0.0,548931.0,615897.0,0.0,0.0,0.0
10012,195882556.0,22602404.0,24249659.0,112870170.0,43688475.0,24396138.0,53386724.0,82174981.0,99814234.0,40183944.0,96506236.0,225573793.0,31032457.0,3544349.0
10013,0.0,0.0,82593219.0,6387196.0,0.0,32503484.0,5302353.0,803713.0,0.0,0.0,0.0,0.0,0.0,0.0
10014,68269967.0,9843754.0,54798151.0,14119047.0,16721704.0,21457716.0,11771721.0,50761889.0,9942083.0,74290106.0,19228345.0,22909113.0,15194066.0,17785159.0
10027,30246972.0,0.0,0.0,0.0,7427791.0,0.0,0.0,2163462.0,2850316.0,0.0,0.0,0.0,1221614.0,0.0
10035,0.0,12733385.0,3931485.0,0.0,0.0,2314153.0,5313611.0,2003501.0,0.0,0.0,2111581.0,0.0,0.0,0.0
10042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14018871.0,0.0
10052,0.0,0.0,0.0,423691.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10056,11413093.0,0.0,14402902.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10058,0.0,38667253.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1008,0.0,0.0,0.0,0.0,95521.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
