ClusterID,Control Mean,Treated Mean,Fold Change,p-value
24691,79205328.59852567,23959765.729655895,0.30250194214965836,5.461406124921648e-05
3798,120043143.7060209,62463660.439504564,0.5203434241315327,6.329371305795657e-05
14868,36631597.36362699,6456422.950379537,0.17625283675973094,6.877788152128097e-05
1453,107725484.7221477,23967042.59269627,0.22248256904588143,0.00018944374163256764
23941,33941752.390616365,7789333.403354408,0.22949119755843456,0.00027362119025429375
1732,67936450.41795892,35454083.58688183,0.5218712983790156,0.0007197489640888841
10810,4641809.334298143,939104.8046069166,0.20231438582966105,0.0008087113618556563
18966,51143890.148555756,89375627.23006976,1.7475328327677793,0.000952291988478509
20724,1156354530.9402187,570988416.2800826,0.4937831789492954,0.0009678011473108692
10349,22722878.622266278,12540575.465509897,0.5518920236286134,0.0010841884046928066
23818,179797347.50021684,60548301.20068257,0.33675858983742546,0.001227899619280228
20330,99387687.10744604,35551400.09634885,0.35770427032792246,0.0013764231729774296
75,291827216.8584121,89724928.97634059,0.30745908466746297,0.001407350332190926
18555,127382367.51565798,70777829.83289415,0.5556328651545439,0.0014837558623119875
26828,8633075.516416425,3524640.81644312,0.40827174623235457,0.0015169148875723056
71,59342505.291548274,22211992.552026033,0.37430156416381577,0.0015636529799500723
13738,823268813.1678493,202595238.66430306,0.24608637594899108,0.0018462195106463348
7214,109093607.36319542,151115615.03670454,1.385192209600413,0.0019015884690119344
1768,25280880.473852262,9265499.874186005,0.36650226180884843,0.0020677167707278767
25547,617540587.3765324,257180428.60046977,0.4164591507953135,0.0022551751004779136
26854,23635140.965180654,8987380.21253777,0.38025498666489865,0.002257943879051458
178,95031847.43455854,28399572.901335895,0.29884268977189565,0.0023423424571458024
4171,590387427.376987,90563191.64040461,0.15339620635684073,0.0027603205270098842
18065,12904197706.549435,19083173033.40217,1.4788345209339624,0.002888153581073441
1595,113903114.0760365,56754852.61783779,0.4982730549399277,0.0032908833855375807
10865,73141330.4529959,20134372.848982535,0.2752803746429229,0.0035479890257166177
3606,15282255.641029563,44978516.64784036,2.9431857249582145,0.003674028266670819
7756,252057928.798844,85670704.06163524,0.3398849798928767,0.003704889752430396
80,28647237.71988546,5946024.474481952,0.2075601331137949,0.0037785598148565433
3207,1199054916.5034838,1950538980.2808003,1.6267303135445117,0.003812254441293056
11247,18988013.43248567,53871061.53667925,2.8371088807275577,0.003824792604413078
21730,28857656.940758184,58049896.39346194,2.0115942369344966,0.003869175840277089
8499,544256546.5146798,234418137.84709924,0.430712573598371,0.0038770151493237913
8636,64062589.90552946,15659239.806277154,0.24443657100609276,0.0038857000182729714
7914,44852145.258609325,294780836.73420846,6.572279542807946,0.003953671983270368
24114,798947084.5988395,339694337.44680977,0.4251775167530328,0.004103542701383132
663,14846091.124131199,5106922.789126302,0.343991071213714,0.004153198954778934
186,123559211.03002389,50784515.9520741,0.4110135984903131,0.004292411080583578
16591,33847741.48474809,81351222.46868512,2.403446106008056,0.004433589880151266
1784,478771550.04842883,84596118.48181929,0.17669412159778958,0.00448306168114896
25340,91961722.78143288,25328707.994942132,0.2754266365272575,0.004558041739581004
11451,680527919.4889812,525322238.7092095,0.771933411789603,0.004565815189998242
20192,620292253.4902276,344415415.03527266,0.5552470034847836,0.004631906902311206
20492,232830010.72303554,131574726.92289719,0.5651106853205997,0.004657682315390681
5594,10986342.862371663,57182054.937538445,5.2048307297406105,0.004674831283130559
17949,431325734.12991375,1260898122.9851668,2.9233083565688407,0.004707116498656888
21319,95455781.83093616,29820791.40757698,0.31240424451599214,0.004715101370913952
7179,156993645.50962865,40822553.32486591,0.26002678765977316,0.005055382345590556
9535,777711319.9641283,476154587.3369162,0.6122510694056488,0.005232527991098304
5278,21881017.6352873,6174618.49268413,0.2821906455907418,0.005376101768042758
4729,27860684.24476333,191209636.9381783,6.863063206142107,0.0054500060635705155
3671,7611899.846182729,22718391.196547832,2.9845888221901418,0.005629252947408176
5814,3137471.5099103237,1130497.773469168,0.3603212873481934,0.005653669478541146
25597,17130750.162322823,46387766.76739536,2.7078654657762793,0.005724900231599308
10209,63398574.38728155,20337536.15247217,0.32078854057879413,0.005963374695783525
17850,106951023.33867243,57761821.54759631,0.5400773152463162,0.006133946569827228
15584,126615311.84600912,45413736.598777294,0.35867491803842777,0.006149563842364119
17937,1313258793.3380246,215946162.11124986,0.16443534450841987,0.006319380147257709
17688,58920686.17328329,17234976.020962644,0.29251146142927287,0.0063684711968922305
10930,104848550.90093409,170953588.2903707,1.6304811732867517,0.006504236157062928
140,42819958.69264793,21282679.89230577,0.4970271000275381,0.006787263178138054
3475,605462886.8442053,379130379.59336305,0.626182690683928,0.006883162370283292
17488,379640141.01516414,198071397.11908352,0.5217346000068308,0.007039475949708996
8884,6883785.451976967,22488323.94188303,3.2668542764395085,0.007139716654948364
196,35956021.61731389,84635609.04400927,2.35386467237117,0.007304924860137258
24960,54544238.035060585,29296407.012771428,0.5371127742941416,0.007330740031605568
12287,91704855.44694045,149910080.58696282,1.6347016726251682,0.007552997771306422
3199,189349798.91660357,52255045.53660402,0.27597095869966576,0.00762159624207864
9820,78508581.48107427,47885357.588032246,0.609937877932182,0.007798360251970207
8614,7381132.101937503,23103836.017228924,3.130120921581163,0.007835129242002808
