"Cluster","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Cluster215952",2.09864263838485,4.47572911194179,0.97356191542392,4.59727218272802,4.2805826815367e-06,0.0688018054403394
"Cluster0",0.205231734505264,0.280558333804373,2.80879866017821,0.0998855267848116,0.920435206834691,0.992137794509163
"Cluster1",0.594373446464623,0.520838825555717,1.52089562689461,0.342455337727003,0.732008249579736,0.992137794509163
"Cluster4",0.0492672458707309,-0.360635521291927,3.05565529406515,-0.118022318156231,0.906049974138273,0.992137794509163
"Cluster5",0.0619321820009787,0.320628992891258,3.05565529406515,0.10492969986307,0.916431591967176,0.992137794509163
"Cluster7",0.10186511042338,-0.721304130976868,3.05565529406515,-0.236055464887621,0.813389631278448,0.992137794509163
"Cluster8",0.29822389231485,-0.120182352278118,2.25742107927423,-0.0532387835754406,0.957541654592482,0.992137794509163
"Cluster10",0.0619321820009787,0.320628992891258,3.05565529406515,0.10492969986307,0.916431591967176,0.992137794509163
"Cluster13",0.0467870728518771,-0.360635521291927,3.05565529406515,-0.118022318156231,0.906049974138273,0.992137794509163
"Cluster19",0.0801430443219063,0.320628992891258,3.05565529406515,0.10492969986307,0.916431591967176,0.992137794509163
"Cluster22",0.233345779845084,0.60115718787202,2.54085973420447,0.236595975676808,0.812970242521264,0.992137794509163
"Cluster25",0.263503113460207,1.54651202517672,2.29460322890459,0.673977969566008,0.500325319920472,0.992137794509163
"Cluster27",0.273217034765405,0.899641844088617,2.28842065078657,0.393127829789245,0.694225070287829,0.992137794509163
"Cluster28",0.400715221609532,2.05160256718037,2.84448468863336,0.721256322939137,0.470751824300918,0.992137794509163
"Cluster34",0.0607354171062323,0.320628992891258,3.05565529406515,0.10492969986307,0.916431591967176,0.992137794509163
"Cluster39",0.500331418751762,-1.66631283317306,2.39114381268871,-0.69686851302322,0.485885084482744,0.992137794509163
"Cluster41",0.0464354885291216,0.320628992891258,3.05565529406515,0.10492969986307,0.916431591967176,0.992137794509163
"Cluster45",0.127628464516201,-0.721304130976868,3.05565529406515,-0.236055464887621,0.813389631278448,0.992137794509163
"Cluster46",0.0631565081823791,-0.360635521291927,3.05565529406515,-0.118022318156231,0.906049974138273,0.992137794509163
"Cluster48",0.15279766563507,-1.08197274066181,3.05565529406515,-0.354088611619011,0.723272476536063,0.992137794509163
"Cluster61",0.484884647320304,2.3811251860947,2.18801976094947,1.08825579576184,0.276482199141154,0.992137794509163
"Cluster65",0.492771722250531,-1.09931285299064,1.61450650911761,-0.680897132828194,0.495936582436801,0.992137794509163
"Cluster75",0.242572844084187,-0.0801097528289924,2.52104245528976,-0.0317764394093811,0.974650335773614,0.992137794509163
"Cluster86",0.332819575754769,0.240488137600638,2.34188462589958,0.102690002291748,0.918209008709712,0.992137794509163
"Cluster99",0.480081974082618,-0.0522563234091125,1.84699833453089,-0.0282925666104539,0.977428809213841,0.992137794509163
"Cluster104",0.174232890695426,-0.400708226478623,3.05565529406515,-0.13113659359971,0.895667253600829,0.992137794509163
"Cluster111",0.190127248622859,-1.08197274066181,3.05565529406515,-0.354088611619011,0.723272476536063,0.992137794509163
"Cluster114",0.163842209831233,0.961823066068448,2.88901398045406,0.332924337706833,0.739191397577723,0.992137794509163
"Cluster121",0.0638142322581004,-0.360635521291927,3.05565529406515,-0.118022318156231,0.906049974138273,0.992137794509163
"Cluster122",0.0464354885291216,0.320628992891258,3.05565529406515,0.10492969986307,0.916431591967176,0.992137794509163
"Cluster123",0.190233377422556,1.25736843680797,3.05424638915533,0.411678783110784,0.680574878124317,0.992137794509163
"Cluster125",0.0801430443219063,0.320628992891258,3.05565529406515,0.10492969986307,0.916431591967176,0.992137794509163
"Cluster135",0.100199801082421,-0.721304130976868,3.05565529406515,-0.236055464887621,0.813389631278448,0.992137794509163
"Cluster136",0.162651416769732,0.280556287704562,3.05565529406515,0.091815424419591,0.926844688913364,0.992137794509163
"Cluster147",0.0697804397114887,-0.360635521291927,3.05565529406515,-0.118022318156231,0.906049974138273,0.992137794509163
"Cluster148",0.450432711255385,1.20015824840275,2.14733540039528,0.558905817964826,0.57622599860052,0.992137794509163
"Cluster151",0.228586220202939,0.601155086271415,2.76911325032458,0.217092994012054,0.828135873745168,0.992137794509163
"Cluster156",1.26610215042948,-1.36566245324352,0.968251490258585,-1.41044188104353,0.158409246237202,0.992137794509163
"Cluster157",0.106521090486669,0.641224897389502,3.05565529406515,0.209848571150981,0.833785862670591,0.992137794509163
"Cluster159",0.162286338205083,-0.400707697977914,2.89142995212364,-0.138584611978447,0.889778403824093,0.992137794509163
"Cluster160",0.0464354885291216,0.320628992891258,3.05565529406515,0.10492969986307,0.916431591967176,0.992137794509163
"Cluster174",1.45789727726636,0.278460431130765,0.881752584104623,0.31580336270126,0.75215176557612,0.992137794509163
"Cluster175",0.0619321820009787,0.320628992891258,3.05565529406515,0.10492969986307,0.916431591967176,0.992137794509163
"Cluster176",0.0509325552116899,-0.360635521291927,3.05565529406515,-0.118022318156231,0.906049974138273,0.992137794509163
"Cluster178",0.108875333824097,-0.0400396167936822,3.05565529406515,-0.0131034468683196,0.989545261231655,0.992137794509163
"Cluster179",0.925667472231797,1.15661274244312,1.16621583686361,0.991765594226264,0.321311884870375,0.992137794509163
"Cluster183",0.0928709770582432,0.641224897389502,3.05565529406515,0.209848571150981,0.833785862670591,0.992137794509163
"Cluster187",0.0467870728518771,-0.360635521291927,3.05565529406515,-0.118022318156231,0.906049974138273,0.992137794509163
"Cluster188",0.056671304195879,0.320628992891258,3.05565529406515,0.10492969986307,0.916431591967176,0.992137794509163
"Cluster192",0.325111286342759,-1.39089466324438,2.17996176208074,-0.638036266249367,0.523450072632413,0.992137794509163
"Cluster194",0.184627342394844,0.280556287704562,3.05565529406515,0.091815424419591,0.926844688913364,0.992137794509163
