"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Cluster1290",1.85199146639114,-4.61049386651084,0.97675825740511,-4.72019952895943,2.35613411047851e-06,0.00154326784236342
"Cluster369",2.64383270894855,3.89262452667015,0.908207190157806,4.28605341254102,1.81875276576622e-05,0.00595641530788437
"Cluster1788",4.71002275973761,-1.96316785089041,0.52916011719648,-3.70996941585731,0.000207284286791576,0.0365762140670918
"Cluster2560",4.11878827462036,-2.14498045740699,0.581136602682468,-3.69100904590413,0.000223366192776133,0.0365762140670918
"Cluster1112",7.98943984359417,1.55314591495915,0.444688138322296,3.49266324219667,0.000478229192192971,0.0597602924189831
"Cluster2005",5.85659529085257,1.78986981362745,0.517840751875469,3.45640973049158,0.000547422525975418,0.0597602924189831
"Cluster2298",5.1598766982321,-1.75052390195634,0.52671242196983,-3.32349082523937,0.0008889834698746,0.0831834532525518
"Cluster732",3.9999015961121,1.84051949030701,0.590431508373824,3.11724470019596,0.00182549981057776,0.0939929891567788
"Cluster821",12.6886889600078,0.999578729474851,0.316004021965377,3.16318356727867,0.00156053897725439,0.0939929891567788
"Cluster1712",3.09779222215383,2.30188305672057,0.734298540688527,3.13480543562319,0.00171968127055163,0.0939929891567788
"Cluster2066",4.35921264103684,2.1911640674772,0.676630801124856,3.23834514159647,0.0012022526925219,0.0939929891567788
"Cluster3055",1.54337914365052,3.07721669270237,0.972490209064156,3.16426496022374,0.00155475183426598,0.0939929891567788
"Cluster4337",5.00877061491928,-1.54042816263859,0.495179509998226,-3.11084794813928,0.00186550970845515,0.0939929891567788
"Cluster592",3.28434004833363,2.3416499507603,0.769887283208238,3.04154907066692,0.0023536419807917,0.110116821244183
"Cluster4016",13.3603534029496,0.878698558369739,0.294479480551789,2.98390419842922,0.00284595864056901,0.124273527304847
"Cluster182",15.34037295876,0.803118193699393,0.280430653612517,2.86387448502365,0.00418493803858629,0.149352612058959
"Cluster395",4.34298010595085,1.50531501385713,0.542724326406983,2.77362731061426,0.00554351450711813,0.149352612058959
"Cluster832",12.3472368454444,0.896145041097686,0.321689987530858,2.78574116644437,0.00534054967373492,0.149352612058959
"Cluster835",2.85324059260445,-3.47664438565369,1.23023066127233,-2.82601019068902,0.00471317645722051,0.149352612058959
"Cluster1143",3.83688134334183,1.84231410730415,0.663583160212401,2.77631232642259,0.0054979365680167,0.149352612058959
"Cluster1167",8.96410849725106,1.02279412008881,0.369550932857885,2.76766753686462,0.00564590181441507,0.149352612058959
"Cluster1189",1.51253874938997,3.02467572713076,1.07634035046473,2.8101480408356,0.00495187167648676,0.149352612058959
"Cluster1784",5.09220551984011,1.44485887506115,0.522641722664313,2.76453029370786,0.00570048137629614,0.149352612058959
"Cluster2877",1.92178750361442,-2.5351830578363,0.899585984087688,-2.81816647066522,0.00482987612826402,0.149352612058959
"Cluster3771",14.75823743326,1.42748231805023,0.510070229404929,2.79859955699746,0.00513247445551568,0.149352612058959
"Cluster2125",2.10583427225971,2.38388715164727,0.87356894993483,2.72890554526362,0.00635449021306092,0.15415522553907
"Cluster4113",2.88086836729716,1.96777847001921,0.719157008116529,2.73622929041993,0.00621477057030578,0.15415522553907
"Cluster266",1.89784520690382,-2.47162485101564,0.910959673709511,-2.71320995028348,0.00666348738549356,0.155878008482081
"Cluster942",7.05304603412834,-1.85114171850927,0.695796384445284,-2.66046469900109,0.00780329066823029,0.159723605865339
"Cluster1263",3.23457079918697,1.63399106156267,0.614051663491898,2.66099932417857,0.00779091134995004,0.159723605865339
"Cluster2102",4.84067895544309,-1.38546685689567,0.516876557663119,-2.68045984356417,0.00735210850706756,0.159723605865339
"Cluster3772",4.00217219762555,1.77553639439453,0.659913945827285,2.69055746680527,0.00713327481989949,0.159723605865339
"Cluster1122",12.3601371269249,-0.729109013001652,0.281146203483328,-2.5933446867437,0.00950474583341815,0.18310613296732
"Cluster3449",4.70005560394562,1.41398914299044,0.544344749245937,2.59759857140018,0.00938781713133555,0.18310613296732
"Cluster854",3.71711119172806,1.79915129074437,0.697465002589206,2.57955780442798,0.00989269004629944,0.183913075014875
"Cluster973",1.88985891794954,-2.22488112470345,0.865003734603135,-2.572105802207,0.0101081995428023,0.183913075014875
"Cluster1019",2.92489563427328,1.6066236929223,0.641077999632812,2.50612826183791,0.0122061332928309,0.19035755492391
"Cluster1833",3.85907183434695,1.65192289705614,0.65156551163072,2.53531359098758,0.0112346703805405,0.19035755492391
"Cluster2234",1.73705392102057,-2.65199448160086,1.05227760411589,-2.52024225473184,0.0117274090740031,0.19035755492391
"Cluster3042",2.53507029163865,1.71899892039241,0.68275695485155,2.51773183440683,0.0118113209928806,0.19035755492391
"Cluster3453",3.19439005759602,1.59639637071824,0.636216402324195,2.50920341708634,0.0121003780476872,0.19035755492391
"Cluster4963",5.44095791632872,1.46768007925126,0.576058615759805,2.54779642053515,0.0108405712366077,0.19035755492391
"Cluster1898",5.77985954902173,1.06986360398816,0.428428608301353,2.49718058798638,0.0125185186765887,0.190689063561991
"Cluster317",18.4635319433585,-0.554771811835789,0.224087926106894,-2.4756880991935,0.013297969274268,0.194073452832266
"Cluster1058",3.50532383634024,1.64067453697179,0.662968235665325,2.47474079255891,0.0133332906525985,0.194073452832266
"Cluster2718",1.91143730304411,2.3142766722851,0.940199651078818,2.46147365575984,0.0138367559023897,0.197023372088376
"Cluster1537",27.4582939956872,0.4412765505462,0.181844180510418,2.426674031072,0.0152379400532224,0.212358526273632
"Cluster1218",9.09318235283226,0.881003191490084,0.366700419914489,2.4025148149422,0.0162827749967771,0.217657502507939
"Cluster1266",1.67931661360445,2.36290402806674,0.980935117637602,2.40882805149983,0.0160038360792053,0.217657502507939
"Cluster377",19.5258752796708,0.864124365935191,0.361579108186158,2.38986254009538,0.0168546797675189,0.220796304954497
"Cluster4157",5.12195930703953,1.32741212941487,0.557709898432733,2.38011219299701,0.0173073677066172,0.222280898977142
"Cluster72",1.68096888993281,2.34660534108273,1.00061644705538,2.34515967430712,0.0190189326371434,0.222758047109317
"Cluster930",23.1295793928167,-0.42983468839006,0.181538745792691,-2.36772974558782,0.01789760408268,0.222758047109317
"Cluster983",5.8453467262776,-1.07882392688596,0.464377433229041,-2.32316182848158,0.0201704605243562,0.222758047109317
"Cluster1002",4.21672160450772,-2.70665084100553,1.14759487596581,-2.35854211071448,0.0183468780561397,0.222758047109317
"Cluster1016",1.91842639393695,4.2086518817304,1.7893370850888,2.35207324366249,0.0186690984335799,0.222758047109317
"Cluster1693",2.1961330339635,1.95871014907517,0.842047649205888,2.32612744768349,0.0200117526822098,0.222758047109317
"Cluster2575",8.64633178676116,-0.990398699681659,0.425417440490616,-2.32806322782506,0.0199087465338358,0.222758047109317
"Cluster3398",2.29225736681467,2.05277516270142,0.885270798378726,2.31881043231161,0.0204053172924565,0.222758047109317
"Cluster3742",1.97255426098745,-1.87384036498702,0.801779808210204,-2.33710096687263,0.0194339347610484,0.222758047109317
"Cluster859",5.2831460995992,1.10110437349969,0.476459388484868,2.31101411812071,0.0208320750871929,0.22368867511658
"Cluster3587",5.31346553901857,-1.1470551813195,0.498255531494876,-2.30214239243482,0.0213271434210359,0.224115703087733
"Cluster4285",4.42779334315555,1.17415070755774,0.510922641962566,2.29809879446244,0.0215561668618735,0.224115703087733
"Cluster3756",1.55204610563739,-2.15668256740823,0.944422200475284,-2.28360003219203,0.0223950478957671,0.229199318308241
"Cluster177",13.9089577671397,0.686309369716052,0.30656771041663,2.23868772345054,0.0251762418743572,0.244466566473599
"Cluster1619",1.49492703452829,3.84945658710831,1.71809508230482,2.24053757370882,0.0250560443067807,0.244466566473599
"Cluster2537",2.10085464378793,1.84068710895572,0.818574658309999,2.24864902702454,0.0245348345799541,0.244466566473599
"Cluster3144",2.80800314158359,1.37606164601561,0.618272871753159,2.22565425216488,0.0260373492594372,0.244466566473599
"Cluster3496",3.21598796823726,1.31371489753218,0.590611304456253,2.22433076986506,0.0261261979437434,0.244466566473599
"Cluster3694",1.74002366446021,2.12674123344166,0.953967772541305,2.22936381569386,0.0257897077503986,0.244466566473599
"Cluster391",2.35998156807913,2.06924260551783,0.937739253137612,2.20662897345322,0.0273399910691254,0.252221044370101
"Cluster1281",16.9607977242175,0.521048573810951,0.238058062991555,2.18874575077692,0.0286153246823358,0.256753940642876
"Cluster3457",4.23662324084341,2.24338458375965,1.02396412605146,2.1908820110822,0.0284603318286048,0.256753940642876
"Cluster0",2.00093755807808,-2.86161965976998,1.32418578439558,-2.16104091547558,0.0306921789717719,0.257962710105789
"Cluster39",36.9292018097452,-0.280343895154606,0.137210723100695,-2.04316316406896,0.0410362888671828,0.257962710105789
"Cluster45",10.9170339508243,1.41873234365559,0.690556315819196,2.05447739909897,0.0399295086444073,0.257962710105789
"Cluster70",1.93516121028088,4.21927611284557,1.96131407216103,2.1512495998138,0.0314565040181749,0.257962710105789
"Cluster143",4.08246854105323,2.21306385279758,1.03397739035728,2.14034066260664,0.0323272460923138,0.257962710105789
"Cluster167",2.19419125915158,1.95524467293982,0.920260195553069,2.12466504841572,0.0336145718656202,0.257962710105789
"Cluster339",16.2576602343997,0.515429257225499,0.252479163224717,2.04147245516156,0.0412038890366359,0.257962710105789
"Cluster392",6.20258916706315,2.11550742209271,0.995580753587273,2.12489786937937,0.033595135801937,0.257962710105789
"Cluster612",10.7124973741451,0.785177762150532,0.384895748431322,2.03997515002594,0.0413528008566532,0.257962710105789
"Cluster613",5.44468577535751,1.18054257019857,0.573599226963466,2.05813138286143,0.0395775231863756,0.257962710105789
"Cluster897",9.3271556125243,0.664008996512078,0.321228536916769,2.06709217955976,0.0387254688715957,0.257962710105789
"Cluster1061",3.95195590697875,1.19696248508962,0.560695587295879,2.13478135410755,0.0327788740417397,0.257962710105789
"Cluster1225",3.22925368835124,1.24505651859799,0.599822474089148,2.07570835102279,0.0379209331111619,0.257962710105789
