"Cluster","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Cluster724082",4.19496915170037,4.59313697043769,1.04879512841018,4.37944155728508,1.18983825100974e-05,0.159176561220083
"Cluster0",0.418761317343278,0.685425063142684,1.96970149153947,0.347984233188031,0.727852024476919,0.9734281102764
"Cluster1",0.390905349267181,2.05309368445323,2.2711491232292,0.903988938222634,0.366001266969064,0.9734281102764
"Cluster4",0.0672891978797175,0.291393669979947,3.08457506014951,0.0944680107625014,0.924737392491089,0.9734281102764
"Cluster7",0.13704585066067,-0.120799030206881,3.08457506014951,-0.0391622923259408,0.968760996923981,0.9734281102764
"Cluster8",0.0740767697674048,0.291393669979947,3.08457506014951,0.0944680107625015,0.924737392491089,0.9734281102764
"Cluster10",0.141365967647122,-0.120799030206882,3.08457506014951,-0.039162292325941,0.968760996923981,0.9734281102764
"Cluster13",0.0672891978797175,0.291393669979947,3.08457506014951,0.0944680107625014,0.924737392491089,0.9734281102764
"Cluster23",0.290933226984994,0.703593516339679,2.75961317648917,0.254960920731218,0.79875328266569,0.9734281102764
"Cluster24",0.0740767697674048,0.291393669979947,3.08457506014951,0.0944680107625015,0.924737392491089,0.9734281102764
"Cluster28",0.0677256418320977,0.291393669979947,3.08457506014951,0.0944680107625014,0.924737392491089,0.9734281102764
"Cluster29",0.675486410562784,-2.95338148705337,2.64602327760764,-1.1161585432928,0.264354276430664,0.9734281102764
"Cluster30",0.0672891978797175,0.291393669979947,3.08457506014951,0.0944680107625014,0.924737392491089,0.9734281102764
"Cluster35",0.283032238355461,-0.945185070164742,2.78462398246508,-0.33943005451243,0.734285780806567,0.9734281102764
"Cluster38",0.324144401368368,1.03598073273926,2.9691735022775,0.348912157522831,0.727155257705433,0.9734281102764
"Cluster39",0.492843629577422,0.341938442486574,2.22066992275194,0.153979859403342,0.877625616049648,0.9734281102764
"Cluster56",0.337155232107334,-0.532989592079262,2.42658971558782,-0.219645533258245,0.826147226825314,0.9734281102764
"Cluster73",0.480354104557967,-0.482701590568075,1.81146739312395,-0.266469930621073,0.789877314361003,0.9734281102764
"Cluster83",0.216933912624548,1.11578299229692,3.08457506014951,0.361729888408953,0.717553889696647,0.9734281102764
"Cluster94",0.0714285714285714,-0.532993691365369,3.08457506014951,-0.172793231149167,0.86281395777412,0.9734281102764
"Cluster95",1.05107200156482,-0.319671628448465,1.32710073494632,-0.240879701164053,0.809648355104179,0.9734281102764
"Cluster106",0.0641577219843,0.291393669979947,3.08457506014951,0.0944680107625015,0.924737392491089,0.9734281102764
"Cluster113",0.13704585066067,-0.120799030206881,3.08457506014951,-0.0391622923259408,0.968760996923981,0.9734281102764
"Cluster120",0.587062065785968,-1.5490142596523,2.06997054955009,-0.748326714111453,0.454263114941891,0.9734281102764
"Cluster132",0.131883363816398,0.703588331138435,3.08457506014951,0.228098949585727,0.819569316681211,0.9734281102764
"Cluster153",0.138942084859739,-0.120799030206882,3.08457506014951,-0.039162292325941,0.968760996923981,0.9734281102764
"Cluster157",0.0714285714285714,0.291393669979947,3.08457506014951,0.0944680107625014,0.924737392491089,0.9734281102764
"Cluster169",0.831736314284338,0.396622443208637,1.35311917322855,0.293117155573439,0.769432604146535,0.9734281102764
"Cluster170",0.0714285714285714,0.291393669979947,3.08457506014951,0.0944680107625014,0.924737392491089,0.9734281102764
"Cluster174",1.61112675448954,-0.44635564463437,1.03589807230687,-0.43088761005257,0.66655009278161,0.9734281102764
"Cluster177",0.0641577219843,0.291393669979947,3.08457506014951,0.0944680107625015,0.924737392491089,0.9734281102764
"Cluster185",0.269983945734708,0.703595187928688,2.57504582270175,0.273235987385449,0.7846718181606,0.9734281102764
"Cluster192",0.0665419118321269,0.291393669979947,3.08457506014951,0.0944680107625014,0.924737392491089,0.9734281102764
"Cluster195",0.139424866435457,-0.120799030206882,3.08457506014951,-0.0391622923259409,0.968760996923981,0.9734281102764
"Cluster197",1.30768901086976,1.0130083937887,1.12499095201991,0.90045914766679,0.367875956337496,0.9734281102764
"Cluster211",0.142857142857143,-0.120799030206882,3.08457506014951,-0.039162292325941,0.968760996923981,0.9734281102764
"Cluster213",0.0714285714285714,0.291393669979947,3.08457506014951,0.0944680107625014,0.924737392491089,0.9734281102764
"Cluster214",0.142779687450185,-0.120799030206882,3.08457506014951,-0.039162292325941,0.968760996923981,0.9734281102764
"Cluster225",0.13704585066067,-0.120799030206881,3.08457506014951,-0.0391622923259408,0.968760996923981,0.9734281102764
"Cluster231",0.0740767697674048,0.291393669979947,3.08457506014951,0.0944680107625015,0.924737392491089,0.9734281102764
"Cluster232",0.0629690808932648,0.291393669979947,3.08457506014951,0.0944680107625015,0.924737392491089,0.9734281102764
"Cluster245",3.45688465475762,0.859280594840107,1.27104347295933,0.676043434485737,0.499013068674732,0.9734281102764
"Cluster246",0.222230309302214,1.11578299229692,3.08457506014951,0.361729888408953,0.717553889696647,0.9734281102764
"Cluster256",0.224823704297742,-0.532991580206415,2.98758293310214,-0.178402271046911,0.858407065878271,0.9734281102764
"Cluster259",0.21014634073686,1.11578299229692,3.08457506014951,0.361729888408953,0.717553889696647,0.9734281102764
"Cluster266",0.362138453294256,-1.34879161505445,2.3618783441912,-0.571067353393397,0.567953987429126,0.9734281102764
"Cluster297",0.0675135134311679,-0.532993691365369,3.08457506014951,-0.172793231149167,0.86281395777412,0.9734281102764
"Cluster300",0.215667052965977,-1.35737909173903,3.08457506014951,-0.440053837326052,0.659898115035563,0.9734281102764
"Cluster304",0.0677256418320977,0.291393669979947,3.08457506014951,0.0944680107625014,0.924737392491089,0.9734281102764
"Cluster307",0.262713096290436,1.47730809032501,2.84004084502688,0.520171423911697,0.602944100520136,0.9734281102764
"Cluster314",0.192480073618657,1.11578299229692,3.08457506014951,0.361729888408953,0.717553889696647,0.9734281102764
"Cluster318",0.170797675724569,-0.945186391552198,3.08457506014951,-0.306423534237609,0.759282191879882,0.9734281102764
"Cluster334",1.09302368384053,0.633442879365379,1.36674286223712,0.463468950061713,0.643028266061634,0.9734281102764
"Cluster350",0.0853988378622843,-0.532993691365369,3.08457506014951,-0.172793231149167,0.86281395777412,0.9734281102764
"Cluster362",0.556294520130079,-0.81472646710267,1.74055234177397,-0.468085013905586,0.639723795676964,0.9734281102764
"Cluster363",0.0677256418320977,0.291393669979947,3.08457506014951,0.0944680107625014,0.924737392491089,0.9734281102764
"Cluster376",0.0629690808932648,0.291393669979947,3.08457506014951,0.0944680107625015,0.924737392491089,0.9734281102764
"Cluster377",0.68195546013253,0.44754956720076,1.66289843155357,0.269138246033845,0.787823299803545,0.9734281102764
"Cluster378",1.34547382078794,-0.907531133220479,1.04093773604392,-0.871839978315656,0.383295681504305,0.9734281102764
"Cluster383",0.0629690808932648,0.291393669979947,3.08457506014951,0.0944680107625015,0.924737392491089,0.9734281102764
"Cluster386",0.635925219770918,0.214999687435458,1.69122462969213,0.127126629816523,0.898840174908284,0.9734281102764
"Cluster391",0.0752671444511575,-0.532993691365369,3.08457506014951,-0.172793231149167,0.86281395777412,0.9734281102764
"Cluster394",0.417308065722796,0.706693759871804,2.11589670259937,0.333992561642368,0.738385171649437,0.9734281102764
"Cluster399",0.279613409709925,-0.945185530398623,2.54702146856391,-0.371094449758034,0.710567184814431,0.9734281102764
"Cluster402",0.0714285714285714,-0.532993691365369,3.08457506014951,-0.172793231149167,0.86281395777412,0.9734281102764
"Cluster414",0.0629690808932648,0.291393669979947,3.08457506014951,0.0944680107625015,0.924737392491089,0.9734281102764
"Cluster423",0.0665419118321269,0.291393669979947,3.08457506014951,0.0944680107625014,0.924737392491089,0.9734281102764
"Cluster425",0.279636753969037,-0.120795049162082,2.54695529397764,-0.047427235746032,0.962172722453048,0.9734281102764
"Cluster431",0.0629690808932648,0.291393669979947,3.08457506014951,0.0944680107625015,0.924737392491089,0.9734281102764
"Cluster432",0.145505341195976,0.703588331138434,3.08457506014951,0.228098949585727,0.819569316681211,0.9734281102764
"Cluster433",0.0672891978797175,0.291393669979947,3.08457506014951,0.0944680107625014,0.924737392491089,0.9734281102764
"Cluster436",0.142856645392091,-0.945186391552198,3.08457506014951,-0.306423534237609,0.759282191879882,0.9734281102764
"Cluster452",0.0675135134311679,-0.532993691365369,3.08457506014951,-0.172793231149167,0.86281395777412,0.9734281102764
"Cluster454",0.0641577219843,0.291393669979947,3.08457506014951,0.0944680107625015,0.924737392491089,0.9734281102764
"Cluster455",0.362079948282438,-0.532989539255102,2.19276305628587,-0.243067547917323,0.807953070415639,0.9734281102764
"Cluster456",0.214208258878756,-0.532991657630768,3.03797092117741,-0.175443304580479,0.860731316091642,0.9734281102764
"Cluster457",0.12593816178653,0.703588331138435,3.08457506014951,0.228098949585727,0.819569316681211,0.9734281102764
