"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Cluster513",2.62145478560875,3.87436140938416,0.885512157371837,4.37527749012854,1.21278098562781e-05,0.0102965105679801
"Cluster5489",2.19345449268358,3.58613233166701,0.876196600089406,4.0928398162023,4.2612210140795e-05,0.0180888832047675
"Cluster2089",2.94621413555788,3.30030771338161,0.895470006806047,3.68555919047821,0.000228201036160064,0.0439272137713066
"Cluster5032",3.80875709276117,-2.00886377591417,0.545517705683439,-3.68249051311251,0.000230966465634229,0.0439272137713066
"Cluster6928",1.39605413352209,-4.21600902060532,1.15396753778831,-3.65349013949362,0.000258699727746211,0.0439272137713066
"Cluster3370",1.07376467671215,-3.8141599975897,1.08328920901632,-3.52090648170781,0.000430074265102261,0.0608555085119699
"Cluster2251",1.08418012321634,3.37855197948055,0.984456614290071,3.43189525108422,0.000599379016170222,0.0726961121040741
"Cluster5972",1.54100780796994,3.06699436346433,0.922807213109183,3.32354832070592,0.000888800233157374,0.083843488661179
"Cluster8226",5.03115263783753,-1.5548842171271,0.467305047413689,-3.32734308292334,0.000876783535478902,0.083843488661179
"Cluster3237",3.06842757452554,2.281047535259,0.706164746152137,3.2301917473059,0.00123707221650141,0.095479482891791
"Cluster7268",10.7337827748643,1.33268235961905,0.411063656275733,3.24203402386203,0.00118679852747718,0.095479482891791
"Cluster1466",9.12286082252627,1.03574252435959,0.323756445798881,3.19914101417767,0.00137837730558577,0.0975201943701931
"Cluster1041",2.70113419713325,3.15359413509495,1.00894260563563,3.12564274467147,0.00177416941711893,0.107745735700631
"Cluster3975",3.95959009043882,2.16603309830006,0.693081969254371,3.1252192300289,0.00177672591261347,0.107745735700631
"Cluster378",1.71577760320266,-2.61546074308098,0.913931702959188,-2.86176826409728,0.00421284810582296,0.170319430563985
"Cluster541",4.32565571028912,1.4890223353259,0.502411560967413,2.96375014233098,0.00303914942341308,0.170319430563985
"Cluster2188",8.92245512093114,1.00556062683542,0.350267842284407,2.87083341787036,0.00409391202833303,0.170319430563985
"Cluster3008",1.48375976049373,3.83212975066701,1.31291598586556,2.91879281836958,0.00351389680420179,0.170319430563985
"Cluster3357",5.06524281208796,1.42711027881799,0.495609096452989,2.8795078400127,0.00398296394794171,0.170319430563985
"Cluster4078",4.79256577200341,-1.44773718567283,0.497110081578459,-2.91230703082077,0.00358769797847755,0.170319430563985
"Cluster5639",1.93928309120156,-2.55145324326634,0.885575148169777,-2.88112561484979,0.00396257681131348,0.170319430563985
"Cluster0",2.00647038914709,-2.88960424234158,1.09384027686842,-2.64170583534764,0.00824896662475443,0.181545488250866
"Cluster1087",1.32311296331745,2.7812032357238,1.04839455292115,2.6528211425503,0.00798221551504194,0.181545488250866
"Cluster1702",26.061228801709,-0.401854889641642,0.153337565421862,-2.62072042513562,0.00877441859429639,0.181545488250866
"Cluster1852",1.90007393437232,-2.2410465560322,0.84204431226207,-2.6614354178248,0.00778082657603812,0.181545488250866
"Cluster1902",2.89517574083155,-2.56058034327922,0.973445972753012,-2.63042882188687,0.00852772250400896,0.181545488250866
"Cluster1934",2.9098656337579,1.58276957815678,0.586840760012294,2.69710232486854,0.00699457735462723,0.181545488250866
"Cluster2138",3.81069730086447,1.82667178488589,0.662810874797411,2.75594721562801,0.00585224403606514,0.181545488250866
"Cluster2378",1.51290630414064,3.01585301803667,1.10463113947276,2.73019011529598,0.00632978108461334,0.181545488250866
"Cluster2379",3.11289578987884,1.54968918729054,0.563629814728535,2.74948050439264,0.00596898135330975,0.181545488250866
"Cluster3024",1.1763033185531,-3.96066327829145,1.43721979253068,-2.7557811956635,0.00585521510840296,0.181545488250866
"Cluster3571",3.65823288958303,-1.4765307006736,0.548240639732049,-2.69321643392809,0.00707663139942339,0.181545488250866
"Cluster3787",2.82925018047015,1.9089400496364,0.689638499085029,2.76802999277021,0.00563962653433355,0.181545488250866
"Cluster4677",21.8997002180577,0.609390016894896,0.224304891945238,2.71679325230087,0.00659177702650631,0.181545488250866
"Cluster5492",1.6082609385534,2.70441861905675,1.03683231809618,2.60834714722491,0.00909806346391281,0.181545488250866
"Cluster5702",2.48516324784484,-2.28121704898239,0.875800586539526,-2.6047219927038,0.00919488338608628,0.181545488250866
"Cluster5943",2.52424063558851,1.69545310414042,0.625522131237644,2.71046062077106,0.00671898264972335,0.181545488250866
"Cluster6337",1.41776067252201,-3.46099289927838,1.32060283798908,-2.62076742508635,0.00877320909576001,0.181545488250866
"Cluster6700",4.67652189489002,1.39531604924745,0.517629511555064,2.69558828872728,0.00702644542387858,0.181545488250866
"Cluster6705",3.16954102191883,1.57657224788397,0.591537828930758,2.66520951117145,0.00769403718002351,0.181545488250866
"Cluster7267",5.236051223322,1.64741042757981,0.622301381942396,2.64728711100999,0.00811404308165158,0.181545488250866
"Cluster8238",1.6163237017414,-2.9263837532703,1.09343635252332,-2.67631833029614,0.00744359080906536,0.181545488250866
"Cluster8774",1.10154541975435,2.52155882919013,0.933628470328905,2.70081612689234,0.00691695672461847,0.181545488250866
"Cluster4395",1.16092811114027,3.48129692502342,1.34264946133666,2.59285615886492,0.00951825705195305,0.183659096297912
"Cluster82",1.32328536684879,3.66146706913834,1.41965861109052,2.57911799395615,0.0099052946306117,0.186879892030874
"Cluster7654",8.65409920952159,0.946992829574772,0.369236542210331,2.56473214678554,0.0103255480656187,0.190573702341528
"Cluster2495",1.63263221982055,2.30641498199816,0.908942634882732,2.53747034574489,0.0111656827283,0.198269720333749
