ClusterID,NORM_INTENSITY1,NORM_INTENSITY2,NORM_INTENSITY3,NORM_INTENSITY4,NORM_INTENSITY5,NORM_INTENSITY6,NORM_INTENSITY7,NORM_INTENSITY8,NORM_INTENSITY9,NORM_INTENSITY10,NORM_INTENSITY11,NORM_INTENSITY12,NORM_INTENSITY13,NORM_INTENSITY14,NORM_INTENSITY15,NORM_INTENSITY16,NORM_INTENSITY17,p_value,control_mean,treatment_mean,foldchange,padj
12270,33060434.106070504,32791724.01566801,37507694.5734482,51994603.67819581,49974062.36894047,24944379.78558131,49388782.14482795,11039509.549865406,38983186.05004525,16521070.697465127,28375.43226170937,12237242.5479998,42036.33749049244,661843.2340368277,22946.866381271957,508881.0693765518,21628987.41802452,2.2324465420917307e-4,36631597.36362699,6456422.950379537,0.17625283675973094,0.07951558380704576
1414,48613532.41542654,46440114.92537466,94210521.54285714,79119422.68672632,60792381.48310692,95213932.44380686,62566960.66195112,49964179.438568465,74507008.16381241,46239054.0176947,16681932.823235653,27245377.03076277,39983449.17017259,36706777.75217992,32304749.816112407,31926242.599309556,52545085.48558706,6.789565863657059e-4,67936450.41795893,35454083.58688183,0.5218712983790155,0.07951558380704576
14147,564482014.1833912,985100885.3730372,707821429.8700649,1060571508.2322886,286098408.97290426,842309810.2815597,603684551.7742393,1327914697.818957,694254536.6112362,542546271.4346424,311606346.5087663,212217163.83984283,299533150.14335585,218644105.4210326,243011847.1104797,252554507.72791198,367783141.18970287,0.0010160094295628634,785804204.7908531,305987066.6719668,0.389393521702276,0.07951558380704576
14355,126833725.65161768,164478757.7878155,120449945.72505301,65908055.76153137,116904958.62523453,92810695.49113171,84657279.73273082,117974902.68525903,72540888.58767822,122052280.71736753,25328572.90638014,80684712.47198507,34733531.954116404,32163713.623774342,40392919.53182355,62350007.91885271,64388833.256470755,5.105645202781867e-4,106951023.33867243,57761821.54759631,0.5400773152463162,0.07951558380704576
14458,19633045500.368576,22186993809.370872,14220933002.128325,23274594623.852757,16694928325.088463,12732601734.718288,15848919655.454998,24393250529.505356,13504352243.086441,22539969975.236214,27362707654.02182,24993098487.146053,31889160058.911434,23798118428.56496,29359482135.869537,28768300488.056534,21051369804.686825,0.0013101807327879674,18054402158.174896,26220275879.061672,1.452292667979002,0.07951558380704576
14713,305678267.6075353,379180087.4813958,267783258.03136826,392971032.58782077,287927469.46612877,429450370.8854486,164336921.55434528,279643750.54968184,184862978.86923987,272275912.49865204,99528339.13186291,127029714.72730574,148719302.3891753,237100067.0916182,178643552.8559073,75845356.85894477,154336229.89506936,0.0011545326985640588,299092681.8925516,161684809.43106696,0.5405843045305665,0.07951558380704576
149,20116903.490181874,64527875.88578726,115909596.91555686,109963957.01767895,156292921.88199225,76528098.38659109,137654838.35571438,46596059.26701233,127696375.71051177,66683603.19317386,18280953.00791374,70468993.14959064,5039764.642452766,11739723.067366952,25105507.25883781,13790625.718808929,16087413.1725425,1.9072916023556356e-4,95031847.43455853,28399572.9013359,0.2988426897718957,0.07951558380704576
14968,54501626.2984709,68605781.33928704,90625658.79395212,58669375.15519668,41169623.88806616,103007457.24533793,48457413.76282275,51286602.253387265,57677664.81812811,56120213.7246346,22765965.782966696,36237037.43592497,28932295.884047262,15177470.120328555,16297722.172665544,28077624.17922218,53470789.93798985,9.536448217082647e-4,63777911.506072104,32134889.90472246,0.5038561023068777,0.07951558380704576
15153,59732474.65060259,57847178.87789076,58435123.99602775,46110493.71586986,55780117.20528912,65995055.1751698,44810968.33086204,47510776.18714596,24072823.19814399,67649822.39208898,76300539.77041426,71583763.13846351,97727054.00250271,108004293.33989814,100654191.75150181,124317049.38292992,68768304.0627587,0.0012942301589573576,51143890.14855576,89375627.23006976,1.747532832767779,0.07951558380704576
16033,700980018.9926113,739776736.767268,724040784.1819661,708230708.3808582,505020264.41714644,877962785.1664197,452213659.4503407,370821389.2527847,503583934.80265313,618084970.611069,170558913.8145033,497808724.5392067,336695517.0612532,138576495.9829811,259184442.38476762,245420703.015082,488993552.8733187,0.0014468816673750414,620292253.4902276,344415415.0352727,0.5552470034847837,0.07951558380704576
16122,40586990.045714945,79377832.08685985,158790192.4916997,95715594.92603429,80913264.19252962,161877684.4181137,105685546.8314478,93291023.37920302,78251055.59541158,78643024.77939726,602587.8030030499,70062260.00062755,28164622.104531325,11335174.521290334,27090380.835674096,28263686.69204438,40249464.03422281,1.1552884081043066e-4,99387687.10744606,35551400.09634885,0.3577042703279224,0.07951558380704576
18323,169934346.86036834,167958101.32037604,207155138.47189996,334279770.75015134,157559627.574761,233226144.84316602,171342313.3495989,94167244.20426816,82553440.12736158,133407872.33278744,30247292.15888624,37830917.90113966,83632821.63537948,28959566.492932037,19205848.14672609,62323744.1548598,88778346.78274985,9.294351057094393e-4,179797347.5002168,60548301.20068257,0.3367585898374255,0.07951558380704576
18386,42922508.68541896,42454043.52073533,25319712.314464245,38592602.45555792,57497042.53434865,18168956.633469593,21136520.474504117,18872761.072193664,40511623.824854806,18502137.285236664,1350359.4911708501,10222246.443154277,2648286.016674169,859671.0401511193,8777820.916344663,1596672.9237512157,18357473.110352304,5.17191324104276e-4,33941752.390616365,7789333.403354408,0.22949119755843456,0.07951558380704576
18497,393762094.5316228,541981568.6807305,1106829812.5056396,746139063.478726,1198462416.8239574,767899069.1151928,642659345.2174568,665114154.5902132,1127676236.4460175,713645427.9762458,227869442.54870203,570497446.0428406,165972779.79592413,110487799.63519105,49511413.15351201,175835517.20058492,703734873.2214779,7.107172564331538e-4,798947084.5988396,339694337.44680977,0.42517751675303267,0.07951558380704576
18600,161150454.38087207,147893123.1535865,172776858.7436417,109736304.93830797,116957818.81684998,193450845.09919533,113072472.16694002,112067142.03960577,114362447.50792135,130738368.83094274,90332935.20339544,65466006.37192629,27718533.152627625,69851086.11976518,35583645.68694093,19571433.706939876,107835413.98574343,5.076774864768741e-4,137940829.64965785,68387177.8822852,0.4957718324297089,0.07951558380704576
19290,697874407.2426966,772310164.7174144,806276038.6189692,414097354.43714225,925184201.6733391,834220511.2249221,346694205.7531651,438627887.97967994,322580514.741463,511517580.4630486,64874629.93906221,257297535.5880653,241958921.03978717,145099664.62106082,243985677.43710318,114968346.60654233,477741073.1090885,0.0014399383551834365,617540587.3765324,257180428.60046977,0.4164591507953135,0.07951558380704576
2648,776969621.1701704,810216196.034108,1085798934.1155124,1782349029.5861,1413343050.4294856,752549984.4522698,1096892973.4928296,1937844969.6402094,1135529489.6106696,1227399148.5607831,2310606453.1146564,2737786808.724244,1893956015.6089013,2108254221.268605,1502069987.802354,1969698884.796962,1854540322.3698976,0.0013525475723878448,1199054916.5034838,1950538980.2808003,1.6267303135445117,0.07951558380704576
3390,327342221.977764,242061091.13760218,332828707.8872134,462015105.9841927,782463380.448073,786545529.5715505,561551795.6092916,1370841483.3181393,447837530.4590573,559022349.1539546,1465867.9587706896,105692669.5513118,14230327.68159885,3385783.335539572,5154065.029638445,12489476.651618041,23064993.760804962,7.057600084153056e-4,590387427.3769871,90563191.64040463,0.15339620635684073,0.07951558380704576
